中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
吴泽林,,,汉族,内地,1998-11-28,浙江杭州,183CM,65KG,B型,射手座,,网红,嘉尚传媒练习,吴泽林的新浪微博,,陈鹤一,https://image.ijq.tv/201812/04/11-01-53-96-26.jpg,images/11-01-53-96-26.jpg,吴泽林,https://www.ijq.tv/mingxing/15438916825597.html,https://image.ijq.tv/201812/04/11-01-53-96-26.jpg
张雅蓓,,张善淇,汉族,内地,5-7,天津市,170CM,61KG,A型,金牛座,中央戏剧学院,演员,天津花样游泳队,张雅蓓的新浪微博,《禁区》《国防生》《温柔的谎言》《领养》《江城三月》,于根伟,https://image.ijq.tv/201812/04/09-14-25-48-10.jpg,images/09-14-25-48-10.jpg,张雅蓓,https://www.ijq.tv/mingxing/15438860505595.html,https://image.ijq.tv/201812/04/09-14-25-48-10.jpg
萨日娜,Sarina,,蒙古族,内地,1968-11-04,内蒙古包头,169CM,78KG,O型,天蝎座,上海戏剧学院,演员,华谊兄弟,萨日娜的新浪微博,《闯关东》《小姨多鹤》《情系北大荒》《你是我的生命》,李幼斌,https://image.ijq.tv/201812/03/14-59-23-33-10.jpg,images/14-59-23-33-10.jpg,萨日娜,https://www.ijq.tv/mingxing/15438203495594.html,https://image.ijq.tv/201812/03/14-59-23-33-10.jpg
何傲儿,Lily Ho,小傲,汉族,内地,1988-9-27,中国香港,170CM,52KG,A型,天秤座,香港大学,"演员,主持人,模特",大名娱乐,何傲儿的新浪微博,《宫心计》《毕打自己人》《雷霆扫毒》,何傲芝 杨千嬅 陈慧珊,https://image.ijq.tv/201812/03/13-37-40-72-43.jpg,images/13-37-40-72-43.jpg,何傲儿,https://www.ijq.tv/mingxing/15438154445593.html,https://image.ijq.tv/201812/03/13-37-40-72-43.jpg
王艺甜,,,汉族,内地,1-5,,168CM,45KG,B型,魔羯座,中央戏剧学院,演员,,王艺甜的新浪微博,《超新星全运会》,杨超越,https://image.ijq.tv/201812/03/11-17-12-62-26.jpg,images/11-17-12-62-26.jpg,王艺甜,https://www.ijq.tv/mingxing/15438067485592.html,https://image.ijq.tv/201812/03/11-17-12-62-26.jpg
张云雷,,"张磊,小辫儿,老舅,二爷",汉族,内地,1992-1-11,天津,179CM,72KG,O型,魔羯座,,演员,北京德云社,张云雷的新浪微博,《白蛇传》《太公卖面》《探清水河》《挡谅》《大西厢》,郭德纲,https://image.ijq.tv/201812/01/13-41-15-49-10.jpg,images/13-41-15-49-10.jpg,张云雷,https://www.ijq.tv/mingxing/15436428505590.html,https://image.ijq.tv/201812/01/13-41-15-49-10.jpg
康可人,,,汉族,内地,1996-2-9,,168CM,45KG,B型,水瓶座,中央戏剧学院,演员,,康可人的新浪微博,《将夜》《带着爸爸去留学》,陈飞宇,https://image.ijq.tv/201812/01/11-10-05-66-26.jpg,images/11-10-05-66-26.jpg,康可人,https://www.ijq.tv/mingxing/15436336585589.html,https://image.ijq.tv/201812/01/11-10-05-66-26.jpg
史策,,,汉族,内地,1993-6-30,黑龙江省牡丹江市,169CM,50KG,O型,巨蟹座,北京舞蹈学院音乐剧系,演员,壹经纪,史策的新浪微博,《求偶》,,https://image.ijq.tv/201811/30/14-56-53-77-10.jpg,images/14-56-53-77-10.jpg,史策,https://www.ijq.tv/mingxing/15435610015586.html,https://image.ijq.tv/201811/30/14-56-53-77-10.jpg
杨馥羽,,,汉族,内地,1995-9-16,海南海口,168CM,45KG,B型,处女座,吉林大学珠海学院,"演员,模特",,杨馥羽的新浪微博,《妖怪们的妖怪店》,,https://image.ijq.tv/201811/30/10-48-50-29-26.jpg,images/10-48-50-29-26.jpg,杨馥羽,https://www.ijq.tv/mingxing/15435460645585.html,https://image.ijq.tv/201811/30/10-48-50-29-26.jpg
刘循子墨,,,汉族,内地,1986-10-12,北京,180CM,65KG,O型,天秤座,中国传媒大学美术系,演员,北京万合天宜影视文化有限公司,刘循子墨的新浪微博,《报告老板》《万万没想到》《建军大业》《高科技少女喵》,叫兽易小星 白客 老湿,https://image.ijq.tv/201811/29/12-37-25-18-43.jpg,images/12-37-25-18-43.jpg,刘循子墨,https://www.ijq.tv/mingxing/15434662185584.html,https://image.ijq.tv/201811/29/12-37-25-18-43.jpg
郝文婷,,,汉族,内地,1996-5-25,,170CM,49KG,A型,双子座,北京戏曲艺术学院,演员,最幕影业,郝文婷的新浪微博,《齐丑无艳》,高海诚,https://image.ijq.tv/201811/29/10-59-38-35-40.jpg,images/10-59-38-35-40.jpg,郝文婷,https://www.ijq.tv/mingxing/15434600475583.html,https://image.ijq.tv/201811/29/10-59-38-35-40.jpg
李雨桐,,"李璐禕,李璐祎",汉族,内地,1988-7-14,上海,166CM,45KG,O型,巨蟹座,,"模特,网红",,李雨桐的新浪微博,,薛之谦,https://image.ijq.tv/201811/29/10-39-19-95-10.jpg,images/10-39-19-95-10.jpg,李雨桐,https://www.ijq.tv/mingxing/15434591455582.html,https://image.ijq.tv/201811/29/10-39-19-95-10.jpg
刘宇,,,汉族,内地,2000-8-24,安徽合肥,176CM,62KG,B型,狮子座,北京舞蹈学院,"歌手,网红",,刘宇的新浪微博,《国风美少年》,李明峻,https://image.ijq.tv/201811/29/10-44-06-72-26.jpg,images/10-44-06-72-26.jpg,刘宇,https://www.ijq.tv/mingxing/15434584185581.html,https://image.ijq.tv/201811/29/10-44-06-72-26.jpg
李明峻,,,蒙古族,内地,1998-11-20,河南省郑州市,180CM,62KG,B型,天蝎座,中央戏剧学院,歌手,,李明峻的新浪微博,《明日之子》,,https://image.ijq.tv/201811/29/10-27-32-31-26.jpg,images/10-27-32-31-26.jpg,李明峻,https://www.ijq.tv/mingxing/15434583725580.html,https://image.ijq.tv/201811/29/10-27-32-31-26.jpg
曾昭玮,,,汉族,内地,9-5,北京市,160CM,45KG,O型,处女座,北京电影学院,歌手,创仕天下 VIKA MUSIC,曾昭玮的新浪微博,《迷路了问问道》《幸亏没生在古代》,,https://image.ijq.tv/201811/28/16-47-38-80-10.jpg,images/16-47-38-80-10.jpg,曾昭玮,https://www.ijq.tv/mingxing/15433948465579.html,https://image.ijq.tv/201811/28/16-47-38-80-10.jpg
刘因然,,,汉族,内地,1998-10-31,辽宁沈阳,168CM,45KG,B型,天秤座,解放军艺术学院,演员,,刘因然的新浪微博,《G小调进行曲》,曾丽瑶,https://image.ijq.tv/201811/28/10-57-36-93-26.jpg,images/10-57-36-93-26.jpg,刘因然,https://www.ijq.tv/mingxing/15433738275578.html,https://image.ijq.tv/201811/28/10-57-36-93-26.jpg
侯东,,"东东,无度",汉族,内地,1995.11.18,四川成都,183CM,66KG,AB型,天蝎座,四川传媒学院14级表演本科,演员,,侯东的新浪微博,《醉玲珑》,,https://image.ijq.tv/201811/28/10-49-02-64-26.jpg,images/10-49-02-64-26.jpg,侯东,https://www.ijq.tv/mingxing/15433733235577.html,https://image.ijq.tv/201811/28/10-49-02-64-26.jpg
丁当,Della,吴娴,汉族,内地,1982-4-17,浙江省嘉兴市嘉善,162CM,48KG,O型,白羊座,杭州师范大学,歌手,相信音乐,丁当的新浪微博,《我爱他》《手掌心》《猜不透》《你为什么说谎》,,https://image.ijq.tv/201811/28/10-11-13-58-10.jpg,images/10-11-13-58-10.jpg,丁当,https://www.ijq.tv/mingxing/15433710595576.html,https://image.ijq.tv/201811/28/10-11-13-58-10.jpg
