中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
余思潞,Josephine,思潞,汉族,内地,11-13,湖南长沙,168CM,46KG,A型,天蝎座,美国纽约电影学院,演员,,余思潞的新浪微博,《吉祥天宝》,,https://image.ijq.tv/201505/11/13-39-44-45-12.jpg,images/13-39-44-45-12.jpg,余思潞,https://www.ijq.tv/mingxing/2155.html,https://image.ijq.tv/201505/11/13-39-44-45-12.jpg
叶静,Ye Jing,,汉族,内地,1980-7-10,北京市,173CM,63KG,B型,巨蟹座,北京电影学院,演员,俊鼎东仑（北京）传媒有限公司,叶静的新浪微博,《飞云岁月》《别叫我兄弟》,搭档陈亦然,https://image.ijq.tv/201505/11/14-08-52-39-8.jpg,images/14-08-52-39-8.jpg,叶静,https://www.ijq.tv/mingxing/2156.html,https://image.ijq.tv/201505/11/14-08-52-39-8.jpg
原华,Yuan Hua,,汉族,内地,1972-3-4,哈尔滨,165CM,51KG,AB型,双鱼座,中央戏剧学院,演员,北京希世纪影视,原华的新浪微博,《婚姻时差》,,https://image.ijq.tv/201505/11/11-27-30-35-7.jpg,images/11-27-30-35-7.jpg,原华,https://www.ijq.tv/mingxing/2154.html,https://image.ijq.tv/201505/11/11-27-30-35-7.jpg
李沁谣,Jun Jun|ジュンジュン,"李纯,纯纯,纯子",汉族,内地,1988-1-11,岳阳,168CM,48KG,O型,魔羯座,北京电影学院,"演员,歌手,模特",,李沁谣的新浪微博,《动物管理局》《东方战场》《全民目击》,队友钱琳,https://image.ijq.tv/201907/01/11-27-03-79-47.png,images/11-27-03-79-47.png,李沁谣,https://www.ijq.tv/mingxing/2153.html,https://image.ijq.tv/201907/01/11-27-03-79-47.png
史可,,,汉族,内地,7-4,湖北,168CM,56KG,A型,双鱼座,中央戏剧学院戏剧研究所,演员,北京完美建信影视文化有限公司,,《青年医生》《勇敢的心》《她眼中的UFO》,,https://image.ijq.tv/201505/08/16-54-00-79-14.png,images/16-54-00-79-14.png,史可,https://www.ijq.tv/mingxing/2151.html,https://image.ijq.tv/201505/08/16-54-00-79-14.png
杨澜,Yang Lan,,汉族,内地,1968-3-31,北京,165CM,50KG,AB型,白羊座,北京外国语大学| 哥伦比亚大学,主持人,,杨澜的新浪微博,《天下女人》《天呐女人》《杨澜访谈录》,搭档席琳·迪翁 搭档秋微,https://image.ijq.tv/201505/08/15-33-44-16-12.jpg,images/15-33-44-16-12.jpg,杨澜,https://www.ijq.tv/mingxing/2148.html,https://image.ijq.tv/201505/08/15-33-44-16-12.jpg
吴楚,Margaret,,汉族,内地,1987-5-12,广州,170CM,48KG,O型,金牛座,中央戏剧学院表演系2005级本科班,演员,,,《奶爸的爱情生活》,好友陈晓 好友张佳宁 好友田宇鹏,https://image.ijq.tv/201505/08/15-38-33-95-14.png,images/15-38-33-95-14.png,吴楚,https://www.ijq.tv/mingxing/2149.html,https://image.ijq.tv/201505/08/15-38-33-95-14.png
潘仪君,Joy,阿潘,汉族,内地,1969-9-1,台北,166CM,42KG,B型,处女座,中国文化大学,演员,海纳百川,潘仪君的新浪微博,《红酒俏佳人》《姻缘花》《无盐女》《大老婆小老公》,李晟,https://image.ijq.tv/201505/08/15-46-13-19-8.jpg,images/15-46-13-19-8.jpg,潘仪君,https://www.ijq.tv/mingxing/2150.html,https://image.ijq.tv/201505/08/15-46-13-19-8.jpg
赫子铭,He ziming,,汉族,内地,1982-8-4,鹤岗市,,73KG,B型,狮子座,重庆大学美视电影学院,演员,北京金聚金合影视文化有限公司,赫子铭的新浪微博,《燃烧》《十二金钱镖》《宫锁珠帘》,配偶何洁,https://image.ijq.tv/201505/08/15-14-18-87-8.jpg,images/15-14-18-87-8.jpg,赫子铭,https://www.ijq.tv/mingxing/2147.html,https://image.ijq.tv/201505/08/15-14-18-87-8.jpg
韩红,Han Hong,小红,汉族,内地,1971-9-26,西藏昌都,163CM,69KG,A型,天秤座,中国人民解放军艺术学院,"演员,歌手",,韩红的新浪微博,《天路》《家乡》《醒了》《天亮了》,苗圃 张卫健,https://image.ijq.tv/201911/26/10-08-20-59-46.jpg,images/10-08-20-59-46.jpg,韩红,https://www.ijq.tv/mingxing/2145.html,https://image.ijq.tv/201911/26/10-08-20-59-46.jpg
王丹妮,NINI,,汉族,内地,1988-10-29,北京,170CM,52KG,O型,天秤座,北京舞蹈学院,演员,,,《十二金钱镖》《烽火佳人》,陶昕然 王妍之,https://image.ijq.tv/201505/08/14-45-29-80-8.jpg,images/14-45-29-80-8.jpg,王丹妮,https://www.ijq.tv/mingxing/2146.html,https://image.ijq.tv/201505/08/14-45-29-80-8.jpg
管乐,Guan le,管小娘,汉族,内地,,江西,168CM,98KG,AB型,处女座,北京舞蹈学院|武汉大学,演员,北京唐德凤凰演艺经纪有限公司,管乐  的新浪微博,《左手劈刀》《我们光荣的日子》《催眠大师》,柯蓝,https://image.ijq.tv/201505/08/14-08-45-32-8.jpg,images/14-08-45-32-8.jpg,管乐  ,https://www.ijq.tv/mingxing/2144.html,https://image.ijq.tv/201505/08/14-08-45-32-8.jpg
李晨浩,Leon Lee,,汉族,内地,1988-10-18,重庆,181CM,72KG,B型,天秤座,,演员,好莱坞著名经纪公司CAA,,《绝命航班》《最后的枪王》《盗墓笔记》,,https://image.ijq.tv/201505/08/11-25-05-17-11.jpg,images/11-25-05-17-11.jpg,李晨浩,https://www.ijq.tv/mingxing/2143.html,https://image.ijq.tv/201505/08/11-25-05-17-11.jpg
涂凌,Tu ling,,汉族,内地,1988-10-25,武义,164CM,48KG,A型,天秤座,北京电影学院,演员,,涂凌的新浪微博,《我们光荣的日子》,柯蓝 王妍之,https://image.ijq.tv/201505/08/11-26-25-16-8.jpg,images/11-26-25-16-8.jpg,涂凌,https://www.ijq.tv/mingxing/2142.html,https://image.ijq.tv/201505/08/11-26-25-16-8.jpg
邓天晴,Sunny,,汉族,内地,11-14,山东菏泽,164CM,48KG,O型,射手座,,"演员,歌手",北京国奥标点国际文化传媒,,《金玉瑶之一诺千金》,,https://image.ijq.tv/201505/08/09-31-34-70-14.png,images/09-31-34-70-14.png,邓天晴,https://www.ijq.tv/mingxing/2141.html,https://image.ijq.tv/201505/08/09-31-34-70-14.png
王艺霖,Wangyilin,,汉族,内地,1993-8-13,河南焦作,180CM,68KG,B型,狮子座,中央戏剧学院表演系（在读）,演员,上海唐人影视有限公司,王艺霖的新浪微博,《旋风十一人》,胡歌,https://image.ijq.tv/201505/07/17-14-54-27-14.png,images/17-14-54-27-14.png,王艺霖,https://www.ijq.tv/mingxing/2140.html,https://image.ijq.tv/201505/07/17-14-54-27-14.png
李思澄,,,回族,内地,1991-12-10,北京 东城区,179CM,71KG,B型,射手座,中央戏剧学院13级表演系高检班,演员,唐人影业,李思澄的新浪微博,《尼玛的夏天》《一仆二主》《旋风十一人》,胡歌,https://image.ijq.tv/201505/07/17-04-56-50-14.png,images/17-04-56-50-14.png,李思澄,https://www.ijq.tv/mingxing/2139.html,https://image.ijq.tv/201505/07/17-04-56-50-14.png
徐冬冬,Nina,冬冬,汉族,内地,1990-2-16,哈尔滨,168CM,49KG,B型,水瓶座,中国人民解放军艺术学院,演员,徐冬冬工作室,徐冬冬的新浪微博,《血色沉香》《华丽上班族》《将爱情进行到底》《致命闪玩》,秋瓷炫,https://image.ijq.tv/201505/07/16-50-54-83-8.jpg,images/16-50-54-83-8.jpg,徐冬冬,https://www.ijq.tv/mingxing/2138.html,https://image.ijq.tv/201505/07/16-50-54-83-8.jpg
魏子千,,"魏宇澄,魏子皓",汉族,内地,,黑龙江,179CM,68KG,O型,巨蟹座,北京电影学院,演员,金英马影视文化有限责任公司,,《陆军一号》,,https://image.ijq.tv/201505/07/16-23-35-99-11.jpg,images/16-23-35-99-11.jpg,魏子千,https://www.ijq.tv/mingxing/2137.html,https://image.ijq.tv/201505/07/16-23-35-99-11.jpg
