中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
李若斯,April Lee,"若斯,小斯斯",,内地,1989-4-30,北京,168CM,48KG,B型,金牛座,吉林艺术学院戏剧学院,"演员,歌手,主持人",北京凤潇文化发展有限公司,李若斯的新浪微博,《火线追凶》《家大业大》《酒店世家》,曹颖,https://image.ijq.tv/201503/03/15-52-59-84-8.jpg,images/15-52-59-84-8.jpg,李若斯,https://www.ijq.tv/mingxing/1384.html,https://image.ijq.tv/201503/03/15-52-59-84-8.jpg
雷洋,Lemon,,,内地,1991-12-01,四川成都,168CM,41KG,B型,射手座,复旦大学,演员,,雷洋的新浪微博,《戴流苏耳环的少女》,,https://image.ijq.tv/201503/03/15-24-08-49-12.jpg,images/15-24-08-49-12.jpg,雷洋,https://www.ijq.tv/mingxing/1380.html,https://image.ijq.tv/201503/03/15-24-08-49-12.jpg
马境,,马静,汉族,内地,1983-10-4,四川,164CM,48KG,B型,天秤座,北京电影学院,演员,,马境的新浪微博,《青衣》《狼烟北平》《老爸靠谱》,吴越,https://image.ijq.tv/201503/03/15-31-44-28-8.jpg,images/15-31-44-28-8.jpg,马境,https://www.ijq.tv/mingxing/1382.html,https://image.ijq.tv/201503/03/15-31-44-28-8.jpg
陈真希,,陈淳、淳子,汉族,内地,1985-3-19,中国大陆,,46KG,A型,双鱼座,上海戏剧学院,演员,,,《新萧十一郎》,,https://image.ijq.tv/201503/03/15-25-21-14-14.jpg,images/15-25-21-14-14.jpg,陈真希,https://www.ijq.tv/mingxing/1381.html,https://image.ijq.tv/201503/03/15-25-21-14-14.jpg
邵峰,,,汉族,内地,1968-8-16,山东省济南市,168CM,69KG,A型,狮子座,解放军艺术学院（表演系）,演员,总政话剧团,,《超人马大姐》《别拿豆包不当干粮》《大村官之放飞梦想》,,https://image.ijq.tv/201503/03/15-05-32-98-11.jpg,images/15-05-32-98-11.jpg,邵峰,https://www.ijq.tv/mingxing/1379.html,https://image.ijq.tv/201503/03/15-05-32-98-11.jpg
丁咛,Ning Ding,丁宁,汉族,内地,9-8,沈阳,170CM,50KG,O型,天秤座,中国传媒大学,演员,,丁咛的新浪微博,《家事如天》《刘伯承元帅》,搭档王雷,https://image.ijq.tv/201503/03/15-40-10-99-10.jpg,images/15-40-10-99-10.jpg,丁咛,https://www.ijq.tv/mingxing/1383.html,https://image.ijq.tv/201503/03/15-40-10-99-10.jpg
刘美含,Mikan Ryu,"米糠,新子,糠叔,大橘子",汉族,内地,1991-4-9,广东省深圳市,157CM,39KG,B型,白羊座,北京外国语大学2009级日语系本科,"演员,歌手",天娱传媒,刘美含的新浪微博,《北上广不相信眼泪》《童话二分之一》《哎咿呀》,密友刘惜君 队友那琳 搭档周冬雨 搭档徐峥 搭档黄渤,https://image.ijq.tv/201503/03/14-57-21-27-14.jpg,images/14-57-21-27-14.jpg,刘美含,https://www.ijq.tv/mingxing/1378.html,https://image.ijq.tv/201503/03/14-57-21-27-14.jpg
聂玫,May,玫子,汉族,内地,7-7,湖南省,161CM,47KG,B型,巨蟹座,中央戏剧学院2003级表演本科,"演员,主持人",,,《新版武则天》《多情江山》,,https://image.ijq.tv/201503/03/14-19-28-39-14.jpg,images/14-19-28-39-14.jpg,聂玫,https://www.ijq.tv/mingxing/1375.html,https://image.ijq.tv/201503/03/14-19-28-39-14.jpg
郝柏杰,,,汉族,内地,1981-9-9,云南省昆明市,177CM,70KG,O型,处女座,北京电影学院表演系,演员,北京艺百合文化传媒,郝柏杰的新浪微博,《牛郎织女》《中国远征军》《王的盛宴》《控制》,搭档张桐,https://image.ijq.tv/201503/03/14-36-41-99-10.jpg,images/14-36-41-99-10.jpg,郝柏杰,https://www.ijq.tv/mingxing/1377.html,https://image.ijq.tv/201503/03/14-36-41-99-10.jpg
李琳,Lin Li,,汉族,内地,1971-01-11,安徽合肥,168CM,48KG,O型,魔羯座,北京电影学院表演系,演员,华谊兄弟,,《趟过男人河的女人》《历史的天空》,丈夫李大双 前夫王小列,https://image.ijq.tv/201503/03/13-57-05-23-10.jpg,images/13-57-05-23-10.jpg,李琳,https://www.ijq.tv/mingxing/1373.html,https://image.ijq.tv/201503/03/13-57-05-23-10.jpg
刘凯菲,,,汉族,内地,8-20,青岛,162CM,40KG,AB型,处女座,天津音乐学院,"演员,模特",,刘凯菲的新浪微博,《铁齿铜牙纪晓岚四》《红狐行动》《红楼梦》,搭档肖荣生,https://image.ijq.tv/201503/03/13-18-48-28-10.jpg,images/13-18-48-28-10.jpg,刘凯菲,https://www.ijq.tv/mingxing/1372.html,https://image.ijq.tv/201503/03/13-18-48-28-10.jpg
吴连生,,,,内地,,内地,178CM,75KG,B型,双子座,,演员,,,《打狗棍》《大村官》《大村官之放飞梦想》,,https://image.ijq.tv/201503/03/10-51-03-43-11.jpg,images/10-51-03-43-11.jpg,吴连生,https://www.ijq.tv/mingxing/1371.html,https://image.ijq.tv/201503/03/10-51-03-43-11.jpg
刘博皓,,刘洋,汉族,内地,1983-,,180CM,72KG,O型,双鱼座,北京电影学院2004级表演本科班,演员,,,《大村官之放飞梦想》,,https://image.ijq.tv/201503/03/10-13-36-93-11.jpg,images/10-13-36-93-11.jpg,刘博皓,https://www.ijq.tv/mingxing/1369.html,https://image.ijq.tv/201503/03/10-13-36-93-11.jpg
柴碧云,Bi Yun Chai,"柴柴,柴小兔子,小兔子,乖乖兔",汉族,内地,1989-7-3,西安,164CM,41KG,B型,巨蟹座,北京电影学院,"演员,主持人",北京时代光影文化传媒有限公司,柴碧云的新浪微博,《新还珠格格》《福根进城》《笔仙惊魂 》《紫钗奇缘》《雅典娜女神》,密友景甜,https://image.ijq.tv/201503/03/10-21-42-93-8.jpg,images/10-21-42-93-8.jpg,柴碧云,https://www.ijq.tv/mingxing/1370.html,https://image.ijq.tv/201503/03/10-21-42-93-8.jpg
温升豪,,James Wen,汉族,内地,1978-2-22,台湾高雄,180CM,75KG,A型,双鱼座,台湾世新大学传播管理学系,"演员,歌手,主持人",,,《聊斋新编》《如果爱可以重来》,搭档隋棠 搭档阮经天,https://image.ijq.tv/201503/02/17-45-03-40-7.jpg,images/17-45-03-40-7.jpg,温升豪,https://www.ijq.tv/mingxing/1368.html,https://image.ijq.tv/201503/02/17-45-03-40-7.jpg
郝泽嘉,,,汉族,内地,1988-4-2,黑龙江鹤岗市,168CM,51KG,AB型,白羊座,中央戏剧学院,演员,,,《锦绣缘华丽冒险》《新京华烟云》《古剑奇谭》,,https://image.ijq.tv/201503/02/16-44-41-39-12.jpg,images/16-44-41-39-12.jpg,郝泽嘉,https://www.ijq.tv/mingxing/1367.html,https://image.ijq.tv/201503/02/16-44-41-39-12.jpg
张嘉佑,Chance,"张绪,嘉佑",汉族,内地,1988-05-11,山东菏泽,177CM,60KG,A型,金牛座,北京电影学院,演员,张嘉佑工作室,张嘉佑的新浪微博,《锦绣缘华丽冒险》,,https://image.ijq.tv/201503/02/16-26-21-94-12.jpg,images/16-26-21-94-12.jpg,张嘉佑,https://www.ijq.tv/mingxing/1366.html,https://image.ijq.tv/201503/02/16-26-21-94-12.jpg
蔡妍,Chae Yeon,李贞淑,朝鲜族,内地,1978-12-06,韩国首尔,165CM,45KG,O型,射手座,首尔艺术大学,"演员,歌手",CJ MEDIA LINE,,《寒冬》,好友张英兰 搭档阿兰,https://image.ijq.tv/201503/02/15-57-53-73-11.jpg,images/15-57-53-73-11.jpg,蔡妍,https://www.ijq.tv/mingxing/1365.html,https://image.ijq.tv/201503/02/15-57-53-73-11.jpg
于毅,,"二哥,毅哥,于叔",汉族,内地,1978-8-21,山东省青岛市市南区,178CM,65KG,B型,狮子座,上海戏剧学院电视艺术系2001届,演员,北京完美建信影视文化有限公司,,《泪洒女人花》,刘智扬 肖茵,https://image.ijq.tv/201503/02/15-35-57-36-14.jpg,images/15-35-57-36-14.jpg,于毅,https://www.ijq.tv/mingxing/1363.html,https://image.ijq.tv/201503/02/15-35-57-36-14.jpg
佟晨洁,,,汉族,内地,1981-12-3,上海,175CM,45KG,B型,白羊座,,"演员,模特",,佟晨洁的新浪微博,《锦绣缘华丽冒险》,谢晖,https://image.ijq.tv/201503/02/15-57-07-29-12.jpg,images/15-57-07-29-12.jpg,佟晨洁,https://www.ijq.tv/mingxing/1364.html,https://image.ijq.tv/201503/02/15-57-07-29-12.jpg
刘玥心,,,汉族,内地,11-16,北京,168CM,48KG,B型,天蝎座,中国传媒大学,演员,,刘玥心的新浪微博,《黎明前的抉择》《新甘十九妹》《一号目标》,,https://image.ijq.tv/201503/02/13-35-11-73-14.jpg,images/13-35-11-73-14.jpg,刘玥心,https://www.ijq.tv/mingxing/1362.html,https://image.ijq.tv/201503/02/13-35-11-73-14.jpg
徐娇,Jiao Xu,娇娇,汉族,内地,1997-8-5,浙江省宁波市,164CM,45KG,O型,狮子座,杭州第十四中学,演员,星辉公司,徐娇的新浪微博,《旋风少女》《大武当之天地密码》《长江七号》,密友张雨绮 搭档张雨琦 搭档林子聪 干父女周星驰,https://image.ijq.tv/201503/02/13-23-06-47-14.jpg,images/13-23-06-47-14.jpg,徐娇,https://www.ijq.tv/mingxing/1361.html,https://image.ijq.tv/201503/02/13-23-06-47-14.jpg
张宇菲,,,汉族,内地,2-1,北京,170CM,46KG,B型,水瓶座,中央戏剧学院,演员,,张宇菲的新浪微博,《李大钊》《为青春点赞》《温柔的背叛》,李艾,https://image.ijq.tv/201503/02/13-46-39-19-8.jpg,images/13-46-39-19-8.jpg,张宇菲,https://www.ijq.tv/mingxing/1360.html,https://image.ijq.tv/201503/02/13-46-39-19-8.jpg
