中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
乔大韦,dawei Qiao,乔大伟,汉族,内地,12-20,黑龙江,180CM,70KG,A型,魔羯座,中国人民解放军艺术学院,演员,,乔大韦的新浪微博,《贤妻》《围屋里的女人》《我心飞翔》,搭档叶璇,https://image.ijq.tv/201507/21/13-49-06-73-10.jpg,images/13-49-06-73-10.jpg,乔大韦,https://www.ijq.tv/mingxing/2842.html,https://image.ijq.tv/201507/21/13-49-06-73-10.jpg
多多,Christine,黄忆慈,汉族,内地,2006-2-6,北京,150CM,35KG,B型,白羊座,,演员,,,《爸爸去哪儿》,黄磊 孙莉,https://image.ijq.tv/201507/21/11-42-54-80-12.jpg,images/11-42-54-80-12.jpg,多多,https://www.ijq.tv/mingxing/2836.html,https://image.ijq.tv/201507/21/11-42-54-80-12.jpg
樊营,Fan ying,,汉族,内地,1983-11-12,平顶山,174CM,52KG,B型,射手座,解放军艺术学院,演员,北京希世纪影视文化发展有限公司,樊营的新浪微博,《太行山上》《猎天狼》《刀尖上行走》,唐国强,https://image.ijq.tv/201507/21/11-40-56-44-8.jpg,images/11-40-56-44-8.jpg,樊营,https://www.ijq.tv/mingxing/2835.html,https://image.ijq.tv/201507/21/11-40-56-44-8.jpg
大竣,,林大竣,汉族,内地,2010-8-25,北京,150CM,34KG,B型,双子座,,演员,,,《爸爸去哪儿》,林永健,https://image.ijq.tv/201507/21/11-26-42-41-12.jpg,images/11-26-42-41-12.jpg,大竣,https://www.ijq.tv/mingxing/2834.html,https://image.ijq.tv/201507/21/11-26-42-41-12.jpg
康康,,胡皓康,汉族,内地,2008-11-11,北京,150CM,35KG,B型,双子座,,演员,,,《爸爸去哪儿》,胡军,https://image.ijq.tv/201507/21/11-10-50-74-12.jpg,images/11-10-50-74-12.jpg,康康,https://www.ijq.tv/mingxing/2833.html,https://image.ijq.tv/201507/21/11-10-50-74-12.jpg
诺一,noé,刘诺一,汉族,内地,2010-10-10日,辽宁,150CM,23KG,B型,金牛座,,演员,,诺一的新浪微博,《爸爸去哪儿》,刘烨,https://image.ijq.tv/201507/21/10-51-48-20-12.jpg,images/10-51-48-20-12.jpg,诺一,https://www.ijq.tv/mingxing/2832.html,https://image.ijq.tv/201507/21/10-51-48-20-12.jpg
孙正霖,Sun zhenglin,霖霖,汉族,内地,1990-4-7,辽宁,180CM,65KG,B型,白羊座,吉林艺术学院,演员,深圳天宇聚鼎影视文化有限公司,孙正霖的新浪微博,《你乐我更乐》《毕业歌》《辛亥革命》,付辛博,https://image.ijq.tv/201507/21/10-30-15-65-8.jpg,images/10-30-15-65-8.jpg,孙正霖,https://www.ijq.tv/mingxing/2830.html,https://image.ijq.tv/201507/21/10-30-15-65-8.jpg
廖京生,,,汉族,内地,1955-7-4,北京市东城区,180CM,78KG,A型,巨蟹座,中国国家话剧院|中央实验话剧团,演员,国龙联盟投资股份有限公司,,《少年神探狄仁杰》,,https://image.ijq.tv/201507/21/09-46-33-11-11.jpg,images/09-46-33-11-11.jpg,廖京生,https://www.ijq.tv/mingxing/2829.html,https://image.ijq.tv/201507/21/09-46-33-11-11.jpg
施大生,,,汉族,内地,1965-05-23,河北,180CM,80KG,A型,双子座,上海戏剧学院,演员,北京艺百合文化传媒,,《少年神探狄仁杰》,,https://image.ijq.tv/201507/21/09-18-11-99-11.jpg,images/09-18-11-99-11.jpg,施大生,https://www.ijq.tv/mingxing/2828.html,https://image.ijq.tv/201507/21/09-18-11-99-11.jpg
刘彦卿,,,汉族,内地,1982-7-21,黑龙江海伦市,182CM,68KG,A型,巨蟹座,中国戏曲学院,演员,,刘彦卿的新浪微博,《秀才遇到兵》,沙溢,https://image.ijq.tv/201507/20/18-46-18-98-7.jpg,images/18-46-18-98-7.jpg,刘彦卿,https://www.ijq.tv/mingxing/2827.html,https://image.ijq.tv/201507/20/18-46-18-98-7.jpg
邱爽,Qiu Shuang,,汉族,内地,1990-1-26,,175CM,62KG,A型,白羊座,,演员,希世纪影视,邱爽的新浪微博,《少年神探狄仁杰》,,https://image.ijq.tv/201507/20/16-43-52-21-11.jpg,images/16-43-52-21-11.jpg,邱爽,https://www.ijq.tv/mingxing/2826.html,https://image.ijq.tv/201507/20/16-43-52-21-11.jpg
田淼,,田静莹,汉族,内地,1974,山东青岛,163CM,46KG,A型,双子座,天津师范大学数学系,"演员,电影人",山东省青岛市话剧院,,《少年神探狄仁杰》,,https://image.ijq.tv/201507/20/15-52-28-14-11.jpg,images/15-52-28-14-11.jpg,田淼,https://www.ijq.tv/mingxing/2825.html,https://image.ijq.tv/201507/20/15-52-28-14-11.jpg
郭凯敏,Guo KaiMin,郭芳,汉族,内地,1958,长春,175CM,70KG,B型,,,演员,北京唐德凤凰演艺经纪有限公司,,《小爸妈》,,https://image.ijq.tv/201507/20/15-14-37-88-7.jpg,images/15-14-37-88-7.jpg,郭凯敏,https://www.ijq.tv/mingxing/2824.html,https://image.ijq.tv/201507/20/15-14-37-88-7.jpg
刘俐利,,俐利,汉族,内地,1984-2-6,上海,164CM,49KG,A型,双子座,上海戏剧学院,演员,,刘俐利的新浪微博,《新人在旅途》,,https://image.ijq.tv/201507/20/14-31-31-26-12.jpg,images/14-31-31-26-12.jpg,刘俐利,https://www.ijq.tv/mingxing/2823.html,https://image.ijq.tv/201507/20/14-31-31-26-12.jpg
周波,,波波,汉族,内地,1978-11-14,中国新疆,174CM,56KG,A型,双子座,中央戏剧学院,演员,,,《新人在旅途》,,https://image.ijq.tv/201507/20/14-12-28-25-12.jpg,images/14-12-28-25-12.jpg,周波,https://www.ijq.tv/mingxing/2822.html,https://image.ijq.tv/201507/20/14-12-28-25-12.jpg
王建新,WangJianXin,建新,汉族,内地,1970-4-20,江苏省徐州市贾汪区,182CM,74KG,O型,天蝎座,北京科粲国际影视文化有限公司,演员,江苏省戏曲学院,,《新水浒传》《神探狄仁杰5》《夏家三千金》《新笑傲江湖》,梁冠华,https://image.ijq.tv/201507/20/13-40-58-55-16.png,images/13-40-58-55-16.png,王建新,https://www.ijq.tv/mingxing/2821.html,https://image.ijq.tv/201507/20/13-40-58-55-16.png
陈之辉,阿辉,ChenZhiHui,汉族,内地,1963-8-26,河北省承德市,179CM,85KG,B型,天秤座,中央戏剧学院表演专业,演员,,,《布依女》《三不管》《三国演义》《水浒传》《天下粮仓》,周洁,https://image.ijq.tv/201507/20/11-40-38-30-16.png,images/11-40-38-30-16.png,陈之辉,https://www.ijq.tv/mingxing/2820.html,https://image.ijq.tv/201507/20/11-40-38-30-16.png
亦涵,Venus,,汉族,内地,1989-6-11,大连,166CM,49KG,B型,白羊座,北京电影学院,演员,名扬映画北京文化传媒有限公司,亦涵的新浪微博,《新人在旅途》,,https://image.ijq.tv/201507/20/11-28-43-10-12.jpg,images/11-28-43-10-12.jpg,亦涵,https://www.ijq.tv/mingxing/2819.html,https://image.ijq.tv/201507/20/11-28-43-10-12.jpg
贾媛媛,YOLANDA JIA|JIAYUANYUAN,媛媛,汉族,内地,1990-1-12,烟台,166CM,43KG,O型,魔羯座,上智大学,"演员,歌手,主持人",,贾媛媛的新浪微博,《太行山上》《江城令》《背面》,井凌潇,https://image.ijq.tv/201507/20/11-30-46-38-8.jpg,images/11-30-46-38-8.jpg,贾媛媛,https://www.ijq.tv/mingxing/2818.html,https://image.ijq.tv/201507/20/11-30-46-38-8.jpg
周洁,ZhouJie,东方美神,汉族,内地,1961-12-30,上海奉贤,168CM,48KG,B型,处女座,,演员,,,《火烧圆明园》《垂帘听政》《杨贵妃》《宝莲灯》《神探狄仁杰5》,梁冠华,https://image.ijq.tv/201507/20/11-08-09-92-16.png,images/11-08-09-92-16.png,周洁,https://www.ijq.tv/mingxing/2817.html,https://image.ijq.tv/201507/20/11-08-09-92-16.png
须乾,Xu Qian,须士川,汉族,内地,1955年11月18日,北京,180CM,59KG,B型,射手座,,演员,,,《神探狄仁杰》《神探狄仁杰5》《平原烽火》,梁冠华,https://image.ijq.tv/201507/20/10-59-06-94-16.png,images/10-59-06-94-16.png,须乾,https://www.ijq.tv/mingxing/2816.html,https://image.ijq.tv/201507/20/10-59-06-94-16.png
井凌潇,Jing lingxiao,井星淇,汉族,内地,1990-2-8,山西,168CM,48KG,B型,水瓶座,天津师范大学津沽学院,演员,北京神艺文化传播有限公司,井凌潇的新浪微博,《太行山上》《地道女英雄》《金牌红娘》,唐国强,https://image.ijq.tv/201507/20/11-01-35-74-8.jpg,images/11-01-35-74-8.jpg,井凌潇,https://www.ijq.tv/mingxing/2815.html,https://image.ijq.tv/201507/20/11-01-35-74-8.jpg
梁冠华,Guanhua Liang,梁华,汉族,内地,1964-9-30,天津,178CM,110KG,A型,水瓶座,北京人民艺术剧院,演员,天雨传媒,梁冠华的新浪微博,《神探狄仁杰》《贫嘴张大民的幸福生活》,,https://image.ijq.tv/201507/20/10-45-44-21-16.png,images/10-45-44-21-16.png,梁冠华,https://www.ijq.tv/mingxing/2813.html,https://image.ijq.tv/201507/20/10-45-44-21-16.png
高叶,,小叶,汉族,内地,,江苏常州,163CM,47KG,A型,金牛座,北京电影学院表演系,演员,,高叶的新浪微博,《我们最好的十年》,宋佳,https://image.ijq.tv/201710/21/12-47-50-74-26.jpg,images/12-47-50-74-26.jpg,高叶,https://www.ijq.tv/mingxing/2812.html,https://image.ijq.tv/201710/21/12-47-50-74-26.jpg
刘子豪,,子豪,汉族,内地,1982-4-16,辽宁,178CM,56KG,B型,白羊座,北京电影学院,演员,香港成龙公司,刘子豪的新浪微博,《萌夫木子李》,,https://image.ijq.tv/201507/20/10-18-04-28-12.jpg,images/10-18-04-28-12.jpg,刘子豪,https://www.ijq.tv/mingxing/2811.html,https://image.ijq.tv/201507/20/10-18-04-28-12.jpg
张天野,Daniel,天野,汉族,内地,1988-4-23,辽宁省抚顺市,183CM,60KG,B型,白羊座,中央音乐学院,"演员,歌手",,张天野的新浪微博,《你不接受真心》《分手不分手》《真心》,刘秋实,https://image.ijq.tv/201507/17/15-32-27-40-8.jpg,images/15-32-27-40-8.jpg,张天野,https://www.ijq.tv/mingxing/2810.html,https://image.ijq.tv/201507/17/15-32-27-40-8.jpg
葛晓凤,Ge xiaofeng,晓凤,汉族,内地,1980-4-9,长沙,164CM,48KG,O型,白羊座,中央戏剧学院,演员,八一电影制片厂,葛晓凤的新浪微博,《我不是王毛》《一起又看流星雨》《真情母子》,王大治,https://image.ijq.tv/201507/17/14-53-26-97-8.jpg,images/14-53-26-97-8.jpg,葛晓凤,https://www.ijq.tv/mingxing/2809.html,https://image.ijq.tv/201507/17/14-53-26-97-8.jpg
王浩丞,Ibrahim,"王子辰,亚伯拉罕",回族,内地,1988-7-9,北京,176CM,55KG,AB型,巨蟹座,,演员,万臣影视工作室,王浩丞的新浪微博,《仙剑奇侠传三》《人到四十》《酒店世家》,搭档黄德斌,https://image.ijq.tv/201507/17/14-29-50-55-10.jpg,images/14-29-50-55-10.jpg,王浩丞,https://www.ijq.tv/mingxing/2808.html,https://image.ijq.tv/201507/17/14-29-50-55-10.jpg
甘薇,Gan Vei,薇薇、小薇,汉族,内地,1984-5-21,重庆市,166CM,48KG,A型,金牛座,解放军艺术学院表演系,演员,,,《机器侠》《十二星座离奇事件》《女人帮·妞儿》,贾乃亮 李小璐,https://image.ijq.tv/201507/17/12-29-00-58-14.png,images/12-29-00-58-14.png,甘薇,https://www.ijq.tv/mingxing/2805.html,https://image.ijq.tv/201507/17/12-29-00-58-14.png
王大治,Wang dazhi,,汉族,内地,1977-1-31,西安,177CM,62KG,O型,水瓶座,,演员,,王大治的新浪微博,《士兵突击》《我的团长我的团》,董洁,https://image.ijq.tv/201507/17/14-26-53-48-8.jpg,images/14-26-53-48-8.jpg,王大治,https://www.ijq.tv/mingxing/2807.html,https://image.ijq.tv/201507/17/14-26-53-48-8.jpg
