中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
巩新亮,Miumiu,,汉族,内地,1987-10-12,中国甘肃平凉,168CM,45KG,O型,天秤座,,演员,华谊兄弟公司,巩新亮的新浪微博,《非诚勿扰》《倩女幽魂》,郑中基,https://image.ijq.tv/201501/24/14-23-17-38-10.jpg,images/14-23-17-38-10.jpg,巩新亮,https://www.ijq.tv/mingxing/949.html,https://image.ijq.tv/201501/24/14-23-17-38-10.jpg
于娜,Yuna,,汉族,内地,1981-6-6,贵州省贵阳市,176CM,59KG,AB型,双子座,重庆大学,"演员,模特",,,《一米阳光》《拿什么拯救你，我的爱人》,印小天 何润东 黄晓明,https://image.ijq.tv/201501/14/14-20-02-15-12.jpg,images/14-20-02-15-12.jpg,于娜,https://www.ijq.tv/mingxing/948.html,https://image.ijq.tv/201501/14/14-20-02-15-12.jpg
徐静蕾,Xu Jinglei,老徐,汉族,内地,1974-4-16,北京市朝阳区,170CM,49KG,B型,白羊座,北京电影学院,"演员,电影人",北京鲜花盛开影业有限公司,徐静蕾的新浪微博,《将爱情进行到底》《一个陌生女人的来信》《杜拉拉升职记》,好友韩寒 搭档王珞丹 搭档黄立行 搭档郭富城 搭档郁可唯,https://image.ijq.tv/201501/14/13-09-54-32-14.jpg,images/13-09-54-32-14.jpg,徐静蕾,https://www.ijq.tv/mingxing/947.html,https://image.ijq.tv/201501/14/13-09-54-32-14.jpg
张倩如,,,汉族,内地,1989-10-31,济南,166CM,43KG,,天蝎座,北京电影学院,演员,,,《妯娌的三国时代》《杀手锏》《步步惊魂》,周知,https://image.ijq.tv/201501/14/11-54-05-42-8.jpg,images/11-54-05-42-8.jpg,张倩如,https://www.ijq.tv/mingxing/946.html,https://image.ijq.tv/201501/14/11-54-05-42-8.jpg
王茜,,,汉族,内地,1968-05-14,天津,168CM,55KG,A型,金牛座,北京电影学院|中国传媒大学,演员,CSE中星娱乐公司,王茜的新浪微博,《天下无诈》《重案六组》,徐庆东,https://image.ijq.tv/201501/21/00-02-14-64-1.jpg,images/00-02-14-64-1.jpg,王茜,https://www.ijq.tv/mingxing/945.html,https://image.ijq.tv/201501/21/00-02-14-64-1.jpg
周放,Cassie,,汉族,内地,1989-3-6,山东济南,174CM,49KG,B型,双鱼座,上海戏剧学院07级表演,演员,北京鑫宝源影视投资有限公司,周放的新浪微博,《大江大河》《丑女无敌》《完美季》《新还珠格格》《错点鸳鸯》,好友赵丽颖 搭档韩栋 搭档王今铎 同学孟丽,https://image.ijq.tv/201501/13/17-16-27-18-14.jpg,images/17-16-27-18-14.jpg,周放,https://www.ijq.tv/mingxing/944.html,https://image.ijq.tv/201501/13/17-16-27-18-14.jpg
杨恭如,Kristy Yang,"美人如,恭主",汉族,内地,1974-1-7,中国上海,169CM,49KG,A型,白羊座,加拿大约克大学,演员,杨恭如工作室,杨恭如的新浪微博,《班淑传奇》《当人心遇上仁心》,搭档潘阳 搭档林文龙,https://image.ijq.tv/201501/13/17-07-01-59-8.jpg,images/17-07-01-59-8.jpg,杨恭如,https://www.ijq.tv/mingxing/943.html,https://image.ijq.tv/201501/13/17-07-01-59-8.jpg
陶慧,,,汉族,内地,1986-4-25,新疆,164CM,50KG,AB型,金牛座,解放军艺术学院,演员,壹心娱乐,陶慧的新浪微博,《心花路放》,,https://image.ijq.tv/201510/31/10-00-25-82-12.jpg,images/10-00-25-82-12.jpg,陶慧,https://www.ijq.tv/mingxing/942.html,https://image.ijq.tv/201510/31/10-00-25-82-12.jpg
郑亦桐,Zheng Yi Tong,"郑逸桐,桐桐,亦桐,宝莲,宝莲姐,馨馨",汉族,内地,10-13,河北省邯郸市,166CM,46KG,AB型,天秤座,解放军艺术学院戏剧表演系,演员,,郑亦桐的新浪微博,《回家的诱惑》《封神英雄榜》《剑侠》《擒蛇》,搭档潘辰 搭档海陆,https://image.ijq.tv/201501/13/11-13-46-80-8.jpg,images/11-13-46-80-8.jpg,郑亦桐,https://www.ijq.tv/mingxing/941.html,https://image.ijq.tv/201501/13/11-13-46-80-8.jpg
周知,,知知,汉族,内地,6-30,,170CM,56KG,B型,巨蟹座,中央戏剧学院,演员,中广基经影视文化传播有限公司,周知的新浪微博,《城市恋人》《客家人》《老大的幸福》《北风那个吹》《》《》,好友孙亦沐 搭档吴樾 搭档朱雨辰,https://image.ijq.tv/201501/13/09-54-26-78-8.jpg,images/09-54-26-78-8.jpg,周知,https://www.ijq.tv/mingxing/940.html,https://image.ijq.tv/201501/13/09-54-26-78-8.jpg
何欣,,何小科,回族,内地,1981-04-07,北京,183CM,70KG,B型,白羊座,北京电影学院,"演员,主持人",,,《爱可以重来》《天涯明月刀》《大汉天子3》,,https://image.ijq.tv/201501/12/17-10-08-73-14.jpg,images/17-10-08-73-14.jpg,何欣,https://www.ijq.tv/mingxing/939.html,https://image.ijq.tv/201501/12/17-10-08-73-14.jpg
陈瑾,,,汉族,内地,1964-5-4,山东济南,172CM,43KG,B型,金牛座,山东艺术学院,演员,北京紫微星空文化传媒有限公司,,《横空出世》《欢舞》《中国式法庭》,林永健,https://image.ijq.tv/201501/12/16-57-51-51-8.jpg,images/16-57-51-51-8.jpg,陈瑾,https://www.ijq.tv/mingxing/938.html,https://image.ijq.tv/201501/12/16-57-51-51-8.jpg
高仁,gaoren,,汉族,内地,1986-2-15,山西太原,183CM,70KG,A型,水瓶座,北京电影学院,演员,,高仁的新浪微博,《翡翠恋人》《幸福在一起》《整容季》《两生花》,搭档米露,https://image.ijq.tv/201501/12/15-05-10-34-13.jpg,images/15-05-10-34-13.jpg,高仁,https://www.ijq.tv/mingxing/935.html,https://image.ijq.tv/201501/12/15-05-10-34-13.jpg
张睿,,,回族,内地,1987-4-7（农历：三-初十）,辽宁省锦州市古塔区,178CM,63KG,O型,白羊座,中央戏剧学院,演员,,张睿的新浪微博,《新还珠格格》《花非花雾非雾》《隋唐英雄》《欲望的阶梯》,恩师琼瑶 合作何琇琼,https://image.ijq.tv/201502/10/15-22-11-24-12.jpg,images/15-22-11-24-12.jpg,张睿,https://www.ijq.tv/mingxing/934.html,https://image.ijq.tv/201502/10/15-22-11-24-12.jpg
周诗璇,,周岚,汉族,内地,5-30,四川,163CM,44KG,AB型,双子座,上海师范大学谢晋影视学院,演员,,,《活着好好爱我》《海上孟府》,周一围,https://image.ijq.tv/201501/12/13-15-39-48-8.jpg,images/13-15-39-48-8.jpg,周诗璇,https://www.ijq.tv/mingxing/933.html,https://image.ijq.tv/201501/12/13-15-39-48-8.jpg
田雷,,,汉族,内地,1986-3-28,黑龙江哈尔滨,180CM,70KG,,白羊座,中央戏剧学院,演员,,田雷的新浪微博,《三个奶爸》,李晨 陈赫,https://image.ijq.tv/201501/12/11-00-47-95-12.jpg,images/11-00-47-95-12.jpg,田雷,https://www.ijq.tv/mingxing/931.html,https://image.ijq.tv/201501/12/11-00-47-95-12.jpg
热依扎,Rayza,"扎扎,美扎",,内地,1986-7-15,北京,166CM,45KG,O型,巨蟹座,北京电影学院,演员,摩西娱乐,,《后宫·甄嬛传》《爱情自有天意》《中国式法庭》,搭档余文乐 搭档黄立行 搭档胡歌,https://image.ijq.tv/201501/12/11-03-34-88-8.jpg,images/11-03-34-88-8.jpg,热依扎,https://www.ijq.tv/mingxing/932.html,https://image.ijq.tv/201501/12/11-03-34-88-8.jpg
朱研,,,,内地,,北京,172CM,50KG,B型,巨蟹座,中央戏剧学院表演系,演员,,,《放开我的手》,,https://image.ijq.tv/201501/12/10-41-25-85-14.jpg,images/10-41-25-85-14.jpg,朱研,https://www.ijq.tv/mingxing/930.html,https://image.ijq.tv/201501/12/10-41-25-85-14.jpg
