中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
魏瑾,Vera,,汉族,内地,1991-5-21,中国,163CM,44KG,A型,双鱼座,深圳大学,"演员,歌手",极创引力,魏瑾的新浪微博,《白日梦班长》《早安巴士》《清风微凉》《白色光年》,孟美岐 吴宣仪 杨超越,https://image.ijq.tv/201808/27/18-35-22-62-42.jpg,images/18-35-22-62-42.jpg,魏瑾,https://www.ijq.tv/mingxing/15353656495350.html,https://image.ijq.tv/201808/27/18-35-22-62-42.jpg
王莫涵,,,汉族,内地,1995-10-14,中国,163CM,44KG,,,,"演员,歌手",东仑传媒,王莫涵的新浪微博,《龙之少年》,孟美岐 吴宣仪 杨超越,https://image.ijq.tv/201808/27/17-50-38-39-42.jpg,images/17-50-38-39-42.jpg,王莫涵,https://www.ijq.tv/mingxing/15353633875349.html,https://image.ijq.tv/201808/27/17-50-38-39-42.jpg
吴瑞淞,Ricksong,,汉族,内地,8-9,,182CM,70KG,B型,狮子座,,演员,北京粉丝星途文化传媒有限公司,吴瑞淞的新浪微博,《仅剩一口的青春》,何德瑞,https://image.ijq.tv/201808/27/10-33-20-25-26.jpg,images/10-33-20-25-26.jpg,吴瑞淞,https://www.ijq.tv/mingxing/15353371655347.html,https://image.ijq.tv/201808/27/10-33-20-25-26.jpg
吴芊盈,,,汉族,内地,1996-2-4,成都,163CM,44KG,A型,水瓶座,中国传媒大学,"演员,歌手",SDT娱乐,吴芊盈的新浪微博,《创造101》,孟美岐 吴宣仪,https://image.ijq.tv/201808/25/16-34-54-97-42.jpg,images/16-34-54-97-42.jpg,吴芊盈,https://www.ijq.tv/mingxing/15351857515346.html,https://image.ijq.tv/201808/25/16-34-54-97-42.jpg
苏芮琪,Sury,,汉族,内地,2000-8-20,成都,164CM,47KG,B型,狮子座,,歌手,ETM活力时代,苏芮琪的新浪微博,《咪咕圈圈》,孟美岐 吴宣仪,https://image.ijq.tv/201808/25/15-05-33-48-42.jpg,images/15-05-33-48-42.jpg,苏芮琪,https://www.ijq.tv/mingxing/15351804355345.html,https://image.ijq.tv/201808/25/15-05-33-48-42.jpg
高承一,,,汉族,内地,1997-7-18,包头,184CM,65KG,A型,巨蟹座,中央戏剧学院,演员,童乐影视娱乐公司,高承一的新浪微博,《强风吹拂》,邢昭林 李凯馨,https://image.ijq.tv/201808/25/10-34-18-14-40.jpg,images/10-34-18-14-40.jpg,高承一,https://www.ijq.tv/mingxing/15351643835344.html,https://image.ijq.tv/201808/25/10-34-18-14-40.jpg
任婉婧,,,汉族,内地,1988-5-29,邯郸,165CM,50KG,A型,双子座,,演员,浙江东阳初白影视文化有限公司,任婉婧的新浪微博,《花满楼》《大明奇冤》,徐小琴 袁祎一,https://image.ijq.tv/201808/24/17-49-53-86-40.jpg,images/17-49-53-86-40.jpg,任婉婧,https://www.ijq.tv/mingxing/15351040025343.html,https://image.ijq.tv/201808/24/17-49-53-86-40.jpg
黄翠如,Priscilla,"翠如BB,水鱼,脆鱼,脆薯",汉族,内地,1981-10-23,香港,166CM,54KG,A型,天秤座,香港浸会大学传理学院公关广告系,"演员,模特",骄阳电影|TVB,,《夺标》《心路GPS》《爱我请留言》《我的狗狗我的爱》《幕后玩家》《舌剑上的公堂》《师奶Madam》,黄宗泽,https://image.ijq.tv/201808/24/15-05-16-38-10.jpg,images/15-05-16-38-10.jpg,黄翠如,https://www.ijq.tv/mingxing/15350943075342.html,https://image.ijq.tv/201808/24/15-05-16-38-10.jpg
袁祎一,,,汉族,内地,1994-04-04,金华,165CM,50KG,A型,白羊座,湖南职业艺术学院,"演员,歌手",,袁祎一的新浪微博,《花满楼》,徐小琴 任婉婧,https://image.ijq.tv/201808/24/14-41-37-46-40.jpg,images/14-41-37-46-40.jpg,袁祎一,https://www.ijq.tv/mingxing/15350928295341.html,https://image.ijq.tv/201808/24/14-41-37-46-40.jpg
蒋申,Debbie,,汉族,内地,1997-8-30,上海,165CM,47KG,A型,处女座,广东工业大学,"演员,歌手",广州齐鼓文化传播有限公司,蒋申的新浪微博,《寄明月》《如梦令》《柒月》《背对着想念》,孟美岐 吴宣仪,https://image.ijq.tv/201808/24/14-20-04-78-42.jpg,images/14-20-04-78-42.jpg,蒋申,https://www.ijq.tv/mingxing/15350911425340.html,https://image.ijq.tv/201808/24/14-20-04-78-42.jpg
