中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
邓超元,,,汉族,内地,1997-5-6,资阳,187CM,65KG,,金牛座,四川电影电视学院,"演员,歌手",少城时代旗下猫鱼娱乐,邓超元的新浪微博,《罗密欧方程式》《我凭本事单身》,白鹿 许镇耀,https://image.ijq.tv/201908/05/11-25-07-71-47.png,images/11-25-07-71-47.png,邓超元,https://www.ijq.tv/mingxing/15649754786119.html,https://image.ijq.tv/201908/05/11-25-07-71-47.png
毛台,,,汉族,内地,,云南,169CM,75KG,,,,演员,陈翔六点半,毛台的新浪微博,《功夫囧星》《陈翔六点半之重楼别》,,https://image.ijq.tv/201908/05/11-13-04-58-46.jpg,images/11-13-04-58-46.jpg,毛台,https://www.ijq.tv/mingxing/15649747706118.html,https://image.ijq.tv/201908/05/11-13-04-58-46.jpg
李俊霆,,,汉族,内地,1994-2-23,北京,177CM,65KG,,双鱼座,北京电影学院,演员,,李俊霆的新浪微博,《都挺好》,姚晨,https://image.ijq.tv/201908/05/10-46-14-98-46.jpg,images/10-46-14-98-46.jpg,李俊霆,https://www.ijq.tv/mingxing/15649731676116.html,https://image.ijq.tv/201908/05/10-46-14-98-46.jpg
刘迅,,,汉族,内地,1995-8-3,北京,186CM,70KG,,水瓶座,北京电影学院,演员,,刘迅的新浪微博,《盛唐幻夜》,张元坤,https://image.ijq.tv/201908/05/10-32-10-50-46.jpg,images/10-32-10-50-46.jpg,刘迅,https://www.ijq.tv/mingxing/15649723186114.html,https://image.ijq.tv/201908/05/10-32-10-50-46.jpg
赵小锐,,,汉族,内地,1956-7-28,青岛,182CM,70KG,,狮子座,中国青年艺术剧院,演员,,,《东四牌楼东》《水浒传》《孤军英雄》《北平无战事》,富大龙 郝蕾 于震 寇振海,https://image.ijq.tv/201908/05/10-29-46-39-47.png,images/10-29-46-39-47.png,赵小锐,https://www.ijq.tv/mingxing/15649721306115.html,https://image.ijq.tv/201908/05/10-29-46-39-47.png
张元坤,,,汉族,内地,1998-12-24,,180CM,70KG,,双鱼座,北京电影学院,演员,瀚纳影业,张元坤的新浪微博,《灵魂的救赎》,刘迅,https://image.ijq.tv/201908/05/10-19-29-89-46.jpg,images/10-19-29-89-46.jpg,张元坤,https://www.ijq.tv/mingxing/15649715626113.html,https://image.ijq.tv/201908/05/10-19-29-89-46.jpg
韩笙笙,,,汉族,内地,1993年11月28日,,164CM,48KG,,射手座,辅仁大学,演员,,韩笙笙的新浪微博,《遗失的二分之一》,林哲熹,https://image.ijq.tv/201908/05/10-01-03-32-46.jpg,images/10-01-03-32-46.jpg,韩笙笙,https://www.ijq.tv/mingxing/15649704516111.html,https://image.ijq.tv/201908/05/10-01-03-32-46.jpg
李诚儒,Chengru Li,,汉族,内地,1954-11-25,北京,180CM,70KG,,射手座,北京景山学校,演员,北京九彩虹文化传媒有限公司,李诚儒的新浪微博,《东四牌楼东》《过把瘾》《东边日出西边雨》《重案六组》《迷局之拨云见日》,萨日娜 戴春荣 王志文 张铁林,https://image.ijq.tv/201908/02/17-53-15-43-47.png,images/17-53-15-43-47.png,李诚儒,https://www.ijq.tv/mingxing/15647395636108.html,https://image.ijq.tv/201908/02/17-53-15-43-47.png
秦天宇,,,汉族,内地,1993-7-10,,182CM,65KG,,巨蟹座,北京电影学院,演员,,秦天宇的新浪微博,《冰糖炖雪梨》《确认就位》《那年我对你的承诺》《九面怪侠》,魏天浩 陈楚月 周历杰 曹博 何宣林,https://image.ijq.tv/201908/02/17-03-41-56-47.png,images/17-03-41-56-47.png,秦天宇,https://www.ijq.tv/mingxing/15647365976107.html,https://image.ijq.tv/201908/02/17-03-41-56-47.png
何宣林,Xuanlin He,何苗,汉族,内地,1992-3-5,,166CM,45KG,,双鱼座,北京电影学院,演员,发生影业,何宣林的新浪微博,《冰糖炖雪梨》《长安十二时辰》《国家行动》《大牧歌》《上古情歌》,吴倩 张新成 周历杰 曹博,https://image.ijq.tv/201908/02/16-29-23-51-47.png,images/16-29-23-51-47.png,何宣林,https://www.ijq.tv/mingxing/15647345426106.html,https://image.ijq.tv/201908/02/16-29-23-51-47.png
曹博,,,汉族,内地,7-2,沈阳,177CM,60KG,,巨蟹座,北京电影学院,演员,,曹博的新浪微博,《冰糖炖雪梨》《当我们年轻的时候》《战金岭》《游戏规则》《暴雪将至》,张新成 吴倩 陈楚月 魏天浩,https://image.ijq.tv/201908/02/15-54-31-62-47.png,images/15-54-31-62-47.png,曹博,https://www.ijq.tv/mingxing/15647324496105.html,https://image.ijq.tv/201908/02/15-54-31-62-47.png
周历杰,,,汉族,内地,1997-7-6,,180CM,60KG,,巨蟹座,,演员,北京彼格影视有限公司,周历杰的新浪微博,《未经安排的青春》《冰糖炖雪梨》《音乐会》,林更新 赵丽颖 吴倩,https://image.ijq.tv/201908/02/15-25-09-67-47.png,images/15-25-09-67-47.png,周历杰,https://www.ijq.tv/mingxing/15647306876104.html,https://image.ijq.tv/201908/02/15-25-09-67-47.png
王子腾,,,汉族,内地,1994-3-23,,181CM,70KG,O型,白羊座,北京电影学院,演员,青春你好,王子腾的新浪微博,《艳势番之新青年》《五彩戏娃》,黄子韬 易烊千玺,https://image.ijq.tv/201908/02/11-22-53-37-46.jpg,images/11-22-53-37-46.jpg,王子腾,https://www.ijq.tv/mingxing/15647160696102.html,https://image.ijq.tv/201908/02/11-22-53-37-46.jpg
