中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
叶恺文,,,汉族,内地,2005-9-14,上海,155CM,29KG,,处女座,,演员,,叶恺文的新浪微博,《如懿传》《伪装者》《青丘狐传说》,周迅 霍建华,https://image.ijq.tv/201909/26/15-35-12-60-46.jpg,images/15-35-12-60-46.jpg,叶恺文,https://www.ijq.tv/mingxing/15694833036662.html,https://image.ijq.tv/201909/26/15-35-12-60-46.jpg
何昕苪,,何小歪,汉族,内地,,浙江,150CM,25KG,,,,演员,,何昕苪的新浪微博,《知否知否应是绿肥红瘦》《翡翠恋人》,赵丽颖 冯绍峰,https://image.ijq.tv/201909/26/14-53-18-69-46.jpg,images/14-53-18-69-46.jpg,何昕苪,https://www.ijq.tv/mingxing/15694807886660.html,https://image.ijq.tv/201909/26/14-53-18-69-46.jpg
刘德熙,,,汉族,内地,1995-11-21,,,,,天蝎座,,"演员,歌手",捷特联合,刘德熙的新浪微博,《小小的愿望》《创造101》,彭昱畅 王大陆 魏大勋,https://image.ijq.tv/201909/26/15-07-39-58-47.png,images/15-07-39-58-47.png,刘德熙,https://www.ijq.tv/mingxing/15694804046661.html,https://image.ijq.tv/201909/26/15-07-39-58-47.png
侯天来,Hou Tianlai,,汉族,内地,1958,吉林省长春市宽城区,178CM,70KG,,,吉林艺术学院,演员,温柔慌言,侯天来的新浪微博,《女人不再沉默》《国家机密》《绝不放过你》,余男 保剑锋 黄奕 李学政,https://image.ijq.tv/201909/26/15-46-59-15-46.jpg,images/15-46-59-15-46.jpg,侯天来,https://www.ijq.tv/mingxing/15694788816659.html,https://image.ijq.tv/201909/26/15-46-59-15-46.jpg
林君怡,Goonee,,汉族,内地,1997-6-14,,168CM,45KG,,双子座,,"演员,歌手",觉醒东方|LEGAL HIGH组合,林君怡的新浪微博,《下一站传奇》《创造101》,孟美岐 陈乐一 吴卓凡 谢可寅 徐艺洋 刘丹萌,https://image.ijq.tv/201909/26/11-57-12-67-47.png,images/11-57-12-67-47.png,林君怡,https://www.ijq.tv/mingxing/15694702086657.html,https://image.ijq.tv/201909/26/11-57-12-67-47.png
庄森,Johnson,小都敏俊,汉族,内地,1997-10-30,泉州,183CM,65KG,,天蝎座,北京现代音乐学院,演员,,庄森的新浪微博,《谜域之噬魂岭》《十步一剑》《全力青春》,金瀚,https://image.ijq.tv/201909/26/11-47-27-73-46.jpg,images/11-47-27-73-46.jpg,庄森,https://www.ijq.tv/mingxing/15694695346656.html,https://image.ijq.tv/201909/26/11-47-27-73-46.jpg
令卓,,,汉族,内地,,,175CM,65KG,,,波士顿大学,演员,,令卓的新浪微博,《在远方》《执行利剑》《布衣天下》《平遥人》,凌潇肃 啜妮 章贺,https://image.ijq.tv/201909/26/11-25-37-14-46.png,images/11-25-37-14-46.png,令卓,https://www.ijq.tv/mingxing/15694683276655.html,https://image.ijq.tv/201909/26/11-25-37-14-46.png
李天韵,Lena,,汉族,内地,1998-5-28,山东,168CM,49KG,,双子座,西南位育中学,"演员,歌手",CheckMate Entertainment,李天韵的新浪微博,《创造101》,孟美岐 吴宣仪,https://image.ijq.tv/201909/26/10-45-08-54-47.png,images/10-45-08-54-47.png,李天韵,https://www.ijq.tv/mingxing/15694653256653.html,https://image.ijq.tv/201909/26/10-45-08-54-47.png
周延,GAI,GAI爷,汉族,内地,1988-3-22,内江市威远县,178CM,63KG,,白羊座,,"演员,歌手",种梦传媒集团,周延的新浪微博,《营救汪星人》《天干物燥》《火锅底料》《沙海》《你猜我猜不猜》《王者降临》,PGW 菊麟 田一德 吴亦凡,https://image.ijq.tv/201909/25/18-03-46-65-47.png,images/18-03-46-65-47.png,周延,https://www.ijq.tv/mingxing/15694057996652.html,https://image.ijq.tv/201909/25/18-03-46-65-47.png
梁佳伟,,,汉族,内地,1991-2-3,山东济南,178CM,65KG,,水瓶座,,演员,,梁佳伟的新浪微博,《时空转校生》《我的小姨》,童蕾 朱泳腾 赵峥,https://image.ijq.tv/201909/25/17-38-56-40-46.jpg,images/17-38-56-40-46.jpg,梁佳伟,https://www.ijq.tv/mingxing/15694043316650.html,https://image.ijq.tv/201909/25/17-38-56-40-46.jpg
菊麟,Julin,,汉族,内地,1998-11-1,南京,168CM,46KG,,天蝎座,北京电影学院,"演员,歌手",喀什种梦世纪文化传媒有限公司,菊麟的新浪微博,《创造101》《荣耀之路》《火线行动》《星际流浪》,孟美岐 吴宣仪 周延 田一德,https://image.ijq.tv/201909/25/17-23-25-65-47.png,images/17-23-25-65-47.png,菊麟,https://www.ijq.tv/mingxing/15694033336649.html,https://image.ijq.tv/201909/25/17-23-25-65-47.png
胡悦儿,,,汉族,内地,1997-6-1,,166CM,45KG,,双子座,,"演员,歌手",致億传媒,胡悦儿的新浪微博,《创造101》,江璟儿 姜彦汐 蒋申 焦曼婷 菊麟 赖美云,https://image.ijq.tv/201909/25/16-57-05-84-47.png,images/16-57-05-84-47.png,胡悦儿,https://www.ijq.tv/mingxing/15694017796648.html,https://image.ijq.tv/201909/25/16-57-05-84-47.png
卢佳,,,汉族,内地,,湖南,163CM,40KG,,,中央戏剧学院,演员,北京时代光影,卢佳的新浪微博,《我们的四十年》《奋斗吧，少年！》,汤敏 吴希泽,https://image.ijq.tv/201909/25/17-11-34-84-46.jpg,images/17-11-34-84-46.jpg,卢佳,https://www.ijq.tv/mingxing/15694007356646.html,https://image.ijq.tv/201909/25/17-11-34-84-46.jpg
韩丹,,,汉族,内地,1994-1-23,湖北,,,,,,"演员,歌手",,韩丹的新浪微博,《鲛人之殇》《等等》《爱情公寓》《创造101》,孟美岐 高秋梓,https://image.ijq.tv/201909/25/16-36-43-13-47.png,images/16-36-43-13-47.png,韩丹,https://www.ijq.tv/mingxing/15694005746647.html,https://image.ijq.tv/201909/25/16-36-43-13-47.png
勾雪莹,Gogo,勾勾,汉族,内地,1997-5-10,黑龙江,165CM,45KG,,金牛座,扑度娱乐,"演员,歌手",扑度娱乐,勾雪莹的新浪微博,《倔强的王者》《创造101》,韩丹 胡悦儿 江璟儿 姜彦汐,https://image.ijq.tv/201909/25/16-18-59-65-47.png,images/16-18-59-65-47.png,勾雪莹,https://www.ijq.tv/mingxing/15693995156645.html,https://image.ijq.tv/201909/25/16-18-59-65-47.png
倪美诗,,,汉族,内地,1999-11-27,重庆,166CM,45KG,,射手座,上海视觉艺术学院 ​​​​,演员,,倪美诗的新浪微博,《飞行少年》,严屹宽 范世錡 孙铱,https://image.ijq.tv/201909/25/16-12-14-58-46.jpg,images/16-12-14-58-46.jpg,倪美诗,https://www.ijq.tv/mingxing/15693991256644.html,https://image.ijq.tv/201909/25/16-12-14-58-46.jpg
