中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
高雅轩,,,汉族,内地,10-26,山东,168CM,47KG,B型,天蝎座,北京电影学院,演员,天禾兄弟影视投资,高雅轩的新浪微博,《下海》《国宝疑云》《时间都去哪了》,邢昭林,https://image.ijq.tv/201608/30/16-04-26-35-26.jpg,images/16-04-26-35-26.jpg,高雅轩,https://www.ijq.tv/mingxing/1516.html,https://image.ijq.tv/201608/30/16-04-26-35-26.jpg
单薇,Vicky,,汉族,内地,1988-12-8,杭州,168CM,48KG,O型,射手座,北京电影学院,演员,浙江长城影视,单薇的新浪微博,《隋唐英雄4》《末代皇帝传奇》,陈晓雪,https://image.ijq.tv/201503/17/16-31-42-63-8.jpg,images/16-31-42-63-8.jpg,单薇,https://www.ijq.tv/mingxing/1515.html,https://image.ijq.tv/201503/17/16-31-42-63-8.jpg
冯艺茗,Feng Yi Ming,,汉族,内地,,重庆,165CM,42KG,O型,双鱼座,北京电影学院表演戏,演员,,冯艺茗的新浪微博,《婚前协议》《太行山上》,白冰,https://image.ijq.tv/201503/17/16-14-35-21-8.jpg,images/16-14-35-21-8.jpg,冯艺茗,https://www.ijq.tv/mingxing/1514.html,https://image.ijq.tv/201503/17/16-14-35-21-8.jpg
李舒桐,,李晓凤,汉族,内地,1983-4-11,河南,167CM,50KG,A型,白羊座,北京舞蹈学院,"演员,模特",东方歌舞团,李舒桐的新浪微博,《头号前妻》《老大的幸福》《开门见喜》,李佳航,https://image.ijq.tv/201604/22/16-32-57-60-19.png,images/16-32-57-60-19.png,李舒桐,https://www.ijq.tv/mingxing/1513.html,https://image.ijq.tv/201604/22/16-32-57-60-19.png
刘雪华,,,汉族,内地,1959-11-12,北京,,50KG,O型,天蝎座,香港长城电影学校,演员,,,《遇见爱情的利先生》《几度夕阳红》《庭院深深》,,https://image.ijq.tv/201503/17/10-58-42-80-13.jpg,images/10-58-42-80-13.jpg,刘雪华,https://www.ijq.tv/mingxing/1512.html,https://image.ijq.tv/201503/17/10-58-42-80-13.jpg
王泫伊,Isabella,王泫尹,汉族,内地,7-4,兰州,164CM,45KG,B型,巨蟹座,中央戏剧学院02级表演系,演员,北京广电影视传媒有限公司,,《皇甫谧传奇》《贤妻》,,https://image.ijq.tv/201503/17/10-54-07-73-14.jpg,images/10-54-07-73-14.jpg,王泫伊,https://www.ijq.tv/mingxing/1511.html,https://image.ijq.tv/201503/17/10-54-07-73-14.jpg
于效辰,,,汉族,内地,1988-7-30,青岛,178CM,,A型,白羊座,云南艺术学院表演系本科,"演员,歌手",,于效辰的新浪微博,《遇见爱情的利先生》,陈晓,https://image.ijq.tv/201503/17/10-41-24-82-13.jpg,images/10-41-24-82-13.jpg,于效辰,https://www.ijq.tv/mingxing/1509.html,https://image.ijq.tv/201503/17/10-41-24-82-13.jpg
郭晓然,guoxiaoran,内地小张国荣,汉族,内地,1983-4-1,山东济南,178CM,70KG,AB型,白羊座,中央戏剧学院表演系2000本科,演员,东阳得闲艺人经纪公司,郭晓然的新浪微博,《温州两家人》《欢乐颂2》,王凯 王子文,https://image.ijq.tv/201705/12/16-50-06-57-19.png,images/16-50-06-57-19.png,郭晓然,https://www.ijq.tv/mingxing/1510.html,https://image.ijq.tv/201705/12/16-50-06-57-19.png
肖涵,Jenny,,汉族,内地,6-23,湖南省衡阳市雁峰区,168CM,49KG,A型,巨蟹座,上海戏剧学院表演系03级,演员,北京紫微星空文化传媒有限公司,肖涵的新浪微博,《双刺》《遇见爱情的利先生》《一起来看流星雨》,,https://image.ijq.tv/201503/17/10-30-11-43-13.jpg,images/10-30-11-43-13.jpg,肖涵,https://www.ijq.tv/mingxing/1507.html,https://image.ijq.tv/201503/17/10-30-11-43-13.jpg
王宥胜,Chris Wang,宥胜、小宥、克里斯,汉族,内地,1982-6-9,台湾省新北市,178CM,61KG,O型,双子座,国立中央大学财务金融系,"演员,歌手",怡佳娱乐经纪,,《长在面包树上的女人》《犀利人妻》《真爱找麻烦》,,https://image.ijq.tv/201503/17/10-33-31-26-14.jpg,images/10-33-31-26-14.jpg,王宥胜,https://www.ijq.tv/mingxing/1508.html,https://image.ijq.tv/201503/17/10-33-31-26-14.jpg
