中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
李俊逸,,,汉族,内地,1996-2,,182CM,70KG,,双鱼座,University of San Francisco旧金山大学,演员,,李俊逸的新浪微博,《琉璃美人煞》《烈火军校》,成毅 袁冰妍,https://image.ijq.tv/201908/30/14-26-31-39-46.jpg,images/14-26-31-39-46.jpg,李俊逸,https://www.ijq.tv/mingxing/15671463806386.html,https://image.ijq.tv/201908/30/14-26-31-39-46.jpg
张梓玲,JASEECA,,汉族,内地,濮阳,1991-2-26,,,,,江南大学,演员,北京星光灿烂影视,张梓玲的新浪微博,《魔力手机》《不良男票》《脱轨男女》《动物出击》《都市妖奇谈》,蒋典 张悦,https://image.ijq.tv/201908/30/14-19-58-11-47.png,images/14-19-58-11-47.png,张梓玲,https://www.ijq.tv/mingxing/15671459586385.html,https://image.ijq.tv/201908/30/14-19-58-11-47.png
陈立唯,,陈勇,汉族,内地,,,,,,,,演员,,,《魔镜比斯环》《人民子弟兵》《杀人回忆》《诛仙》《医馆笑传》《锦衣之下》,肖战 李沁 孟美岐 唐艺昕,https://image.ijq.tv/201908/30/13-50-04-67-47.png,images/13-50-04-67-47.png,陈立唯,https://www.ijq.tv/mingxing/15671441516384.html,https://image.ijq.tv/201908/30/13-50-04-67-47.png
徐少强,Norman Chui,徐大侠,汉族,内地,1950-10-16,江门,180CM,80KG,,天秤座,,演员,邵氏公司,徐少强的新浪微博,《天龙八部》《聊斋新编》《寂寞空庭春欲晚》《隋唐演义》,成龙 米雪 严慧明 樊少皇 徐伟栋,https://image.ijq.tv/201908/30/11-20-54-66-47.png,images/11-20-54-66-47.png,徐少强,https://www.ijq.tv/mingxing/15671352256383.html,https://image.ijq.tv/201908/30/11-20-54-66-47.png
陈良平,CHENLIANGPING,,汉族,内地,1966-2-4,衢山,176CM,65KG,A型,水瓶座,上海戏剧学院表演系,演员,,陈良平的新浪微博,《如意》《千山暮雪》《长生殿》《寂寞空庭春欲晚》《煮妇神探》,刘恺威 郑爽 米雪 贾一平,https://image.ijq.tv/201908/30/10-41-15-74-47.png,images/10-41-15-74-47.png,陈良平,https://www.ijq.tv/mingxing/15671328426382.html,https://image.ijq.tv/201908/30/10-41-15-74-47.png
徐凌晨,dazzle,,汉族,内地,2002-1-2,台州,173CM,55KG,,魔羯座,,演员,上海娱童文化,徐凌晨的新浪微博,《寂寞空庭春欲晚》《赤水河》《如懿传》《百战天狼》,胡军 冯绍峰 刘恺威 郑爽,https://image.ijq.tv/201908/30/10-10-27-32-47.png,images/10-10-27-32-47.png,徐凌晨,https://www.ijq.tv/mingxing/15671296846381.html,https://image.ijq.tv/201908/30/10-10-27-32-47.png
葛丽莎,,莎莎,汉族,内地,2006-5-8,杭州,160CM,45KG,,金牛座,,"演员,模特",,葛丽莎的新浪微博,《快长大》《寒冬》《寂寞空庭春欲晚》《黎明决战》《少年志》,吴奇隆 黎明 范冰冰 郑爽 刘恺威 贾乃亮 薛佳凝 景岗山,https://image.ijq.tv/201908/30/09-42-54-96-47.png,images/09-42-54-96-47.png,葛丽莎,https://www.ijq.tv/mingxing/15671293516380.html,https://image.ijq.tv/201908/30/09-42-54-96-47.png
曹艳,Jasmin,"小燕子,艳艳",汉族,内地,1983-1-6,江西,163CM,43KG,A型,魔羯座,中央戏剧学院,演员,北京东仑国际文化传媒,曹艳的新浪微博,《李白》《欢天喜地七仙女》《寂寞空庭春欲晚》《冷箭》《香山》,蒋欣 霍思燕 刘恺威 郑爽,https://image.ijq.tv/201908/29/17-54-20-21-47.png,images/17-54-20-21-47.png,曹艳,https://www.ijq.tv/mingxing/15670724296379.html,https://image.ijq.tv/201908/29/17-54-20-21-47.png
陈圆,Leilani,,汉族,内地,1995-12-24,四川,164CM,48KG,,魔羯座,北京电影学院,演员,,陈圆的新浪微博,《半妖皇帝》《寂寞空庭春欲晚》《煮妇神探》《苏染染追夫记》《诡域新娘》《杨家沟的天》,李小璐 贾乃亮,https://image.ijq.tv/201908/29/17-00-00-26-47.png,images/17-00-00-26-47.png,陈圆,https://www.ijq.tv/mingxing/15670691616378.html,https://image.ijq.tv/201908/29/17-00-00-26-47.png
秦浩,Michael,,汉族,内地,1988-6-16,河北,181CM,67KG,,双子座,中央戏剧学院,演员,,秦浩的新浪微博,《胭脂》《延安电影团》《喜酒》《秀才遇到兵》《远山仡佬》,赵丽颖 陆毅 陶昕然,https://image.ijq.tv/201908/29/16-33-20-82-47.png,images/16-33-20-82-47.png,秦浩,https://www.ijq.tv/mingxing/15670672466377.html,https://image.ijq.tv/201908/29/16-33-20-82-47.png
