中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
许还山,XU HUAN SHAN,还山,汉族,内地,1937-7-13,江西乐平,175CM,68KG,,,北京电影学院,,,,,https://image.ijq.tv/201504/14/11-03-51-57-12.jpg,images/11-03-51-57-12.jpg,许还山,https://www.ijq.tv/mingxing/1743.html,https://image.ijq.tv/201504/14/11-03-51-57-12.jpg,
袁志博,,,汉族,内地,08-28,云南昆明,,48KG,AB型,天蝎座,中央戏剧学院2000级表本,演员,北京世纪众和影视文化有限公司,《芈月传》《信者无敌》,,https://image.ijq.tv/201504/14/10-48-52-45-13.jpg,images/10-48-52-45-13.jpg,袁志博,https://www.ijq.tv/mingxing/1741.html,https://image.ijq.tv/201504/14/10-48-52-45-13.jpg,袁志博的新浪微博
李智楠,kelvin,,汉族,内地,1985-10-20,上海,178CM,68KG,B型,天秤座,上海舞蹈学校|北京电影学院,演员,,《望夫成龙》,搭档姜宏波,https://image.ijq.tv/201504/14/10-32-11-92-13.jpg,images/10-32-11-92-13.jpg,李智楠,https://www.ijq.tv/mingxing/1740.html,https://image.ijq.tv/201504/14/10-32-11-92-13.jpg,李智楠的新浪微博
古铭瀚,Luker edward,吴晓翔,汉族,内地,1987-12-9,杭州,179CM,66KG,,金牛座,浙江艺术学院戏剧系,,,《欲望的阶梯》,,https://image.ijq.tv/201504/14/10-27-26-40-12.jpg,images/10-27-26-40-12.jpg,古铭瀚,https://www.ijq.tv/mingxing/1739.html,https://image.ijq.tv/201504/14/10-27-26-40-12.jpg,
唐艺纯,Eva,艺小纯,满族,内地,1988-12-10,辽宁丹东,165CM,44KG,AB型,射手座,上海戏剧学院,演员,,《后宫》《欲望的阶梯》,张檬,https://image.ijq.tv/201504/14/10-13-36-67-12.jpg,images/10-13-36-67-12.jpg,唐艺纯,https://www.ijq.tv/mingxing/1738.html,https://image.ijq.tv/201504/14/10-13-36-67-12.jpg,
杨昆,,,汉族,内地,08-28,云南昆明,160CM,,B型,处女座,上海戏剧学院,演员,,《芈月传》,搭档焦晃,https://image.ijq.tv/201504/14/10-09-06-31-13.jpg,images/10-09-06-31-13.jpg,杨昆,https://www.ijq.tv/mingxing/1737.html,https://image.ijq.tv/201504/14/10-09-06-31-13.jpg,杨昆的新浪微博
施京明,,,汉族,内地,1956-7-8,北京,180CM,65KG,O型,巨蟹座,中央戏剧学院,演员,,《芈月传》,,https://image.ijq.tv/201504/13/17-25-09-64-13.jpg,images/17-25-09-64-13.jpg,施京明,https://www.ijq.tv/mingxing/1736.html,https://image.ijq.tv/201504/13/17-25-09-64-13.jpg,
李智雪,,,汉族,内地,,辽宁省沈阳市,168CM,49KG,A型,巨蟹座,北京电影学院表演系2012级,演员,,《缘来幸福》,,https://image.ijq.tv/201504/13/17-24-31-34-14.png,images/17-24-31-34-14.png,李智雪,https://www.ijq.tv/mingxing/1735.html,https://image.ijq.tv/201504/13/17-24-31-34-14.png,
曹卫宇,,卫宇,汉族,内地,1972-1-26,新疆生产建设兵团石河子市,178CM,72KG,B型,射手座,中央戏剧学院表演系本科90级,演员,,《芈月传》《春桃的战争》《楚汉传奇》,,https://image.ijq.tv/201504/13/17-13-25-15-13.jpg,images/17-13-25-15-13.jpg,曹卫宇,https://www.ijq.tv/mingxing/1734.html,https://image.ijq.tv/201504/13/17-13-25-15-13.jpg,曹卫宇的新浪微博
李晓峰,,,汉族,内地,,安徽,170CM,49KG,AB型,双子座,安徽纺织工业学院,"演员,主持人",,《我为儿孙当北漂》,于和伟,https://image.ijq.tv/201504/13/17-11-13-97-11.jpg,images/17-11-13-97-11.jpg,李晓峰,https://www.ijq.tv/mingxing/1733.html,https://image.ijq.tv/201504/13/17-11-13-97-11.jpg,李晓峰的新浪微博
殷旭,,,汉族,内地,1983-8-15,辽宁,168CM,49KG,B型,狮子座,北京电影学院,演员,,《芈月传》,丈夫章子男 小姑子章子怡,https://image.ijq.tv/201504/13/16-54-01-81-13.jpg,images/16-54-01-81-13.jpg,殷旭,https://www.ijq.tv/mingxing/1732.html,https://image.ijq.tv/201504/13/16-54-01-81-13.jpg,
张钧涵,,,汉族,内地,1984-8-15,辽宁鞍山,178CM,65KG,AB型,狮子座,北京电影学院,演员,乐视网信息技术（北京）股份有限公司,《芈月传》,孙俪,https://image.ijq.tv/201504/13/16-45-07-72-13.jpg,images/16-45-07-72-13.jpg,张钧涵,https://www.ijq.tv/mingxing/1731.html,https://image.ijq.tv/201504/13/16-45-07-72-13.jpg,张钧涵的新浪微博
张潇恒,,,,内地,1983-4-10,辽宁沈阳,182CM,65KG,B型,白羊座,辽宁省艺术学校99级话剧班|中央戏剧学院2002级表演系本科,演员,,《芈月传》,,https://image.ijq.tv/201504/13/16-33-49-24-13.jpg,images/16-33-49-24-13.jpg,张潇恒,https://www.ijq.tv/mingxing/1729.html,https://image.ijq.tv/201504/13/16-33-49-24-13.jpg,
何音,,,汉族,内地,1967-3-16,四川,164CM,51KG,A型,双鱼座,,演员,,《女医明妃传》,前夫黄志忠,https://image.ijq.tv/201504/13/16-35-07-55-14.png,images/16-35-07-55-14.png,何音,https://www.ijq.tv/mingxing/1730.html,https://image.ijq.tv/201504/13/16-35-07-55-14.png,
汤甄,Tangzheng,汤小妞,汉族,内地,2004-12-21,江苏南通市,151CM,32KG,A型,射手座,,演员,明道工作室,《天使的幸福》《青春的应答》《小时代4：灵魂尽头》,,https://image.ijq.tv/201504/13/16-30-44-33-7.jpg,images/16-30-44-33-7.jpg,汤甄,https://www.ijq.tv/mingxing/1728.html,https://image.ijq.tv/201504/13/16-30-44-33-7.jpg,汤甄的新浪微博
姜宏波,,"姜易宏,姜鸿波",汉族,内地,1973-1-18,黑龙江省齐齐哈尔市,173CM,52KG,B型,金牛座,沈阳体育学院|北京电影学院,演员,,《芈月传》,搭档李智楠,https://image.ijq.tv/201504/13/16-20-26-86-13.jpg,images/16-20-26-86-13.jpg,姜宏波,https://www.ijq.tv/mingxing/1726.html,https://image.ijq.tv/201504/13/16-20-26-86-13.jpg,姜宏波的新浪微博
涂彦倪,Tuyanni,"彦倪倪,倪妮子,彦宝",汉族,内地,1983-10-05,四川,168CM,46KG,A型,天秤座,中央戏剧学院表演系,演员,,《微爱之渐入佳境》,搭档angelababy,https://image.ijq.tv/201504/13/16-29-17-44-10.jpg,images/16-29-17-44-10.jpg,涂彦倪,https://www.ijq.tv/mingxing/1727.html,https://image.ijq.tv/201504/13/16-29-17-44-10.jpg,涂彦倪的新浪微博
王艺霏,,,汉族,内地,1994-2-21,鞍山,170CM,43KG,A型,双鱼座,中央戏剧学院,"演员,模特",,《下一站婚姻》,,https://image.ijq.tv/201707/17/15-48-15-75-26.jpg,images/15-48-15-75-26.jpg,王艺霏,https://www.ijq.tv/mingxing/1725.html,https://image.ijq.tv/201707/17/15-48-15-75-26.jpg,
祖峰,,,汉族,内地,1974-2-23,江苏省南京市,176CM,65KG,B型,双鱼座,北京电影学院,"演员,歌手",北京君为文化传播有限公司,《芈月传》《北平无战事》《毕业歌》《猎场》《欢乐颂》,同学赵薇 夫妻刘天池,https://image.ijq.tv/201504/13/15-25-25-40-13.jpg,images/15-25-25-40-13.jpg,祖峰,https://www.ijq.tv/mingxing/1723.html,https://image.ijq.tv/201504/13/15-25-25-40-13.jpg,
姜瑞佳,Jiangjiarui,佳佳,汉族,内地,1991-3-8,山东省济南市,163CM,47KG,O型,双鱼座,上海戏剧学院,演员,星力天际（上海）文化经纪有限公司,《山楂树之恋》《飞天》《天使艾美丽》《北平无战事》,搭档陈赫 搭档路宏,https://image.ijq.tv/201504/13/15-39-20-58-10.jpg,images/15-39-20-58-10.jpg,姜瑞佳,https://www.ijq.tv/mingxing/1724.html,https://image.ijq.tv/201504/13/15-39-20-58-10.jpg,姜瑞佳的新浪微博
刘瑞琪,,瑞琪,汉族,内地,1960-12-9,台湾省新竹县竹东镇,163CM,46KG,A型,射手座,崇佑技术学院,演员,,《搭错车》《欲望的阶梯》,,https://image.ijq.tv/201504/13/14-46-20-22-12.jpg,images/14-46-20-22-12.jpg,刘瑞琪,https://www.ijq.tv/mingxing/1720.html,https://image.ijq.tv/201504/13/14-46-20-22-12.jpg,
高旭阳,Gaoxunyang,,汉族,内地,1983-7-2,黑龙江,177CM,65KG,B型,巨蟹座,中央戏剧学院表演系本科07级,演员,,《翻手为云覆手雨》《赵氏孤儿案》《刘海砍樵》,搭档左小青 搭档胡军,https://image.ijq.tv/201504/13/14-55-51-46-10.jpg,images/14-55-51-46-10.jpg,高旭阳,https://www.ijq.tv/mingxing/1721.html,https://image.ijq.tv/201504/13/14-55-51-46-10.jpg,高旭阳的新浪微博
张筝,,张铮,汉族,内地,1990-6-24,河北,167CM,45KG,AB型,巨蟹座,北京电影学院,演员,凤凰传奇影业有限公司,《二婶》《中国往事》《我的土地我的家》,赵小天,https://image.ijq.tv/201504/13/14-59-48-94-8.jpg,images/14-59-48-94-8.jpg,张筝,https://www.ijq.tv/mingxing/1722.html,https://image.ijq.tv/201504/13/14-59-48-94-8.jpg,张筝的新浪微博
赵小天,Trinity,赵天天,汉族,内地,1991-8-1,太原,168CM,48KG,B型,狮子座,中国戏曲学院,演员,凤凰传奇影业有限公司,《二婶》《花样跳水少年》,王骏毅,https://image.ijq.tv/201504/13/14-31-56-26-8.jpg,images/14-31-56-26-8.jpg,赵小天,https://www.ijq.tv/mingxing/1719.html,https://image.ijq.tv/201504/13/14-31-56-26-8.jpg,赵小天的新浪微博
胡彩虹,,,汉族,内地,1-13,山西,164CM,46KG,A型,白羊座,,演员,刘宇烯工作室,《欲望的阶梯》,,https://image.ijq.tv/201504/13/14-23-41-23-12.jpg,images/14-23-41-23-12.jpg,胡彩虹,https://www.ijq.tv/mingxing/1717.html,https://image.ijq.tv/201504/13/14-23-41-23-12.jpg,
庄洁梦,JIE ZHUANG,,汉族,内地,1992-2-9,四川,166CM,50KG,A型,水瓶座,Hofstra University,"演员,歌手",英皇娱乐集团有限公司,《新萧十一郎》,,https://image.ijq.tv/201504/13/14-26-33-41-14.png,images/14-26-33-41-14.png,庄洁梦,https://www.ijq.tv/mingxing/1718.html,https://image.ijq.tv/201504/13/14-26-33-41-14.png,
刘思涵,Koala,考拉,汉族,内地,1989-4-25,四川成都,165CM,52KG,B型,金牛座,四川外国语大学成都学院,"演员,歌手",种子音乐,《新萧十一郎》,好友戴佩妮 好友梁晓雪 搭档汪小敏,https://image.ijq.tv/201504/13/14-10-32-88-14.png,images/14-10-32-88-14.png,刘思涵,https://www.ijq.tv/mingxing/1715.html,https://image.ijq.tv/201504/13/14-10-32-88-14.png,刘思涵的新浪微博
王骏毅,Jason.Yi,,汉族,内地,1982-6-12,鹤岗,184CM,73KG,AB型,双子座,北京电影学院,演员,,《二婶》《绝地刀锋》《绝战桂林》,黄曼,https://image.ijq.tv/201504/13/14-14-31-64-8.jpg,images/14-14-31-64-8.jpg,王骏毅,https://www.ijq.tv/mingxing/1716.html,https://image.ijq.tv/201504/13/14-14-31-64-8.jpg,王骏毅的新浪微博
丁宇辰,,,回族,内地,06-19,北京,180CM,,,,北京电影学院,演员,,《谋圣鬼谷子》《秦时明月》,,https://image.ijq.tv/201504/10/16-31-33-35-13.jpg,images/16-31-33-35-13.jpg,丁宇辰,https://www.ijq.tv/mingxing/1714.html,https://image.ijq.tv/201504/10/16-31-33-35-13.jpg,
