中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
闫笑,Olivia,笑笑,汉族,内地,3-26,吉林省长春市,168CM,45KG,AB型,白羊座,,演员,芒果影视,闫笑的新浪微博,《三里屯的朋友圈》《逆时空之恋》《古剑奇谭2》,,https://image.ijq.tv/201709/06/10-48-33-57-26.jpg,images/10-48-33-57-26.jpg,闫笑,https://www.ijq.tv/mingxing/15046650694629.html,https://image.ijq.tv/201709/06/10-48-33-57-26.jpg
李燊,,,汉族,内地,1990-1-31,黑龙江省哈尔滨市,183CM,62KG,AB型,狮子座,上海戏剧学院,演员,,李燊的新浪微博,《结爱千岁大人的初恋》《斗破苍穹》《我不是购物狂》,黄景瑜,https://image.ijq.tv/201709/06/09-49-52-80-26.jpg,images/09-49-52-80-26.jpg,李燊,https://www.ijq.tv/mingxing/15046618014628.html,https://image.ijq.tv/201709/06/09-49-52-80-26.jpg
高丽雯,,,汉族,内地,1991-5-28,美国,172CM,45KG,A型,巨蟹座,纽约大学,演员,北京广电影视传媒有限公司,高丽雯的新浪微博,《我的仨妈俩爸》《少帅》《女兵突击》,王姬,https://image.ijq.tv/201709/05/15-40-03-89-19.jpg,images/15-40-03-89-19.jpg,高丽雯,https://www.ijq.tv/mingxing/15045971744625.html,https://image.ijq.tv/201709/05/15-40-03-89-19.jpg
肖大千,,,汉族,内地,1994-8-9,湖南长沙,182CM,63KG,AB型,狮子座,武汉大学,演员,北京万合天宜影视文化有限公司,肖大千的新浪微博,《调香师》,葛布,https://image.ijq.tv/201709/05/15-57-47-67-26.jpg,images/15-57-47-67-26.jpg,肖大千,https://www.ijq.tv/mingxing/15045970074626.html,https://image.ijq.tv/201709/05/15-57-47-67-26.jpg
李昕芸,Xinyun Li,李晓枫,,内地,1983-7-14,四川成都,168CM,40KG,AB型,巨蟹座,中国传媒大学,演员,,李昕芸的新浪微博,《达达》《有种》《床上关系》,,https://image.ijq.tv/201709/05/14-31-45-80-26.jpg,images/14-31-45-80-26.jpg,李昕芸,https://www.ijq.tv/mingxing/15045930224624.html,https://image.ijq.tv/201709/05/14-31-45-80-26.jpg
高晴,Sunny,"小晴,最美校服女生",汉族,内地,1997-5-18,辽宁省辽阳市辽阳县,163CM,45KG,AB型,金牛座,辽阳县第一高级中学|中国传媒大学,演员,,高晴的新浪微博,《先生你哪位》,,https://image.ijq.tv/201709/05/11-22-19-77-26.jpg,images/11-22-19-77-26.jpg,高晴,https://www.ijq.tv/mingxing/15045802684623.html,https://image.ijq.tv/201709/05/11-22-19-77-26.jpg
焦睿,,,汉族,内地,1995-10-19,上海,179CM,60KG,B型,巨蟹座,上海戏剧学院,演员,,焦睿的新浪微博,《三年二班》,,https://image.ijq.tv/201709/05/10-07-30-51-26.jpg,images/10-07-30-51-26.jpg,焦睿,https://www.ijq.tv/mingxing/15045771274622.html,https://image.ijq.tv/201709/05/10-07-30-51-26.jpg
李俊墨,,,汉族,内地,1995-3,齐齐哈尔,182CM,68KG,O型,金牛座,中国人民武装警察部队学院,演员,北京东洋天映影视文化有限公司,李俊墨的新浪微博,《仙班校园2 》《谁的青春不叛逆》,,https://image.ijq.tv/201709/05/09-40-32-86-10.jpg,images/09-40-32-86-10.jpg,李俊墨,https://www.ijq.tv/mingxing/15045756254621.html,https://image.ijq.tv/201709/05/09-40-32-86-10.jpg
刘衍辰,,衍辰,汉族,内地,1988-2-13,辽宁省沈阳市,178CM,65KG,O型,水瓶座,上海师范大学谢晋影视学院表演系,演员,,刘衍辰的新浪微博,《淑女之家》《亮剑之雷霆战将》《28岁未成年》《急诊科医生》,搭档张云龙,https://image.ijq.tv/201709/04/16-30-59-44-10.jpg,images/16-30-59-44-10.jpg,刘衍辰,https://www.ijq.tv/mingxing/15045133784620.html,https://image.ijq.tv/201709/04/16-30-59-44-10.jpg
丁宇佳,,佳佳,汉族,内地,1992-8-13,上海,181CM,65KG,O型,狮子座,上海戏剧学院表演系音乐剧班,演员,,丁宇佳的新浪微博,《红孩儿》《我们的眼睛》《番茄不简单》《我的仨妈俩爸》《爱情邮局》《无忧公主》,徐百卉,https://image.ijq.tv/201709/04/16-11-14-47-19.jpg,images/16-11-14-47-19.jpg,丁宇佳,https://www.ijq.tv/mingxing/15045126494619.html,https://image.ijq.tv/201709/04/16-11-14-47-19.jpg
