中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
朱涵驿,jovian,,汉族,内地,,广东,178CM,65KG,,天蝎座,,演员,,朱涵驿的新浪微博,《G小调进行曲》,侯东 曾丽瑶,https://image.ijq.tv/201909/29/14-29-44-32-46.jpg,images/14-29-44-32-46.jpg,朱涵驿,https://www.ijq.tv/mingxing/15697385686692.html,https://image.ijq.tv/201909/29/14-29-44-32-46.jpg
杨蕊菡,,,汉族,内地,1996-1-1,,168CM,50KG,,魔羯座,,歌手,乐华娱乐,杨蕊菡的新浪微博,《创造101》,吴宣仪 孟美岐 张溪 江璟儿,https://image.ijq.tv/201909/29/14-23-09-96-47.png,images/14-23-09-96-47.png,杨蕊菡,https://www.ijq.tv/mingxing/15697380326691.html,https://image.ijq.tv/201909/29/14-23-09-96-47.png
尹柔懿,,,汉族,内地,1989-12-28,,169CM,45KG,,魔羯座,,歌手,欢乐世纪七娱乐,尹柔懿的新浪微博,《创造101》,邱路晴 朱佳希,https://image.ijq.tv/201909/29/14-07-37-31-47.png,images/14-07-37-31-47.png,尹柔懿,https://www.ijq.tv/mingxing/15697372136690.html,https://image.ijq.tv/201909/29/14-07-37-31-47.png
程枫,Owen,"程皓枫,小熊,枫少,更年期正太",汉族,内地,1976-12-10,上海市,179CM,70KG,A型,射手座,上海戏剧学院,演员,程皓枫工作室,程枫的新浪微博,《法医秦明》《琅琊榜》《神雕侠侣》,远明 黄海冰 刘涛,https://image.ijq.tv/201909/29/13-58-11-42-46.jpg,images/13-58-11-42-46.jpg,程枫,https://www.ijq.tv/mingxing/15697366786689.html,https://image.ijq.tv/201909/29/13-58-11-42-46.jpg
杨美琪,,,汉族,内地,1998-3-21,江苏,167CM,45KG,,白羊座,,歌手,闻澜文化,杨美琪的新浪微博,《创造101》,杨美玲 杨超越,https://image.ijq.tv/201909/29/11-48-06-20-47.png,images/11-48-06-20-47.png,杨美琪,https://www.ijq.tv/mingxing/15697288626688.html,https://image.ijq.tv/201909/29/11-48-06-20-47.png
杨美玲,Milei,,汉族,内地,1998-3-21,江苏,168CM,45KG,,白羊座,,歌手,闻澜文化,杨美玲的新浪微博,《下一站传奇》《创造101》,孟美岐 杨超越 杨美琪,https://image.ijq.tv/201909/29/11-33-36-64-47.png,images/11-33-36-64-47.png,杨美玲,https://www.ijq.tv/mingxing/15697279916687.html,https://image.ijq.tv/201909/29/11-33-36-64-47.png
杨晗,HANNA,,汉族,内地,1995-6-3,上海,167CM,45KG,,双子座,沈阳音乐学院,歌手,奇迈文化,杨晗的新浪微博,《创造101》,孟美岐,https://image.ijq.tv/201909/29/11-01-02-34-47.png,images/11-01-02-34-47.png,杨晗,https://www.ijq.tv/mingxing/15697260256686.html,https://image.ijq.tv/201909/29/11-01-02-34-47.png
颜可欣,,,汉族,内地,1999-11-18,四川,167CM,46KG,,天蝎座,,歌手,中樱桃文化,颜可欣的新浪微博,《创造101》,孟美岐,https://image.ijq.tv/201909/29/10-46-31-38-47.png,images/10-46-31-38-47.png,颜可欣,https://www.ijq.tv/mingxing/15697251696685.html,https://image.ijq.tv/201909/29/10-46-31-38-47.png
杨冰,,,汉族,内地,1995-12-30,,169CM,45KG,,魔羯座,,歌手,中樱桃文化,杨冰的新浪微博,《创造101》,孟美岐 朱天天,https://image.ijq.tv/201909/29/10-33-23-97-47.png,images/10-33-23-97-47.png,杨冰,https://www.ijq.tv/mingxing/15697243806684.html,https://image.ijq.tv/201909/29/10-33-23-97-47.png
Yamy,Yamy,"郭颖,亚米酱,Yamy酱",汉族,内地,1991-10-7,广东,168CM,45KG,,天秤座,广东药学院中山校区,歌手,极创引力,Yamy的新浪微博,《创造101》《中国有嘻哈》《Ay》《乌鸦》《木兰说》《毒液前来》,杨超越 孟美岐 吴宣仪,https://image.ijq.tv/201909/29/10-16-36-39-47.png,images/10-16-36-39-47.png,Yamy,https://www.ijq.tv/mingxing/15697224066683.html,https://image.ijq.tv/201909/29/10-16-36-39-47.png
