中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
王鹏凯,Wang pengkai,鹏凯,汉族,内地,1984-10-13,黑龙江,185CM,76KG,B型,天秤座,中央戏剧学院,演员,北京强视传媒,王鹏凯的新浪微博,《最后一战》《彭德怀元帅》《一门三司令》,崔林,https://image.ijq.tv/201507/29/10-37-27-81-8.jpg,images/10-37-27-81-8.jpg,王鹏凯,https://www.ijq.tv/mingxing/2971.html,https://image.ijq.tv/201507/29/10-37-27-81-8.jpg
胡光子,Hu Guangzi,,汉族,内地,11-27,重庆,181CM,74KG,O型,处女座,重庆大学美视电影学院,演员,华谊兄弟,胡光子的新浪微博,《铁齿铜牙纪晓岚4》,搭档王雷,https://image.ijq.tv/201507/28/17-00-27-84-10.jpg,images/17-00-27-84-10.jpg,胡光子,https://www.ijq.tv/mingxing/2970.html,https://image.ijq.tv/201507/28/17-00-27-84-10.jpg
鲁诺,lenox,,汉族,内地,1987-3-29,吉林长春,182CM,70KG,AB型,金牛座,北京电影学院,演员,,鲁诺的新浪微博,《丑女无敌》《小男人遇上大女人》,搭档袁弘,https://image.ijq.tv/201507/28/16-46-16-33-10.jpg,images/16-46-16-33-10.jpg,鲁诺,https://www.ijq.tv/mingxing/2969.html,https://image.ijq.tv/201507/28/16-46-16-33-10.jpg
朱杰,presidential,小杰,汉族,内地,1984-10-11,江苏省靖江市,166CM,49KG,O型,天秤座,上海戏剧学院表演系本科01级,演员,北京百盟影视策划有限公司,朱杰的新浪微博,《潜伏》《雪豹》《黄金地带》《婆婆来了》《返城年代》,张若昀,https://image.ijq.tv/201507/28/15-25-27-49-16.png,images/15-25-27-49-16.png,朱杰,https://www.ijq.tv/mingxing/2967.html,https://image.ijq.tv/201507/28/15-25-27-49-16.png
赵俊珺,junjun Zhao,,汉族,内地,1988-11-22,重庆,168CM,50KG,O型,处女座,四川大学,演员,,赵俊珺的新浪微博,《平凡的世界》,搭档袁弘 搭档佟丽娅,https://image.ijq.tv/201507/28/15-16-29-71-10.jpg,images/15-16-29-71-10.jpg,赵俊珺,https://www.ijq.tv/mingxing/2968.html,https://image.ijq.tv/201507/28/15-16-29-71-10.jpg
大张伟,wowkie zhang,张伟,汉族,内地,1983-8-31,北京市,177CM,56KG,B型,金牛座,,"演员,歌手",恒大音乐,大张伟的新浪微博,《嘻唰唰》《化蝶飞》,白凯南,https://image.ijq.tv/201507/28/15-10-53-60-12.jpg,images/15-10-53-60-12.jpg,大张伟,https://www.ijq.tv/mingxing/2964.html,https://image.ijq.tv/201507/28/15-10-53-60-12.jpg
孙海英,Sun haiying,小英,汉族,内地,1956年10月7日,中国辽宁,178CM,59KG,B型,天秤座,西藏军区话剧团,演员,,,《激情燃烧的岁月》《双旗镇刀客》,吕丽萍,https://image.ijq.tv/201507/28/15-06-27-19-16.png,images/15-06-27-19-16.png,孙海英,https://www.ijq.tv/mingxing/2965.html,https://image.ijq.tv/201507/28/15-06-27-19-16.png
孙建弘,,建弘,汉族,内地,1986-12-3,江西景德镇,174CM,63KG,B型,双子座,,"演员,主持人",,孙建弘的新浪微博,《百家笑谈-麻豆》,冯小刚,https://image.ijq.tv/201507/28/14-57-18-81-12.jpg,images/14-57-18-81-12.jpg,孙建弘,https://www.ijq.tv/mingxing/2962.html,https://image.ijq.tv/201507/28/14-57-18-81-12.jpg
崔林,Cui jingye,崔敬野,汉族,内地,1982-4-9,哈尔滨,175CM,60KG,O型,白羊座,北京体育大学,演员,,,《最后一战》《少林僧兵》《大城市小浪漫》,秋瓷炫,https://image.ijq.tv/201507/28/15-17-45-21-8.jpg,images/15-17-45-21-8.jpg,崔林,https://www.ijq.tv/mingxing/2966.html,https://image.ijq.tv/201507/28/15-17-45-21-8.jpg
肖天,Aaran,,汉族,内地,1989-4-7,山东青岛,165CM,49KG,O型,白羊座,中央戏剧学院表演系,演员,北京希世纪影视文化,肖天的新浪微博,《平凡的世界》《历史转折中的邓小平》,搭档王雷 搭档吕一,https://image.ijq.tv/201507/28/14-47-28-16-10.jpg,images/14-47-28-16-10.jpg,肖天,https://www.ijq.tv/mingxing/2963.html,https://image.ijq.tv/201507/28/14-47-28-16-10.jpg
俞惠子,Yu Huizi,惠子,汉族,内地,1988-11-25,南京,168CM,47KG,B型,天秤座,重庆大学美视电影学院,演员,龙腾艺都影业投资有限公司,,《龙号机车》《家大业大》《平安是福》,曹云金,https://image.ijq.tv/201507/28/14-44-18-51-8.jpg,images/14-44-18-51-8.jpg,俞惠子,https://www.ijq.tv/mingxing/2961.html,https://image.ijq.tv/201507/28/14-44-18-51-8.jpg
宋楚炎,Song Chuyan,宋嵩,汉族,内地,1979年4月2日,北京,178CM,65KG,O型,白羊座,北京电影学院99表演系本科,演员,,,《红梅花开》《血色誓言》《一个女儿四个爸》,邵峰,https://image.ijq.tv/201507/28/14-04-33-77-16.png,images/14-04-33-77-16.png,宋楚炎,https://www.ijq.tv/mingxing/2958.html,https://image.ijq.tv/201507/28/14-04-33-77-16.png
鲍丹,Bardie Bao,丹宝,汉族,内地,1991-2-8,安徽宣城,176CM,53KG,B型,水瓶座,深圳大学师范学院,"演员,歌手",,鲍丹的新浪微博,《示铃录》,,https://image.ijq.tv/201507/28/11-25-41-46-7.jpg,images/11-25-41-46-7.jpg,鲍丹,https://www.ijq.tv/mingxing/2957.html,https://image.ijq.tv/201507/28/11-25-41-46-7.jpg
许小行,Xu xiaoxing,小行,汉族,内地,1986-2-28,哈尔滨,176CM,60KG,AB型,双鱼座,中国戏曲学院,演员,,许小行的新浪微博,《爱让我们在一起》《太平轮》《大号小兵》,李呈媛,https://image.ijq.tv/201507/28/11-11-56-11-8.jpg,images/11-11-56-11-8.jpg,许小行,https://www.ijq.tv/mingxing/2956.html,https://image.ijq.tv/201507/28/11-11-56-11-8.jpg
吉阳,,JIYANG,汉族,内地,1982-5-12,四川绵阳,170CM,100KG,A型,金牛座,,"演员,主持人",,,《潘多拉的秘密》《极品新娘》,,https://image.ijq.tv/201507/28/10-53-04-26-14.png,images/10-53-04-26-14.png,吉阳,https://www.ijq.tv/mingxing/2955.html,https://image.ijq.tv/201507/28/10-53-04-26-14.png
海蓝,,,彝族,内地,1987-11-19,云南昆明,165CM,48KG,B型,水瓶座,中央戏剧学院,演员,小马奔腾演艺文化有限公司,,《潘多拉的秘密》,,https://image.ijq.tv/201507/28/10-38-08-53-14.png,images/10-38-08-53-14.png,海蓝,https://www.ijq.tv/mingxing/2954.html,https://image.ijq.tv/201507/28/10-38-08-53-14.png
周航,Zhou hang,,回族,内地,1982-10-7,沈阳,179CM,68KG,B型,天秤座,中央戏剧学院,演员,,周航的新浪微博,《铁血红安》《妈祖》《快乐江湖》,刘名洋,https://image.ijq.tv/201507/28/10-18-06-97-8.jpg,images/10-18-06-97-8.jpg,周航,https://www.ijq.tv/mingxing/2953.html,https://image.ijq.tv/201507/28/10-18-06-97-8.jpg
刘名洋,Johnny Depp,名洋,汉族,内地,1982-7-5,辽宁,181CM,74KG,B型,巨蟹座,中央戏剧学院,演员,北京天雨视觉文化传媒有限公司,刘名洋的新浪微博,《铁血红安》《大西南剿匪记》《铁血壮士》,赵文卓,https://image.ijq.tv/201507/28/09-45-18-30-8.png,images/09-45-18-30-8.png,刘名洋,https://www.ijq.tv/mingxing/2952.html,https://image.ijq.tv/201507/28/09-45-18-30-8.png
朱颜曼滋,,,汉族,内地,1993-11-7,北京市,168CM,48KG,B型,魔羯座,中央戏剧学院表演系,演员,,朱颜曼滋的新浪微博,《父亲的身份》《左耳》,陈建斌,https://image.ijq.tv/201605/11/17-46-54-74-22.jpg,images/17-46-54-74-22.jpg,朱颜曼滋,https://www.ijq.tv/mingxing/2950.html,https://image.ijq.tv/201605/11/17-46-54-74-22.jpg
冯恩鹤,,,汉族,内地,1948-4-1,辽宁瓦房店市,175CM,71KG,A型,金牛座,,演员,八一电影制片厂国家一级演员,,《父亲的身份》,,https://image.ijq.tv/201507/27/16-21-17-67-11.jpg,images/16-21-17-67-11.jpg,冯恩鹤,https://www.ijq.tv/mingxing/2946.html,https://image.ijq.tv/201507/27/16-21-17-67-11.jpg
夏铭浩,minghao Xia,,汉族,内地,1984-6-19,陕西西安,174CM,58KG,O型,狮子座,北京电影学院表演系,演员,北京明星坊文化,夏铭浩的新浪微博,《平凡的世界》《铁在烧》《十送红军》,搭档袁弘 搭档王雷,https://image.ijq.tv/201507/27/16-16-41-33-10.jpg,images/16-16-41-33-10.jpg,夏铭浩,https://www.ijq.tv/mingxing/2948.html,https://image.ijq.tv/201507/27/16-16-41-33-10.jpg
宋军,SONG JUN,,汉族,内地,1969-7-1,北京市昌平区,180CM,70KG,O型,巨蟹座,日本三重国际学院（日语专业）,演员,,,《谋圣鬼谷子》,,https://image.ijq.tv/201507/27/15-59-20-33-11.jpg,images/15-59-20-33-11.jpg,宋军,https://www.ijq.tv/mingxing/2944.html,https://image.ijq.tv/201507/27/15-59-20-33-11.jpg
汪芦云,luyun Wang,,汉族,内地,1990-12-18,山西长治黎城,170CM,48KG,O型,射手座,中央戏剧学院表演系,演员,,汪芦云的新浪微博,《平凡的世界》《军婚姐妹》,搭档袁弘,https://image.ijq.tv/201507/27/15-37-26-36-10.jpg,images/15-37-26-36-10.jpg,汪芦云,https://www.ijq.tv/mingxing/2941.html,https://image.ijq.tv/201507/27/15-37-26-36-10.jpg
方旭,,,汉族,内地,12月20,北京,180CM,75KG,B型,双子座,中央戏剧学院导演系98级,演员,北京吉安永禾影视有限公司,,《谋圣鬼谷子》,,https://image.ijq.tv/201507/27/15-24-28-61-11.jpg,images/15-24-28-61-11.jpg,方旭,https://www.ijq.tv/mingxing/2939.html,https://image.ijq.tv/201507/27/15-24-28-61-11.jpg
张志忠,zhangzhizhong,,汉族,内地,1955-11,北京,178CM,72KG,A型,双子座,中央戏剧学院,演员,,,《谋圣鬼谷子》,,https://image.ijq.tv/201507/27/15-01-57-81-11.jpg,images/15-01-57-81-11.jpg,张志忠,https://www.ijq.tv/mingxing/2936.html,https://image.ijq.tv/201507/27/15-01-57-81-11.jpg
杨钧丞,Yang juncheng,杨钧承,汉族,内地,1985-10-15,安徽,183CM,77KG,B型,处女座,中央戏剧学院,演员,,杨钧丞的新浪微博,《抗日奇侠》《枪神传奇》《狙击时刻》《儒林外史》,王仲欣,https://image.ijq.tv/201507/27/14-28-22-55-8.jpg,images/14-28-22-55-8.jpg,杨钧丞,https://www.ijq.tv/mingxing/2935.html,https://image.ijq.tv/201507/27/14-28-22-55-8.jpg
邓婕,,,汉族,内地,1957-10-22,四川省成都市,162CM,51KG,A型,白羊座,四川省川剧学校,演员,,,《康熙微服私访记》,张国立,https://image.ijq.tv/201507/27/11-31-44-14-12.jpg,images/11-31-44-14-12.jpg,邓婕,https://www.ijq.tv/mingxing/2933.html,https://image.ijq.tv/201507/27/11-31-44-14-12.jpg
刘科,Choco,,汉族,内地,1980-11-16,湖南省长沙市,178CM,68KG,A型,天蝎座,北京体育大学,演员,华谊兄弟,刘科的新浪微博,《新水浒传》《战旗》《汶川故事》,搭档王雷 搭档李宗翰,https://image.ijq.tv/201507/27/10-50-50-48-10.jpg,images/10-50-50-48-10.jpg,刘科,https://www.ijq.tv/mingxing/2931.html,https://image.ijq.tv/201507/27/10-50-50-48-10.jpg
孙浩辰,Rambo Y.Shyy,"孙昊宸,史浩辰",汉族,内地,1988-6-13（农历四-廿九）,美国,180CM,68KG,B型,双子座,美国加州伯克利大学 UC Berkeley|Haas School of Business,演员,,孙浩辰的新浪微博,《百万新娘之爱无悔》《敢梦敢想敢做敢当》《北回归线》,李治廷,https://image.ijq.tv/201507/27/10-28-28-53-8.jpg,images/10-28-28-53-8.jpg,孙浩辰,https://www.ijq.tv/mingxing/2927.html,https://image.ijq.tv/201507/27/10-28-28-53-8.jpg
管梓净,zijing Guan,,汉族,内地,1985-4-2,北京,180CM,68KG,O型,白羊座,中国戏曲学院表演系本科,演员,武警总政治部文工团|北京叁贵国际传媒,管梓净的新浪微博,《十送红军》《枪火》《烽火佳人》,搭档杨舒,https://image.ijq.tv/201507/27/09-34-02-11-10.jpg,images/09-34-02-11-10.jpg,管梓净,https://www.ijq.tv/mingxing/2926.html,https://image.ijq.tv/201507/27/09-34-02-11-10.jpg
