中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
刘增艳,Liu Zengyan,"增锅,增增",,内地,1996-8-31,中国四川省,157CM,45KG,B型,处女座,,歌手,上海丝芭文化传媒集团有限公司,刘增艳的新浪微博,《源动力》,吕一,https://image.ijq.tv/201812/26/10-47-39-75-26.jpg,images/10-47-39-75-26.jpg,刘增艳,https://www.ijq.tv/mingxing/15457921535663.html,https://image.ijq.tv/201812/26/10-47-39-75-26.jpg
蒋芸,Jiang Yun,未来,汉族,内地,1992-3-27,中国 江苏省 常州市,169CM,45KG,B型,白羊座,,"演员,歌手",上海丝芭文化传媒集团有限公司,蒋芸的新浪微博,《最后的钟声响起》《心的旅程》,戴萌,https://image.ijq.tv/201812/25/11-08-42-33-26.jpg,images/11-08-42-33-26.jpg,蒋芸,https://www.ijq.tv/mingxing/15457072825661.html,https://image.ijq.tv/201812/25/11-08-42-33-26.jpg
戴萌,Dai Meng,呆萌,汉族,内地,1993-2-8,上海市,169CM,45KG,A型,水瓶座,,"演员,歌手",上海久尚演艺经纪有限公司,戴萌的新浪微博,《无尽旋转》《飞翔入手》《巴啦啦小魔仙之魔箭公主》,,https://image.ijq.tv/201812/25/11-11-19-18-26.jpg,images/11-11-19-18-26.jpg,戴萌,https://www.ijq.tv/mingxing/15457072595660.html,https://image.ijq.tv/201812/25/11-11-19-18-26.jpg
刘哲尔,,刘林,汉族,内地,1994-6-27,辽宁省大连市,182CM,68KG,O型,巨蟹座,中央戏剧学院,演员,赵薇工作室,刘哲尔的新浪微博,《忽而今夏》《愤怒的同桌》,,https://image.ijq.tv/201812/25/10-12-30-84-10.jpg,images/10-12-30-84-10.jpg,刘哲尔,https://www.ijq.tv/mingxing/15457039285659.html,https://image.ijq.tv/201812/25/10-12-30-84-10.jpg
吴肇轩,Siu Hin Ng,肇轩,汉族,内地,1993-7-9,香港,178CM,67KG,O型,巨蟹座,,演员,,吴肇轩的新浪微博,《哪一天我们会飞》《以青春的名义》《明日战记》,,https://image.ijq.tv/201812/24/13-56-38-31-10.jpg,images/13-56-38-31-10.jpg,吴肇轩,https://www.ijq.tv/mingxing/15456309805658.html,https://image.ijq.tv/201812/24/13-56-38-31-10.jpg
刘力菲,flyfly|Miffy,米菲,汉族,内地,1995-10-30,四川省达州市,168CM,45KG,B型,天蝎座,,"演员,歌手",广州丝芭文化传媒有限公司,刘力菲的新浪微博,《少女侦探社》《你所不知道的我》《蒲公英的脚印》《封仙册之沙河神僧》,,https://image.ijq.tv/201812/24/11-09-41-60-26.jpg,images/11-09-41-60-26.jpg,刘力菲,https://www.ijq.tv/mingxing/15456208765657.html,https://image.ijq.tv/201812/24/11-09-41-60-26.jpg
卜凡,,,汉族,内地,1996-4-13,青岛,192CM,83KG,A型,白羊座,北京服装学院,歌手,坤音娱乐,卜凡的新浪微博,《如果你能感同我的身受》《偶像练习生》《空间》《过敏》,岳岳 木子洋 灵超,https://image.ijq.tv/201812/26/17-57-28-42-43.jpg,images/17-57-28-42-43.jpg,卜凡,https://www.ijq.tv/mingxing/15454477885656.html,https://image.ijq.tv/201812/26/17-57-28-42-43.jpg
岳岳,,岳明辉,汉族,内地,1992-7-11,北京市,183CM,65KG,A型,巨蟹座,南京航空航天大学|英国格拉斯哥大学,歌手,坤音娱乐,岳岳的新浪微博,《如果你能感同我的身受》《偶像练习生》《万能人之歌》《无我》,木子洋 卜凡 灵超,https://image.ijq.tv/201812/21/17-08-23-17-43.jpg,images/17-08-23-17-43.jpg,岳岳,https://www.ijq.tv/mingxing/15453825295655.html,https://image.ijq.tv/201812/21/17-08-23-17-43.jpg
王子鑫,,,汉族,内地,1993-08-20,浙江省临海市,185CM,65KG,B型,狮子座,中国戏曲学院,演员,,王子鑫的新浪微博,《我和两个他》《我的邻居睡不着》,,https://image.ijq.tv/201812/21/15-22-33-87-26.jpg,images/15-22-33-87-26.jpg,王子鑫,https://www.ijq.tv/mingxing/15453765265654.html,https://image.ijq.tv/201812/21/15-22-33-87-26.jpg
余梦寒,Rachel,,汉族,内地,1997-2-1,江苏无锡,168CM,45KG,A型,水瓶座,北京电影学院2016级,演员,,余梦寒的新浪微博,《将夜》,,https://image.ijq.tv/201812/21/10-16-48-43-26.jpg,images/10-16-48-43-26.jpg,余梦寒,https://www.ijq.tv/mingxing/15453585655653.html,https://image.ijq.tv/201812/21/10-16-48-43-26.jpg
