中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
卢茜,sissi,,汉族,内地,1991-5-6,北京,165CM,48KG,A型,巨蟹座,北京电影学院表演系,演员,国立常升,《姐妹姐妹》,,https://image.ijq.tv/201504/17/14-08-13-17-14.png,images/14-08-13-17-14.png,卢茜,https://www.ijq.tv/mingxing/1848.html,https://image.ijq.tv/201504/17/14-08-13-17-14.png,
蒙璐,Margrete,蒙小露,汉族,内地,1989-1-21,广西南宁,161CM,48KG,A型,水瓶座,北京电影学院（表演系）,演员,,《刑名师爷》,,https://image.ijq.tv/201504/17/13-55-56-19-14.png,images/13-55-56-19-14.png,蒙璐,https://www.ijq.tv/mingxing/1847.html,https://image.ijq.tv/201504/17/13-55-56-19-14.png,
孙怡,Sun,孙小妞,汉族,内地,1994-06-04,吉林,169CM,45KG,A型,双子座,,演员,,《大猫儿追爱记》《因为遇见你》《芈月传》《十五年等待候鸟》,包贝尔 张若昀 董子健,https://image.ijq.tv/201704/06/16-01-36-25-19.png,images/16-01-36-25-19.png,孙怡,https://www.ijq.tv/mingxing/1846.html,https://image.ijq.tv/201704/06/16-01-36-25-19.png,孙怡的新浪微博
董博睿,ray,,汉族,内地,1989-4-10,辽宁大连,180CM,60KG,B型,白羊座,上海戏剧学院08级本科,演员,,《恋爱真美》,,https://image.ijq.tv/201504/17/13-38-52-62-12.jpg,images/13-38-52-62-12.jpg,董博睿,https://www.ijq.tv/mingxing/1845.html,https://image.ijq.tv/201504/17/13-38-52-62-12.jpg,
张予曦,,,汉族,内地,1993-1-29,吉林省 敦化市,168CM,43KG,A型,水瓶座,北京服装学院,"演员,模特",星皓公司,《亲爱的，公主病》《泡沫之夏》,陈柏融,https://image.ijq.tv/201504/17/13-22-54-18-14.png,images/13-22-54-18-14.png,张予曦,https://www.ijq.tv/mingxing/1844.html,https://image.ijq.tv/201504/17/13-22-54-18-14.png,张予曦的新浪微博
马亮,,亮子,汉族,内地,7-1,哈尔滨,180CM,71KG,A型,巨蟹座,中央戏剧学院04表演系,演员,,《永远恋爱真美》,袁姗姗,https://image.ijq.tv/201504/17/12-04-50-74-12.jpg,images/12-04-50-74-12.jpg,马亮,https://www.ijq.tv/mingxing/1842.html,https://image.ijq.tv/201504/17/12-04-50-74-12.jpg,
刘敏涛,,,汉族,内地,1976-1-10,山东烟台,167CM,48KG,B型,巨蟹座,中央戏剧学院,演员,得闲艺人经纪,《伪装者》,胡歌 靳东,https://www.ijq.tv/file/upload/202009/26/11-12-34-29-1.png,images/11-12-34-29-1.png,刘敏涛,https://www.ijq.tv/mingxing/1841.html,https://www.ijq.tv/file/upload/202009/26/11-12-34-29-1.png,刘敏涛的新浪微博
包文婧,Baowenqian,装文静,汉族,内地,1987-7-10,辽宁,165CM,45KG,AB型,巨蟹座,北京电影学院,演员,光线传媒,《紫钗奇缘》《爱你不放手》,丈夫包贝尔 密友佟丽娅 搭档李宗翰,https://image.ijq.tv/201504/17/12-10-24-13-10.jpg,images/12-10-24-13-10.jpg,包文婧,https://www.ijq.tv/mingxing/1843.html,https://image.ijq.tv/201504/17/12-10-24-13-10.jpg,包文婧的新浪微博
刘洁,,,汉族,内地,1966-7-1,重庆,165CM,52KG,A型,双子座,上海戏剧学院,演员,拉风传媒股份有限公司,《姐妹兄弟》《恋爱真美》,袁姗姗,https://image.ijq.tv/201504/17/11-33-18-89-12.jpg,images/11-33-18-89-12.jpg,刘洁,https://www.ijq.tv/mingxing/1840.html,https://image.ijq.tv/201504/17/11-33-18-89-12.jpg,刘洁的新浪微博
王仁君,Wangrenjun,,汉族,内地,1983-12-4,山东聊城,182CM,70KG,O型,水瓶座,北京电影学院,演员,,《萧红》《新笑傲江湖》《像火花像蝴蝶》《宫锁连城》,搭档陈乔恩 搭档陆毅,https://image.ijq.tv/201912/11/14-21-13-32-46.jpg,images/14-21-13-32-46.jpg,王仁君,https://www.ijq.tv/mingxing/1839.html,https://image.ijq.tv/201912/11/14-21-13-32-46.jpg,王仁君的新浪微博
齐如意,,如意,汉族,内地,1997-12-01,北京市门头沟区齐家村,150CM,45KG,O型,白羊座,北京市西城区鸦儿胡同小学,演员,,《好男儿之情感护理》,张译,https://image.ijq.tv/201607/04/17-10-09-84-28.png,images/17-10-09-84-28.png,齐如意,https://www.ijq.tv/mingxing/1838.html,https://image.ijq.tv/201607/04/17-10-09-84-28.png,
孙彬皓,Bin hao-Sun,孙东浩,汉族,内地,11-14,山东省滕州市,181CM,78KG,O型,天蝎座,北京师范大学,演员,,《天伦》《美人无泪》《新笑傲江湖》《新甘十九妹》,搭档崔鹏,https://image.ijq.tv/201504/17/10-55-11-38-10.jpg,images/10-55-11-38-10.jpg,孙彬皓,https://www.ijq.tv/mingxing/1837.html,https://image.ijq.tv/201504/17/10-55-11-38-10.jpg,孙彬皓的新浪微博
吴超,,,汉族,内地,3-23,北京,178CM,69KG,A型,金牛座,北京舞蹈学院,演员,北京新月明天文化传媒有限公司,《好男儿之情感护理》,张译,https://image.ijq.tv/201504/17/10-35-27-86-12.jpg,images/10-35-27-86-12.jpg,吴超,https://www.ijq.tv/mingxing/1834.html,https://image.ijq.tv/201504/17/10-35-27-86-12.jpg,
李博,,,汉族,内地,1977-2-4,吉林省,174CM,66KG,B型,水瓶座,解放军艺术学院（文学创作班）,演员,,《好男儿之情感护理》,,https://image.ijq.tv/201504/17/10-21-34-71-12.jpg,images/10-21-34-71-12.jpg,李博,https://www.ijq.tv/mingxing/1832.html,https://image.ijq.tv/201504/17/10-21-34-71-12.jpg,
黄日华,,,汉族,内地,1961-09-04,广东博罗园洲镇佛岭,178CM,75KG,B型,处女座,圣文德学院,演员,,《过客》《天龙八部》《射雕英雄传》《义不容情》,女儿黄芷晴 密友苗侨伟 好友成奎安 搭档陈浩民 搭档周海媚 搭档翁美玲,https://image.ijq.tv/201504/17/10-04-26-53-13.jpg,images/10-04-26-53-13.jpg,黄日华,https://www.ijq.tv/mingxing/1830.html,https://image.ijq.tv/201504/17/10-04-26-53-13.jpg,
于小磊,,,汉族,内地,,山东省青岛市市南区,167CM,49KG,O型,射手座,中央戏剧学院2000级,演员,北京新原野娱乐传媒有限公司,《银杏》《我家不打佯》《聊斋新编》,,https://image.ijq.tv/201504/16/17-23-02-43-14.png,images/17-23-02-43-14.png,于小磊,https://www.ijq.tv/mingxing/1829.html,https://image.ijq.tv/201504/16/17-23-02-43-14.png,于小磊的新浪微博
叶全真,Elsie Yeh,赵文君,汉族,内地,1969-9-12,中国台湾,162CM,48KG,AB型,处女座,台湾政大EMBA,演员,,《雪在烧》《先生骗鬼》《聊斋新编》,,https://image.ijq.tv/201504/16/17-00-01-18-14.png,images/17-00-01-18-14.png,叶全真,https://www.ijq.tv/mingxing/1827.html,https://image.ijq.tv/201504/16/17-00-01-18-14.png,
牟湘盈,Mu XiangYing,牟哥,汉族,内地,1985-7-6,烟台市,164CM,46KG,A型,巨蟹座,,"演员,主持人",湖南卫视,《爱的妇产科2》,,https://image.ijq.tv/201504/16/16-21-34-82-7.jpg,images/16-21-34-82-7.jpg,牟湘盈,https://www.ijq.tv/mingxing/1826.html,https://image.ijq.tv/201504/16/16-21-34-82-7.jpg,牟湘盈的新浪微博
王昌娥,,,汉族,内地,1970-01-25,哈尔滨,162CM,54KG,A型,水瓶座,北京电影学院,演员,,《铁甲英豪》《爱是阳光》《五朵金花的儿女》,,https://image.ijq.tv/201504/16/16-13-56-89-13.jpg,images/16-13-56-89-13.jpg,王昌娥,https://www.ijq.tv/mingxing/1825.html,https://image.ijq.tv/201504/16/16-13-56-89-13.jpg,
李国麟,Lun哥、老李、老细,Joseph Lee Kok Lun,汉族,内地,1954-5-9,中国香港,168CM,65KG,B型,金牛座,第四期无线电视艺员训练班,演员,,《天龙八部》《宫心计》《法证先锋III》,搭档黄日华,https://image.ijq.tv/201504/16/15-56-56-87-13.jpg,images/15-56-56-87-13.jpg,李国麟,https://www.ijq.tv/mingxing/1823.html,https://image.ijq.tv/201504/16/15-56-56-87-13.jpg,
刘松仁,DAMIAN LAU,松哥,汉族,内地,1949-10-14,香港,175CM,65KG,A型,天秤座,中国香港映声电视台第5届艺员训练,演员,,《陆小凤》,搭档林峯 搭档陈玉莲 搭档黄少祺,https://image.ijq.tv/201504/16/15-44-17-80-13.jpg,images/15-44-17-80-13.jpg,刘松仁,https://www.ijq.tv/mingxing/1822.html,https://image.ijq.tv/201504/16/15-44-17-80-13.jpg,
孙之鸿,,,汉族,内地,10-26,上海,184CM,72KG,AB型,天蝎座,中央戏剧学院2003级,"演员,主持人",,《北平无战事》《芙蓉锦》《出塞计·明日天涯》,刘敏,https://image.ijq.tv/201504/16/15-28-16-55-13.jpg,images/15-28-16-55-13.jpg,孙之鸿,https://www.ijq.tv/mingxing/1821.html,https://image.ijq.tv/201504/16/15-28-16-55-13.jpg,孙之鸿的新浪微博
杨旸,,杨芷菲,汉族,内地,1986-11-04,,165CM,52KG,A型,天蝎座,四川师范大学,演员,欣瑞儒意（北京）影视文化有限公司,《大明按察》《以母亲的名义》《冬暖花会开》,,https://image.ijq.tv/201504/16/15-20-40-23-7.jpg,images/15-20-40-23-7.jpg,杨旸,https://www.ijq.tv/mingxing/1820.html,https://image.ijq.tv/201504/16/15-20-40-23-7.jpg,杨旸的新浪微博
秦言玮,Qin Yanwei,秦政委、小玮,汉族,内地,1988-8-1,安徽,178CM,68KG,AB型,狮子座,中央戏剧学院,演员,,《乱世书香》《大猫儿追爱记》,,https://image.ijq.tv/201504/16/14-49-09-96-14.png,images/14-49-09-96-14.png,秦言玮,https://www.ijq.tv/mingxing/1819.html,https://image.ijq.tv/201504/16/14-49-09-96-14.png,
钱芳,Qianfang,,汉族,内地,1982-7-26,湖北省武汉市,165CM,45KG,O型,狮子座,上海戏剧学院,演员,,《前夫求爱记》《恰同学少年》《和空姐一起的日子》,搭档郭京飞,https://image.ijq.tv/201504/16/14-47-24-83-10.jpg,images/14-47-24-83-10.jpg,钱芳,https://www.ijq.tv/mingxing/1818.html,https://image.ijq.tv/201504/16/14-47-24-83-10.jpg,钱芳的新浪微博
杨得民,,,汉族,内地,1981-1-15,山东临沂,,70KG,B型,魔羯座,中央戏剧学院表演系本科,演员,,《大玉儿传奇》,,https://image.ijq.tv/201504/16/14-32-23-17-13.jpg,images/14-32-23-17-13.jpg,杨得民,https://www.ijq.tv/mingxing/1817.html,https://image.ijq.tv/201504/16/14-32-23-17-13.jpg,
李繁,,,汉族,内地,1981-11-22,安徽、宿州、灵璧县,181CM,65KG,AB型,天蝎座,宿州学院、同济大学电影学院,演员,,《大玉儿传奇》,,https://image.ijq.tv/201504/16/14-13-11-41-13.jpg,images/14-13-11-41-13.jpg,李繁,https://www.ijq.tv/mingxing/1816.html,https://image.ijq.tv/201504/16/14-13-11-41-13.jpg,
吴俊余,June,"微笑天使,小可爱,宝哥哥",汉族,内地,1992-3-7,四川成都,173CM,56KG,AB型,双鱼座,北京市现代音乐研修学院,"演员,歌手",天娱传媒有限公司,《堵车关爱——严冬里的春天》《剑侠》,搭档李宗翰,https://www.ijq.tv/file/upload/202101/31/15-48-22-88-1.png,images/15-48-22-88-1.png,吴俊余,https://www.ijq.tv/mingxing/1815.html,https://www.ijq.tv/file/upload/202101/31/15-48-22-88-1.png,吴俊余的新浪微博
田丽,Lily Tien,,汉族,内地,1967-4-30,台北,167CM,50KG,B型,金牛座,日本MODEL学院设计学系,演员,星之国际娱乐有限公司,《别来无恙爱在春天》,唐嫣,https://image.ijq.tv/201504/16/14-10-06-38-14.png,images/14-10-06-38-14.png,田丽,https://www.ijq.tv/mingxing/1813.html,https://image.ijq.tv/201504/16/14-10-06-38-14.png,田丽的新浪微博
刘学义,,,汉族,内地,1990,山东青岛,183CM,75KG,AB型,巨蟹座,中央戏剧学院,演员,北京瞩目星光文化传媒有限公司,《上官婉儿回家》,李易峰,https://image.ijq.tv/201504/16/13-16-43-75-13.jpg,images/13-16-43-75-13.jpg,刘学义,https://www.ijq.tv/mingxing/1811.html,https://image.ijq.tv/201504/16/13-16-43-75-13.jpg,刘学义的新浪微博
