中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
周文韬,wentao Zhou,,汉族,内地,9-17,重庆,181CM,68KG,B型,天蝎座,北京师范学院,"演员,主持人",优酷土豆|上海合享文化传播有限公司,周文韬的新浪微博,《优酷全娱乐》《优酷最音乐》《极限大爆料》,,https://image.ijq.tv/201710/27/09-41-08-89-10.jpg,images/09-41-08-89-10.jpg,周文韬,https://www.ijq.tv/mingxing/15090684484815.html,https://image.ijq.tv/201710/27/09-41-08-89-10.jpg
赵振廷,,,汉族,内地,1988-11,陕西汉中,181CM,70KG,B型,天蝎座,陕西省师范大学,"演员,歌手",,赵振廷的新浪微博,《寻秦记》,搭档陈翔,https://image.ijq.tv/201710/26/16-51-06-79-10.jpg,images/16-51-06-79-10.jpg,赵振廷,https://www.ijq.tv/mingxing/15090078514814.html,https://image.ijq.tv/201710/26/16-51-06-79-10.jpg
高阳,Levin,,汉族,内地,1991-8-6,河北省唐山市,183CM,65KG,O型,狮子座,中央戏剧学院,演员,,高阳的新浪微博,《驴得水》,搭档张彬彬,https://image.ijq.tv/201710/26/10-54-12-15-10.jpg,images/10-54-12-15-10.jpg,高阳,https://www.ijq.tv/mingxing/15089860844813.html,https://image.ijq.tv/201710/26/10-54-12-15-10.jpg
王嘉宁,,,汉族,内地,1992-12-20,北京,168CM,40KG,A型,射手座,,演员,乐华娱乐,王嘉宁的新浪微博,《今夜二十岁》《恨幸福来过》,郭麒麟,https://image.ijq.tv/201710/26/10-31-55-71-26.jpg,images/10-31-55-71-26.jpg,王嘉宁,https://www.ijq.tv/mingxing/15089849204812.html,https://image.ijq.tv/201710/26/10-31-55-71-26.jpg
赵艺涵,Zoe,,汉族,内地,7-30,黑龙江哈尔滨,166CM,45KG,A型,狮子座,中央戏剧学院表演系影视表演专业,"演员,歌手",,赵艺涵的新浪微博,《听见凉山》《口弦》《带我到山顶》,,https://image.ijq.tv/201710/26/10-22-03-94-26.jpg,images/10-22-03-94-26.jpg,赵艺涵,https://www.ijq.tv/mingxing/15089840844811.html,https://image.ijq.tv/201710/26/10-22-03-94-26.jpg
王冕,,,汉族,内地,1988-3-1,北京,167CM,46KG,B型,双子座,北京电影学院,演员,,王冕的新浪微博,《枪炮侯》《新水浒传》《决战华岩寺》《黎明追剿》《情满四合院》,周迅,https://image.ijq.tv/201710/25/13-57-36-74-19.jpg,images/13-57-36-74-19.jpg,王冕,https://www.ijq.tv/mingxing/15089110384809.html,https://image.ijq.tv/201710/25/13-57-36-74-19.jpg
侯晴子梓,,,汉族,内地,1995-1-2,,168CM,43KG,A型,魔羯座,中国传媒大学,演员,,侯晴子梓的新浪微博,《忽而今夏》,卜冠今,https://image.ijq.tv/201710/25/10-31-31-16-26.jpg,images/10-31-31-16-26.jpg,侯晴子梓,https://www.ijq.tv/mingxing/15088986784808.html,https://image.ijq.tv/201710/25/10-31-31-16-26.jpg
刘承羽,Natasha Liu Bordizzo,,汉族,内地,1994-8-25,悉尼,171CM,42KG,O型,狮子座,,"演员,模特",,刘承羽的新浪微博,《卧虎藏龙：青冥宝剑》《孟买酒店》《马戏之王》,,https://image.ijq.tv/201710/25/09-57-29-80-26.jpg,images/09-57-29-80-26.jpg,刘承羽,https://www.ijq.tv/mingxing/15088964754807.html,https://image.ijq.tv/201710/25/09-57-29-80-26.jpg
胡海锋,Hu Hai Feng,海锋,汉族,内地,12-1,山东省济南市,180CM,65KG,A型,射手座,上海戏剧学院,演员,,胡海锋的新浪微博,《风云梵净山》《最后的99天》《舞乐传奇》,秦俊杰,https://image.ijq.tv/201710/25/09-38-59-16-19.jpg,images/09-38-59-16-19.jpg,胡海锋,https://www.ijq.tv/mingxing/15088955034806.html,https://image.ijq.tv/201710/25/09-38-59-16-19.jpg
刘佳榆,,,汉族,内地,1996-11-29,北京,168CM,45KG,A型,天蝎座,中央戏剧学院,演员,,刘佳榆的新浪微博,《非常Y星人》《新龙门客栈》,郭碧婷,https://image.ijq.tv/201710/24/14-30-42-96-19.jpg,images/14-30-42-96-19.jpg,刘佳榆,https://www.ijq.tv/mingxing/15088266264805.html,https://image.ijq.tv/201710/24/14-30-42-96-19.jpg
李火火,,"火火,李炎",汉族,内地,1-13,开封尉氏,175CM,64KG,O型,魔羯座,,演员,,李火火的新浪微博,《风衣扣 》《千龙爪》《包青天》《九纹龙史进之血战东平》《小旋风柴进之簪花请命》,搭档黄新皓,https://image.ijq.tv/201710/24/11-20-57-71-10.jpg,images/11-20-57-71-10.jpg,李火火,https://www.ijq.tv/mingxing/15088152494804.html,https://image.ijq.tv/201710/24/11-20-57-71-10.jpg
张书维,Sukie Zhang,,汉族,内地,1997-12-2,江苏省南京市,166CM,42KG,AB型,射手座,纽约大学,演员,,张书维的新浪微博,《忽而今夏》,卜冠今,https://image.ijq.tv/201710/24/10-28-53-92-26.jpg,images/10-28-53-92-26.jpg,张书维,https://www.ijq.tv/mingxing/15088116834803.html,https://image.ijq.tv/201710/24/10-28-53-92-26.jpg
贾司特,Jaster,,汉族,内地,1991-10-4,马来西亚,178CM,60KG,B型,天秤座,,演员,浙江星空影视传媒有限公司,贾司特的新浪微博,《龙日一你死定了》,邱赫南,https://image.ijq.tv/201710/24/09-08-14-31-26.jpg,images/09-08-14-31-26.jpg,贾司特,https://www.ijq.tv/mingxing/15088071404802.html,https://image.ijq.tv/201710/24/09-08-14-31-26.jpg
吕鹏,,,汉族,内地,12-6,吉林长春,178CM,60KG,AB型,射手座,北京电影学院,演员,,吕鹏的新浪微博,《青春喂了狗》《大唐荣耀》《天乩之白蛇传说》《忽而今夏》,任嘉伦,https://image.ijq.tv/201710/23/16-49-14-15-26.jpg,images/16-49-14-15-26.jpg,吕鹏,https://www.ijq.tv/mingxing/15087482884801.html,https://image.ijq.tv/201710/23/16-49-14-15-26.jpg
李梣溪,Chenxi Li,"梣溪,小溪,溪溪",汉族,内地,8-24,江苏南通,163CM,45KG,O型,处女座,北京电影学院,"演员,歌手",,李梣溪的新浪微博,《打狗棍》《蝴蝶今夜降临》,搭档左小青,https://image.ijq.tv/201710/23/15-26-54-21-10.jpg,images/15-26-54-21-10.jpg,李梣溪,https://www.ijq.tv/mingxing/15087436054800.html,https://image.ijq.tv/201710/23/15-26-54-21-10.jpg
