中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
陈亮言,CLY,,汉族,内地,1999-6-20,重庆,167CM,46KG,,双子座,华东师范大学,,嘉行新悦,陈亮言的新浪微博,《创造营》,田京凡,https://image.ijq.tv/202001/02/17-49-04-15-46.jpg,images/17-49-04-15-46.jpg,陈亮言,https://www.ijq.tv/mingxing/15779585177327.html,https://image.ijq.tv/202001/02/17-49-04-15-46.jpg
田京凡,,,汉族,内地,2001-12-18,,163CM,46KG,,水瓶座,,歌手,嘉行新悦,田京凡的新浪微博,《创造营》,陈亮言,https://image.ijq.tv/202001/02/17-37-10-39-46.jpg,images/17-37-10-39-46.jpg,田京凡,https://www.ijq.tv/mingxing/15779578167326.html,https://image.ijq.tv/202001/02/17-37-10-39-46.jpg
李涛,,,汉族,内地,1994,河南周口,176CM,60KG,,巨蟹座,中央戏剧学院,演员,,,《咱们相爱吧》,李冲,https://image.ijq.tv/202001/02/17-13-33-23-46.jpg,images/17-13-33-23-46.jpg,李涛,https://www.ijq.tv/mingxing/15779564077325.html,https://image.ijq.tv/202001/02/17-13-33-23-46.jpg
李冲,,李思冲,汉族,内地,1982-7-8,江苏徐州,185CM,110KG,,狮子座,中国传媒大学,演员,,李冲的新浪微博,《少林寺传奇》《精卫填海》,桑平,https://image.ijq.tv/202001/02/16-41-10-75-46.jpg,images/16-41-10-75-46.jpg,李冲,https://www.ijq.tv/mingxing/15779544437324.html,https://image.ijq.tv/202001/02/16-41-10-75-46.jpg
桑平,sangping,,汉族,内地,1982-9-20,北京,196CM,120KG,O型,处女座,首都体育学院,演员,,桑平的新浪微博,《双枪李向阳》《关云长》《隋唐演义》,孙书博 齐冀,https://image.ijq.tv/202001/02/16-28-30-48-46.jpg,images/16-28-30-48-46.jpg,桑平,https://www.ijq.tv/mingxing/15779537007323.html,https://image.ijq.tv/202001/02/16-28-30-48-46.jpg
王心嫚,Celia,,汉族,内地,4-22,台湾台北市,167CM,45KG,,金牛座,,演员,,王心嫚的新浪微博,《国光帮帮忙》《同学别闹》,孙书博 齐冀,https://image.ijq.tv/202001/02/16-15-49-73-46.jpg,images/16-15-49-73-46.jpg,王心嫚,https://www.ijq.tv/mingxing/15779529407322.html,https://image.ijq.tv/202001/02/16-15-49-73-46.jpg
张黎明,,,汉族,内地,,,178CM,75KG,,,,演员,花火乐娱(天津)文化经纪有限公司,,《大决战》《浴血太行》,李源冰 向云,https://image.ijq.tv/202001/02/15-52-52-47-46.jpg,images/15-52-52-47-46.jpg,张黎明,https://www.ijq.tv/mingxing/15779515677321.html,https://image.ijq.tv/202001/02/15-52-52-47-46.jpg
李源冰,Brianne,,汉族,内地,1998-3-21,新疆维吾尔自治区乌鲁木齐市,166CM,48KG,,白羊座,北京电影学院,演员,,李源冰的新浪微博,《小娘惹》,肖燕 邱凯伟,https://image.ijq.tv/202001/02/14-25-47-15-46.jpg,images/14-25-47-15-46.jpg,李源冰,https://www.ijq.tv/mingxing/15779463357320.html,https://image.ijq.tv/202001/02/14-25-47-15-46.jpg
舒贵林,,,汉族,内地,1996-8-27,安徽六安,178CM,60KG,,处女座,,演员,,舒贵林的新浪微博,《卫校男生》《菜鸟王爷闹江湖》,孙书博 梁晶晶,https://image.ijq.tv/202001/02/11-27-12-41-46.jpg,images/11-27-12-41-46.jpg,舒贵林,https://www.ijq.tv/mingxing/15779356217317.html,https://image.ijq.tv/202001/02/11-27-12-41-46.jpg
刘珂矣,,,汉族,内地,,黑龙江,166CM,49KG,,双子座,,歌手,北京百慕文化,刘珂矣的新浪微博,《忘尘谷》《半壶纱》《芙蓉雨》,付梦妮,https://image.ijq.tv/202001/02/11-01-18-47-46.jpg,images/11-01-18-47-46.jpg,刘珂矣,https://www.ijq.tv/mingxing/15779340697315.html,https://image.ijq.tv/202001/02/11-01-18-47-46.jpg
