中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
郭伟华,,,汉族,内地,,,,,,,,演员,,郭伟华的新浪微博,《开天辟地》《重庆谈判》,王霙 马晓伟 陶贤锋,https://image.ijq.tv/201908/23/17-06-03-92-47.png,images/17-06-03-92-47.png,郭伟华,https://www.ijq.tv/mingxing/15665511206321.html,https://image.ijq.tv/201908/23/17-06-03-92-47.png
王霙,,,汉族,内地,1958,杭州,,,,,中央实验话剧院,演员,,王霙的新浪微博,《红色摇篮》《开天辟地》《血战湘江》《重庆谈判》,郭伟华 马晓伟 陶贤锋,https://image.ijq.tv/201908/23/16-32-11-43-47.png,images/16-32-11-43-47.png,王霙,https://www.ijq.tv/mingxing/15665491006320.html,https://image.ijq.tv/201908/23/16-32-11-43-47.png
文馨,Xin Wen,,汉族,内地,,江苏,167CM,45KG,,白羊座,,"演员,主持人",,,《人民的选择》《反贪风暴》《军人使命》《换了人间》,佟瑞欣 孙维民 张京生 郭连文,https://image.ijq.tv/201908/26/09-39-37-64-47.png,images/09-39-37-64-47.png,文馨,https://www.ijq.tv/mingxing/15665467636319.html,https://image.ijq.tv/201908/26/09-39-37-64-47.png
周大庆,,,汉族,内地,1964-12-2,,182CM,70KG,,射手座,,演员,,,《东方战场》《人民的选择》《我的冤家住对门》,佟瑞欣 孙维民 张京生 郭连文,https://image.ijq.tv/201908/23/15-31-27-56-47.png,images/15-31-27-56-47.png,周大庆,https://www.ijq.tv/mingxing/15665454226318.html,https://image.ijq.tv/201908/23/15-31-27-56-47.png
闻杰,,,汉族,内地,3-17,,170CM,67KG,,双鱼座,中国传媒大学,"演员,主持人",天津电视台,闻杰的新浪微博,《鹿鼎记》《东方战场》《爱的创可贴》《人民的选择》,佟瑞欣 孙维民 张京生 郭连文,https://image.ijq.tv/201908/23/15-01-52-95-47.png,images/15-01-52-95-47.png,闻杰,https://www.ijq.tv/mingxing/15665425186317.html,https://image.ijq.tv/201908/23/15-01-52-95-47.png
郭连文,,,汉族,内地,,东缘昌黎县,178CM,70KG,,,中央戏剧学院,演员,,,《换了人间》《飞虎队》《开国》《毛泽东》《人民的选择》,佟瑞欣 孙维民 张京生 唐国强 刘劲 王伍福,https://image.ijq.tv/201908/23/14-37-40-75-47.png,images/14-37-40-75-47.png,郭连文,https://www.ijq.tv/mingxing/15665422216316.html,https://image.ijq.tv/201908/23/14-37-40-75-47.png
张京生,,,汉族,内地,,北京,179CM,75KG,,金牛座,,演员,,,《人民的选择》《红河谷》《欧爸的情人》《东方战场》,佟瑞欣 孙维民 郭连文 王健,https://image.ijq.tv/201908/23/14-15-43-66-47.png,images/14-15-43-66-47.png,张京生,https://www.ijq.tv/mingxing/15665407286315.html,https://image.ijq.tv/201908/23/14-15-43-66-47.png
佟瑞欣,,,满族,内地,1965-9-20,哈尔滨香坊区,178CM,67KG,,处女座,上海戏剧学院,演员,上影演员剧团,佟瑞欣的新浪微博,《长征大会师》《谎言的诱惑》《长沙保卫战》《人民的选择》,孙维民 张京生 郭连文 薛佳凝 佟丽娅 雷佳音,https://image.ijq.tv/201908/23/12-00-57-69-47.png,images/12-00-57-69-47.png,佟瑞欣,https://www.ijq.tv/mingxing/15665322536314.html,https://image.ijq.tv/201908/23/12-00-57-69-47.png
程昱,,,汉族,内地,1957-1-8,沈阳,180CM,85KG,,魔羯座,,演员,,程昱的新浪微博,《彭德怀元帅》《北平无战事》《绝爱》《谷文昌》,刘佩琦 刘晶晶 雷恪生 奚美娟,https://image.ijq.tv/201908/23/10-55-31-79-47.png,images/10-55-31-79-47.png,程昱,https://www.ijq.tv/mingxing/15665289016313.html,https://image.ijq.tv/201908/23/10-55-31-79-47.png
薛山,,,汉族,内地,1960-8-4,,182CM,80KG,,狮子座,中央戏剧学院,演员,,,《忠诚卫士》《激情年代》《谷文昌》,刘佩琦 刘晶晶 雷恪生 奚美娟,https://image.ijq.tv/201908/23/10-16-40-22-47.png,images/10-16-40-22-47.png,薛山,https://www.ijq.tv/mingxing/15665256056312.html,https://image.ijq.tv/201908/23/10-16-40-22-47.png
雷恪生,Lei Ke Sheng,,汉族,内地,1936-2-21,山东省牟平县,169CM,67KG,,双鱼座,中央戏剧学院,演员,中国国家话剧院,雷恪生的新浪微博,《乔家大院》《战火西北狼》《老农民》《谷文昌》,谷智鑫 宋丹丹 赵连甲 刘佩琦,https://image.ijq.tv/201908/23/09-52-11-26-47.png,images/09-52-11-26-47.png,雷恪生,https://www.ijq.tv/mingxing/15665250976311.html,https://image.ijq.tv/201908/23/09-52-11-26-47.png
刘晶晶,Liu Jingjing,晶晶,汉族,内地,1980-7-1,陕西,167CM,49KG,,巨蟹座,中央戏剧学院,演员,,,《大学女孩》《东方朔》《谷文昌》,赵强 龙一仪 刘佩琦,https://image.ijq.tv/201908/23/09-27-25-76-47.png,images/09-27-25-76-47.png,刘晶晶,https://www.ijq.tv/mingxing/15665236086310.html,https://image.ijq.tv/201908/23/09-27-25-76-47.png
王健,Jian Wang,,汉族,内地,1993-11-6,长春,183CM,80KG,AB型,射手座,吉林市艺术学院,演员,初白影视,王健的新浪微博,《封神之天启》《九州缥缈录》《南烟斋笔录》《锦衣之下》,刘亦菲 井柏然 赵立新,https://image.ijq.tv/201908/22/12-31-28-41-47.png,images/12-31-28-41-47.png,王健,https://www.ijq.tv/mingxing/15664482646309.html,https://image.ijq.tv/201908/22/12-31-28-41-47.png
姜赫铭,,,汉族,内地,,,176CM,60KG,,双子座,,演员,,姜赫铭的新浪微博,《人民总理周恩来》,唐国强 刘劲 黄薇,https://image.ijq.tv/201908/22/11-38-11-98-47.png,images/11-38-11-98-47.png,姜赫铭,https://www.ijq.tv/mingxing/15664449806308.html,https://image.ijq.tv/201908/22/11-38-11-98-47.png
