中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
陈莹,,,汉族,内地,1976-3-27,广州市,164CM,52KG,A型,金牛座,中央戏剧学院,演员,,陈莹的新浪微博,《煮妇神探》,,https://image.ijq.tv/201512/24/10-11-26-77-12.jpg,images/10-11-26-77-12.jpg,陈莹,https://www.ijq.tv/mingxing/14509230623456.html,https://image.ijq.tv/201512/24/10-11-26-77-12.jpg
柴鸥,,柴欧,汉族,内地,1984-6-28,四川省,164CM,52KG,A型,白羊座,中央戏剧学院,演员,北京儿艺,柴鸥的新浪微博,《煮妇神探》,,https://image.ijq.tv/201512/24/09-30-36-87-12.jpg,images/09-30-36-87-12.jpg,柴鸥,https://www.ijq.tv/mingxing/14509206193455.html,https://image.ijq.tv/201512/24/09-30-36-87-12.jpg
关婷娜,Guantingna,"娜娜,大广播",汉族,内地,1983-1-1,黑龙江,164CM,45KG,A型,金牛座,北京电影学院,演员,,关婷娜的新浪微博,《乡村爱情浪漫曲》,赵本山,https://image.ijq.tv/201911/26/09-38-21-78-46.jpg,images/09-38-21-78-46.jpg,关婷娜,https://www.ijq.tv/mingxing/14508506753454.html,https://image.ijq.tv/201911/26/09-38-21-78-46.jpg
黄阅,,,汉族,内地,1983-11-3,株洲,175CM,74KG,A型,白羊座,,演员,,黄阅的新浪微博,《花火》,,https://image.ijq.tv/201512/23/13-38-43-57-12.jpg,images/13-38-43-57-12.jpg,黄阅,https://www.ijq.tv/mingxing/14508491033453.html,https://image.ijq.tv/201512/23/13-38-43-57-12.jpg
陈希郡,Chase Chen,陈东阳,汉族,内地,1991-12-18,黑龙江,176CM,71KG,B型,双子座,黑龙江大学,演员,北京龙乐辰郡文化传媒有限公司,陈希郡的新浪微博,《花火》,,https://image.ijq.tv/201512/23/11-52-31-38-12.jpg,images/11-52-31-38-12.jpg,陈希郡,https://www.ijq.tv/mingxing/14508427373452.html,https://image.ijq.tv/201512/23/11-52-31-38-12.jpg
周斌,,,汉族,内地,1991-1-5,山东,176CM,74KG,A型,金牛座,上海体育学院武术系,演员,唐季礼签约艺人、演员,周斌的新浪微博,《花火》,,https://image.ijq.tv/201512/23/11-16-58-72-12.jpg,images/11-16-58-72-12.jpg,周斌,https://www.ijq.tv/mingxing/14508405883451.html,https://image.ijq.tv/201512/23/11-16-58-72-12.jpg
马骙,,小黄晓明,汉族,内地,1990-11-26,湖北,181CM,72KG,A型,金牛座,顺德业余体校,演员,,马骙的新浪微博,《花火》,孙杨,https://image.ijq.tv/201706/20/17-43-43-13-19.png,images/17-43-43-13-19.png,马骙,https://www.ijq.tv/mingxing/14508378103450.html,https://image.ijq.tv/201706/20/17-43-43-13-19.png
李一情,,,汉族,内地,2010,江苏省徐州市,150CM,26KG,B型,处女座,邳州机关幼儿园,演员,,李一情的新浪微博,《亲爱的》《美丽的秘密》《神犬小七》,,https://image.ijq.tv/201512/22/10-11-46-53-13.jpg,images/10-11-46-53-13.jpg,李一情,https://www.ijq.tv/mingxing/14507502933449.html,https://image.ijq.tv/201512/22/10-11-46-53-13.jpg
井星文,,李君懿,汉族,内地,1983-08-03,四川成都,163CM,46KG,B型,金牛座,中央戏剧学院,演员,金砖传媒,井星文的新浪微博,《芈月传》,,https://image.ijq.tv/201512/18/11-08-25-67-13.jpg,images/11-08-25-67-13.jpg,井星文,https://www.ijq.tv/mingxing/14504080883448.html,https://image.ijq.tv/201512/18/11-08-25-67-13.jpg
唐鉴军,TANG JIAN JUN,谢广坤,汉族,内地,1968-12-1,舒兰市,166CM,72KG,A型,金牛座,,演员,本山传媒,唐鉴军的新浪微博,《乡村爱情浪漫曲》,赵本山,https://image.ijq.tv/201512/17/14-38-09-14-12.jpg,images/14-38-09-14-12.jpg,唐鉴军,https://www.ijq.tv/mingxing/14503342723447.html,https://image.ijq.tv/201512/17/14-38-09-14-12.jpg
