中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
贾宗超,J.C,,汉族,内地,1983-8-24,甘肃省兰州市,183CM,76KG,A型,处女座,北京外国语大学,"演员,歌手,模特",,《我就做你偶像》《突然那么怀念》《天天有喜2之人间有爱》,,https://image.ijq.tv/201505/06/15-55-13-67-11.jpg,images/15-55-13-67-11.jpg,贾宗超,https://www.ijq.tv/mingxing/2123.html,https://image.ijq.tv/201505/06/15-55-13-67-11.jpg,
邢珊,,,汉族,内地,11-25,云南,168CM,50KG,B型,射手座,中国传媒大学在读,演员,星乐映画影视文化传媒有限公司,《布袋和尚新传》《女医明妃传》,,https://image.ijq.tv/201505/06/16-00-33-91-14.png,images/16-00-33-91-14.png,邢珊,https://www.ijq.tv/mingxing/2122.html,https://image.ijq.tv/201505/06/16-00-33-91-14.png,邢珊的新浪微博
卓依婷,Timi Zhuo,依婷,汉族,内地,1981-10-2,台湾新北市新庄区,165CM,54KG,B型,天秤座,育达高职,演员,优格音乐文化有限公司,《恭喜恭喜》《明天会更好》《萍聚》,密友梅艳芳 搭档安七炫,https://image.ijq.tv/201505/06/15-30-34-10-12.jpg,images/15-30-34-10-12.jpg,卓依婷,https://www.ijq.tv/mingxing/2120.html,https://image.ijq.tv/201505/06/15-30-34-10-12.jpg,卓依婷的新浪微博
宫媛,,媛媛,汉族,内地,6-5,,167CM,45KG,A型,双子座,北京电影学院,演员,拉风娱乐,《天天有喜》《烽火儿女情》《唐宫燕》《女人泪青春风暴》《天天有喜2之人间有爱》,,https://image.ijq.tv/201505/06/15-15-40-48-11.jpg,images/15-15-40-48-11.jpg,宫媛,https://www.ijq.tv/mingxing/2118.html,https://image.ijq.tv/201505/06/15-15-40-48-11.jpg,
董可飞,,小飞,汉族,内地,1988-12-31,哈尔滨,176CM,65KG,A型,金牛座,解放军艺术学院01级戏剧系,演员,,《一见不钟情》,,https://image.ijq.tv/201505/06/15-07-42-61-12.jpg,images/15-07-42-61-12.jpg,董可飞,https://www.ijq.tv/mingxing/2117.html,https://image.ijq.tv/201505/06/15-07-42-61-12.jpg,董可飞的新浪微博
高蓓蓓,gaobeibei,,汉族,内地,11-2,江苏镇江,167CM,,A型,射手座,上海戏剧学院表演系,演员,,《北京夏天》《孩奴》,好友李冰冰 搭档杨烁,https://image.ijq.tv/201505/06/14-56-59-33-10.jpg,images/14-56-59-33-10.jpg,高蓓蓓,https://www.ijq.tv/mingxing/2119.html,https://image.ijq.tv/201505/06/14-56-59-33-10.jpg,高蓓蓓的新浪微博
邵雨薇,Ivy,梦梦,汉族,内地,1989-9-21,台湾省高雄市,167CM,40KG,A型,处女座,高雄和春技术学院应用英语系,"演员,主持人",,《智胜鲜师》《一见不钟情》,宋茜,https://image.ijq.tv/201707/08/16-34-37-64-19.jpg,images/16-34-37-64-19.jpg,邵雨薇,https://www.ijq.tv/mingxing/2116.html,https://image.ijq.tv/201707/08/16-34-37-64-19.jpg,邵雨薇的新浪微博
张勋杰,Michael,小杰,汉族,内地,1980-5-16,台湾,182CM,65KG,AB型,金牛座,华岗艺术学校舞蹈系,演员,,《一见不钟情》《斗鱼》,安以轩,https://image.ijq.tv/201505/06/14-23-19-49-12.jpg,images/14-23-19-49-12.jpg,张勋杰,https://www.ijq.tv/mingxing/2115.html,https://image.ijq.tv/201505/06/14-23-19-49-12.jpg,张勋杰的新浪微博
王姬,Heidi wong,老大,汉族,内地,1962-7-20,中国北京,168CM,49KG,O型,巨蟹座,北京人民艺术剧院,演员,,《加油吧实习生》,女儿高晓天 同学马星耀,https://image.ijq.tv/201505/06/14-08-20-71-16.jpg,images/14-08-20-71-16.jpg,王姬,https://www.ijq.tv/mingxing/2113.html,https://image.ijq.tv/201505/06/14-08-20-71-16.jpg,
夏凡,Xia Fan,,汉族,内地,1980-6-27,北京,185CM,70KG,A型,巨蟹座,日本福冈大学,演员,,《大敦煌》《宝贝儿回家》《神犬奇兵》,好友杨烁 好友陶红 搭档周牧茵,https://image.ijq.tv/201505/06/13-56-08-69-10.jpg,images/13-56-08-69-10.jpg,夏凡,https://www.ijq.tv/mingxing/2114.html,https://image.ijq.tv/201505/06/13-56-08-69-10.jpg,夏凡的新浪微博
