中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
王森,Wilson,阿森,汉族,内地,1989-8-3,北京,,79KG,B型,狮子座,中国戏曲学院,演员,北京普林赛斯文化传播有限责任公司,《致青春》《虎妈猫爸》《战狼》《我们约会吧》,孙红雷,https://image.ijq.tv/201505/06/11-26-33-54-13.jpg,images/11-26-33-54-13.jpg,王森,https://www.ijq.tv/mingxing/2110.html,https://image.ijq.tv/201505/06/11-26-33-54-13.jpg,王森的新浪微博
冯丽丽,,,汉族,内地,1990-2-22,上海市,164CM,47KG,B型,双鱼座,上海电影艺术学院,演员,,《女医明妃传》,,https://image.ijq.tv/201709/26/17-51-40-41-10.jpg,images/17-51-40-41-10.jpg,冯丽丽,https://www.ijq.tv/mingxing/2111.html,https://image.ijq.tv/201709/26/17-51-40-41-10.jpg,冯丽丽的新浪微博
盛朗熙,joy,,汉族,内地,1989-5-13,辽宁,168CM,45KG,A型,金牛座,上海戏剧学院,"演员,模特",太阳娱乐文化有限公司,《女医明妃传》,,https://image.ijq.tv/201505/06/10-53-45-58-14.png,images/10-53-45-58-14.png,盛朗熙,https://www.ijq.tv/mingxing/2109.html,https://image.ijq.tv/201505/06/10-53-45-58-14.png,
肖聪,Xiao Cong,,汉族,内地,1973-8-21,宁夏,178CM,65KG,B型,金牛座,中央戏剧学院,演员,,《阳光像花儿一样绽放》《重案六组3》《猎天狼》,好友王雷 搭档周一围 搭档王茜,https://image.ijq.tv/201505/05/16-43-13-16-10.jpg,images/16-43-13-16-10.jpg,肖聪,https://www.ijq.tv/mingxing/2108.html,https://image.ijq.tv/201505/05/16-43-13-16-10.jpg,肖聪的新浪微博
欧阳娜娜,Nana Ou-yang,娜比,汉族,内地,2000-6-15,台湾台北市,166CM,45KG,A型,双子座,美国柯蒂斯音乐学院,"演员,其他",,《是尚先生》《北京爱情故事》,刘昊然 搭档陈学冬,https://image.ijq.tv/201606/03/14-58-54-13-22.jpg,images/14-58-54-13-22.jpg,欧阳娜娜,https://www.ijq.tv/mingxing/2106.html,https://image.ijq.tv/201606/03/14-58-54-13-22.jpg,欧阳娜娜的新浪微博
万美汐,meixi Wan,万瑶瑶,汉族,内地,6-6,中国北京西城,166CM,55KG,O型,双子座,北京电影学院,演员,,《甄嬛传》《乱世佳人》,搭档佟丽娅 搭档陈冠霖,https://image.ijq.tv/201505/05/15-58-58-74-10.jpg,images/15-58-58-74-10.jpg,万美汐,https://www.ijq.tv/mingxing/2107.html,https://image.ijq.tv/201505/05/15-58-58-74-10.jpg,万美汐的新浪微博
刘昊然,,小虎牙,汉族,内地,1997-10-10,河南平顶山,183CM,70KG,B型,天秤座,北京舞蹈学院附属中学,演员,上海骋亚影视文化传媒有限公司,《北京爱情故事》,王宝强,https://image.ijq.tv/201505/05/15-50-08-63-7.jpg,images/15-50-08-63-7.jpg,刘昊然,https://www.ijq.tv/mingxing/2105.html,https://image.ijq.tv/201505/05/15-50-08-63-7.jpg,
王浩燃,,"王小猫儿,",汉族,内地,,河南省郑州市,159CM,55KG,A型,双子座,中央戏剧学院,演员,北京波诺拾捌文化经纪有限公司,《龙门镖局》《武林外传》《大汉情缘之云中歌》,,https://image.ijq.tv/201505/05/15-21-58-60-11.jpg,images/15-21-58-60-11.jpg,王浩燃,https://www.ijq.tv/mingxing/2104.html,https://image.ijq.tv/201505/05/15-21-58-60-11.jpg,
唐沸潮,Tang feichao,,,内地,1994-4-24,邵阳市,176CM,62KG,B型,双子座,北京电影学院,演员,,《旋风十一人》《二婶》,赵小天 张筝,https://image.ijq.tv/201505/05/15-18-20-42-8.jpg,images/15-18-20-42-8.jpg,唐沸潮,https://www.ijq.tv/mingxing/2103.html,https://image.ijq.tv/201505/05/15-18-20-42-8.jpg,唐沸潮的新浪微博
文静,Chinnell,,汉族,内地,11-27,贵阳,165CM,50KG,AB型,射手座,重庆大学美视电影学院,演员,,《琅琊榜》《军师联盟之虎啸龙吟》,,https://image.ijq.tv/201505/05/14-30-29-22-12.jpg,images/14-30-29-22-12.jpg,文静,https://www.ijq.tv/mingxing/2102.html,https://image.ijq.tv/201505/05/14-30-29-22-12.jpg,文静的新浪微博
崔心心,,心心,汉族,内地,1994-10-12,北京,163CM,50KG,B型,金牛座,解放军艺术学院,演员,山东电影电视剧制作中心,《四手妙弹》《到爱的距离》,马思纯,https://image.ijq.tv/201505/05/14-05-41-61-12.jpg,images/14-05-41-61-12.jpg,崔心心,https://www.ijq.tv/mingxing/2100.html,https://image.ijq.tv/201505/05/14-05-41-61-12.jpg,崔心心的新浪微博
冯静,Rita,冯靖贻,汉族,内地,1-3,北京,166CM,54KG,B型,水瓶座,北京电影学院,演员,,《姥爷的抗战》,,https://image.ijq.tv/201505/05/14-14-26-99-14.png,images/14-14-26-99-14.png,冯静,https://www.ijq.tv/mingxing/2101.html,https://image.ijq.tv/201505/05/14-14-26-99-14.png,
李璐茜,,李欣霏,汉族,内地,1988-11-12,中国浙江,165CM,42KG,B型,天蝎座,北京电影学院,演员,颁德传媒,《姥爷的抗战》,,https://image.ijq.tv/201803/20/16-20-21-78-39.jpg,images/16-20-21-78-39.jpg,李璐茜,https://www.ijq.tv/mingxing/2099.html,https://image.ijq.tv/201803/20/16-20-21-78-39.jpg,
张巨明,,小明,汉族,内地,2001-3-5,江苏无锡,150CM,35KG,B型,双鱼座,,演员,,《琅琊榜》《长城红》《对与决》,,https://image.ijq.tv/201505/05/11-55-47-50-12.jpg,images/11-55-47-50-12.jpg,张巨明,https://www.ijq.tv/mingxing/2097.html,https://image.ijq.tv/201505/05/11-55-47-50-12.jpg,
林珍娜,임진아,娜娜,,内地,1991-9-14,忠清北道清州市,171CM,51KG,A型,处女座,,"演员,歌手,模特",Pledis Entertainment,《相爱穿梭千年》,王妍之,https://image.ijq.tv/201505/05/11-54-12-57-8.jpg,images/11-54-12-57-8.jpg,林珍娜,https://www.ijq.tv/mingxing/2096.html,https://image.ijq.tv/201505/05/11-54-12-57-8.jpg,
李帅,,帅哥,汉族,内地,1985-8-13,辽宁大连,179CM,75KG,AB型,狮子座,上海师范大学谢晋影视艺术学院,演员,上海话剧艺术中心,《琅琊榜》,,https://image.ijq.tv/201505/05/11-36-11-35-12.jpg,images/11-36-11-35-12.jpg,李帅,https://www.ijq.tv/mingxing/2094.html,https://image.ijq.tv/201505/05/11-36-11-35-12.jpg,李帅的新浪微博
张颖,,,汉族,内地,9-28,安徽省蚌埠市,166CM,,A型,处女座,上海戏剧学院,演员,北京神艺文化传播有限公司,《少林藏经阁》,,https://image.ijq.tv/201505/05/11-40-49-66-14.png,images/11-40-49-66-14.png,张颖,https://www.ijq.tv/mingxing/2095.html,https://image.ijq.tv/201505/05/11-40-49-66-14.png,
刘腾远,tengyuan Liu,刘冬,汉族,内地,1978-9-9,吉林省,182CM,70KG,B型,处女座,中央戏剧学院表演系,演员,北京益彩博升国际文化传媒,《弹无虚发》《李小龙传奇》《神话》《战狼》,搭档吴京 搭档胡歌,https://image.ijq.tv/201505/05/11-31-39-40-10.jpg,images/11-31-39-40-10.jpg,刘腾远,https://www.ijq.tv/mingxing/2098.html,https://image.ijq.tv/201505/05/11-31-39-40-10.jpg,刘腾远的新浪微博
杨雨婷,,雨婷,汉族,内地,1978-9-,河南,167CM,69KG,AB型,巨蟹座,中央戏剧学院,演员,,《琅琊榜》《幸福归来》,配偶房子斌,https://image.ijq.tv/201505/05/11-17-27-94-12.jpg,images/11-17-27-94-12.jpg,杨雨婷,https://www.ijq.tv/mingxing/2093.html,https://image.ijq.tv/201505/05/11-17-27-94-12.jpg,
朱媛媛,,,汉族,内地,1974-3-18,山东省青岛市市北区,168CM,53KG,B型,双鱼座,中央戏剧学院表演系本科1997届,演员,,《思凡》《幸福请你等等我》,黄磊 汪俊 张子枫,https://image.ijq.tv/201607/29/16-18-30-85-26.jpg,images/16-18-30-85-26.jpg,朱媛媛,https://www.ijq.tv/mingxing/2091.html,https://image.ijq.tv/201607/29/16-18-30-85-26.jpg,朱媛媛的新浪微博
