中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
邓家佳,Deng Jiajia,邓阳光,汉族,内地,1983-5-17,内江,167CM,45KG,B型,金牛座,中国传媒大学,演员,北京东方画面影业有限公司,《爱情公寓》《聊斋新编》《全民目击》,孙红雷 娄艺潇,https://image.ijq.tv/201504/14/15-10-40-29-14.jpg,images/15-10-40-29-14.jpg,邓家佳,https://www.ijq.tv/mingxing/217.html,https://image.ijq.tv/201504/14/15-10-40-29-14.jpg,
舒畅,Jennifer,"畅畅,畅姐,小兔",汉族,内地,1987-12-1,白山市,163CM,43KG,AB型,射手座,北京第二外国语学院,演员,,《宝莲灯》《魔幻手机》《宫锁珠帘》《新鹿鼎记》,唐嫣,https://image.ijq.tv/201509/07/14-24-56-93-14.png,images/14-24-56-93-14.png,舒畅,https://www.ijq.tv/mingxing/214.html,https://image.ijq.tv/201509/07/14-24-56-93-14.png,
罗晋,Luo Jin,"咕噜,晋少,晋哥,小爷",汉族,内地,1981-11-30,江西省宜春市,181CM,68KG,O型,射手座,北京唐德凤凰演艺经纪有限公司|罗晋工作室,演员,北京电影学院,《克拉恋人》《X女特工》《乱世佳人》《美人心计》,苗圃,https://image.ijq.tv/201502/10/13-50-08-28-12.jpg,images/13-50-08-28-12.jpg,罗晋,https://www.ijq.tv/mingxing/213.html,https://image.ijq.tv/201502/10/13-50-08-28-12.jpg,罗晋的新浪微博
娄艺潇,Loura,娄霄霄,汉族,内地,1988-12-17,大连,168CM,48KG,B型,魔羯座,上海戏剧学院,演员,,《爱情公寓》《新鹿鼎记》,陈赫,https://image.ijq.tv/201408/11/16-07-05-57-8.jpg,images/16-07-05-57-8.jpg,娄艺潇,https://www.ijq.tv/mingxing/212.html,https://image.ijq.tv/201408/11/16-07-05-57-8.jpg,
王珞丹,May,"丹总,丹丹,丹姐,大丹,熊猫丹",汉族,内地,1984-1-30,内蒙古赤峰市,169CM,46KG,B型,水瓶座,北京电影学院,演员,,《奋斗》《杜拉拉升职记》《红娘子》《我爱的是你爱我》,彭于晏 陈柏霖,https://image.ijq.tv/201912/11/10-46-30-63-46.jpg,images/10-46-30-63-46.jpg,王珞丹,https://www.ijq.tv/mingxing/211.html,https://image.ijq.tv/201912/11/10-46-30-63-46.jpg,
刘涛,Tamia Liu,涛姐,汉族,内地,1978-7-12,江西省南昌市,168CM,50KG,O型,巨蟹座,广东外语外贸大学,"演员,歌手",,《铁在烧》《赢在美国》《芈月传》《顾盼盼的小时代》,丈夫王珂,https://image.ijq.tv/201911/19/18-09-01-88-47.png,images/18-09-01-88-47.png,刘涛,https://www.ijq.tv/mingxing/205.html,https://image.ijq.tv/201911/19/18-09-01-88-47.png,刘涛的新浪微博
杨蓉,Yang Rong,"蓉蓉,蓉儿",满族,内地,1981-6-3,云南保山,161CM,47KG,B型,双子座,上海戏剧学院,演员,于正工作室,《美人为馅》《飞刀又见飞刀》《美人制造》《笑傲江湖》《陆贞传奇》《千金女贼》,袁姗姗 搭档赵丽颖 搭档陈晓,https://image.ijq.tv/201501/22/23-44-32-73-1.jpg,images/23-44-32-73-1.jpg,杨蓉,https://www.ijq.tv/mingxing/204.html,https://image.ijq.tv/201501/22/23-44-32-73-1.jpg,杨蓉的新浪微博
钟黎黎,,"钟涂涂,黎美",汉族,内地,1991年3月16日,四川成都,165CM,44KG,A型,双鱼座,四川音乐学院,"演员,其他",,《一一向前冲》,,https://image.ijq.tv/201408/08/10-58-05-63-13.jpg,images/10-58-05-63-13.jpg,钟黎黎,https://www.ijq.tv/mingxing/203.html,https://image.ijq.tv/201408/08/10-58-05-63-13.jpg,
袁泉,Yolanda,,汉族,内地,1977-10-16,湖北省荆州市,168CM,49KG,B型,天秤座,中央戏剧学院,"演员,歌手",,《美丽的大脚》《琥珀》《我的前半生》,夏雨,https://image.ijq.tv/201408/07/17-11-23-49-10.jpg,images/17-11-23-49-10.jpg,袁泉,https://www.ijq.tv/mingxing/202.html,https://image.ijq.tv/201408/07/17-11-23-49-10.jpg,
黄海波,Huang Hai Bo,,满族,内地,1976-11-25,天津市蓟县,177CM,69KG,B型,射手座,北京电影学院表演系,演员,喜天影视文化有限公司,《咱们结婚吧》《媳妇的美好时代》,海清 高圆圆,https://image.ijq.tv/201412/31/14-07-45-75-13.jpg,images/14-07-45-75-13.jpg,黄海波,https://www.ijq.tv/mingxing/201.html,https://image.ijq.tv/201412/31/14-07-45-75-13.jpg,
夏雨,,,汉族,内地,1976-10-28,山东省青岛市,174CM,57KG,B型,天秤座,中央戏剧学院,演员,夏雨影视文化工作室,《阳光灿烂的日子》《警察有约》《我的兄弟姐妹》《独自等待》《西风烈》,袁泉 高圆圆,https://image.ijq.tv/201408/07/16-12-33-41-14.jpg,images/16-12-33-41-14.jpg,夏雨,https://www.ijq.tv/mingxing/199.html,https://image.ijq.tv/201408/07/16-12-33-41-14.jpg,夏雨的新浪微博
李金铭,Kimi,"金铭,阿铭,铭儿,铭铭",汉族,内地,1985-11-21,山东省济南市章丘市,167CM,46KG,O型,天蝎座,上海戏剧学院,演员,,《爱情公寓》《幸福最晴天》《幸福三颗星》《微博达人》,陈赫 孙艺洲,https://image.ijq.tv/201504/14/15-08-41-32-14.jpg,images/15-08-41-32-14.jpg,李金铭,https://www.ijq.tv/mingxing/198.html,https://image.ijq.tv/201504/14/15-08-41-32-14.jpg,李金铭的新浪微博
