中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
郜思雯,,郜耀平,汉族,内地,1999-08-06,河南,165CM,45KG,AB型,狮子座,北京市海淀区培星小学北京舞蹈学院附中歌舞系12级1班,演员,,《娘要嫁人》《伪装者》《媳妇美好时代》《独孤天下》,,https://image.ijq.tv/201710/19/10-41-54-86-26.jpg,images/10-41-54-86-26.jpg,郜思雯,https://www.ijq.tv/mingxing/15083808864783.html,https://image.ijq.tv/201710/19/10-41-54-86-26.jpg,
曲凌子,,曲都都,汉族,内地,1993-7-17,上海,168CM,43KG,B型,处女座,上海戏剧学院,演员,卓尔文化,《睡在我上铺的兄弟》《后海不是海》《老婆大人是八零后》,张一山,https://image.ijq.tv/201710/19/09-48-20-54-26.jpg,images/09-48-20-54-26.jpg,曲凌子,https://www.ijq.tv/mingxing/15083767624782.html,https://image.ijq.tv/201710/19/09-48-20-54-26.jpg,曲凌子的新浪微博
王雯雯,,,汉族,内地,1990-1-10,北京,165CM,44KG,O型,双鱼座,北京电影学院07级表演系,"演员,模特",,《告白》《我们的故事》,易柏辰,https://image.ijq.tv/201710/18/13-42-45-15-26.jpg,images/13-42-45-15-26.jpg,王雯雯,https://www.ijq.tv/mingxing/15083048364781.html,https://image.ijq.tv/201710/18/13-42-45-15-26.jpg,王雯雯的新浪微博
郑奇,,,汉族,内地,1984-8-4,黑龙江省哈尔滨市,183CM,75KG,A型,狮子座,中央戏剧学院03级表演系,演员,北京儒楷文化传播有限公司,《迅雷之旅》《兵王》《傻春》《野鸽子》《先结婚后恋爱》,宋佳,https://image.ijq.tv/201710/18/13-32-31-96-26.jpg,images/13-32-31-96-26.jpg,郑奇,https://www.ijq.tv/mingxing/15083032064780.html,https://image.ijq.tv/201710/18/13-32-31-96-26.jpg,郑奇的新浪微博
袁中方,zhongfang Yuan,,汉族,内地,1988-12-19,辽宁省,169CM,48KG,B型,射手座,上海戏剧学院,演员,浙江天光地影,《婚巢》《娘家的故事第二部》《百鸟朝凤》《拐个皇帝回现代》,搭档季晨,https://image.ijq.tv/201710/18/11-07-50-30-10.jpg,images/11-07-50-30-10.jpg,袁中方,https://www.ijq.tv/mingxing/15082960574779.html,https://image.ijq.tv/201710/18/11-07-50-30-10.jpg,袁中方的新浪微博
李连正,,,汉族,内地,1990-10-28,北京,180CM,65KG,,天蝎座,中国传媒大学,"演员,歌手",,《听见凉山》《我看你有戏》,李冰冰,https://image.ijq.tv/201710/18/10-42-10-97-19.jpg,images/10-42-10-97-19.jpg,李连正,https://www.ijq.tv/mingxing/15082945174778.html,https://image.ijq.tv/201710/18/10-42-10-97-19.jpg,李连正的新浪微博
李汶翰,,"兔子,小松鼠,男子翰",汉族,内地,1994-7-22,杭州,180CM,64KG,A型,巨蟹座,,"演员,歌手",乐华娱乐（YH Entertainment）,《热血狂篮》,王一博,https://image.ijq.tv/201710/18/09-42-05-71-19.jpg,images/09-42-05-71-19.jpg,李汶翰,https://www.ijq.tv/mingxing/15082909074777.html,https://image.ijq.tv/201710/18/09-42-05-71-19.jpg,李汶翰的新浪微博
陈柯帆,kefan Chen,,汉族,内地,2001-12-29,上海市,170CM,56KG,O型,魔羯座,,演员,上海力影社影视制作有限公司,《武媚娘传奇》《我们的少年时代》《三生三世十里桃花》,搭档李治廷,https://image.ijq.tv/201710/17/13-50-57-79-10.jpg,images/13-50-57-79-10.jpg,陈柯帆,https://www.ijq.tv/mingxing/15082194064776.html,https://image.ijq.tv/201710/17/13-50-57-79-10.jpg,陈柯帆的新浪微博
彭静,pengjing,"小静子,静妞,静静",汉族,内地,1989-8-13,四川成都,166CM,44KG,AB型,狮子座,北京电影学院,演员,响巢国际,《新神探联盟》《虎刺红》,娄艺潇,https://image.ijq.tv/201710/17/10-52-44-41-26.jpg,images/10-52-44-41-26.jpg,彭静,https://www.ijq.tv/mingxing/15082087024774.html,https://image.ijq.tv/201710/17/10-52-44-41-26.jpg,彭静的新浪微博
刘若谷,ruogu Liu,,汉族,内地,2006-10-13,北京,150CM,28KG,O型,天蝎座,,演员,,《人民的名义》《择天记》《武神赵子龙》,搭档陆毅,https://image.ijq.tv/201710/17/10-45-13-23-10.jpg,images/10-45-13-23-10.jpg,刘若谷,https://www.ijq.tv/mingxing/15082083054775.html,https://image.ijq.tv/201710/17/10-45-13-23-10.jpg,刘若谷的新浪微博
