中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
王玮,,,汉族,内地,1980-1-1,中国上海,180CM,72KG,B型,水瓶座,上海戏剧学院,演员,,《你是我的姐妹》,,https://image.ijq.tv/201505/26/17-14-32-91-14.png,images/17-14-32-91-14.png,王玮,https://www.ijq.tv/mingxing/2301.html,https://image.ijq.tv/201505/26/17-14-32-91-14.png,
米麟林,,,回族,内地,,吉林省长春市,166CM,52KG,A型,双子座,中央戏剧学院表演系,演员,,《烽火双雄》《相爱十年》《黄金背后》《济公传》《空巢姥爷》,,https://image.ijq.tv/201505/26/15-06-32-78-11.jpg,images/15-06-32-78-11.jpg,米麟林,https://www.ijq.tv/mingxing/2300.html,https://image.ijq.tv/201505/26/15-06-32-78-11.jpg,
巫迪文,Ares Wu,"迪文,文仔,小文,文少",汉族,内地,1982-1-13,广州,187CM,80KG,A型,魔羯座,广州体育学院,"演员,歌手,模特",东方之星,《暖男记》《大明按察使之铁血断案》《雅典娜女神》,搭档陈泽宇 谭凯,https://image.ijq.tv/201505/26/14-04-28-17-8.jpg,images/14-04-28-17-8.jpg,巫迪文,https://www.ijq.tv/mingxing/2299.html,https://image.ijq.tv/201505/26/14-04-28-17-8.jpg,巫迪文的新浪微博
刘亚津,,亚津,汉族,内地,1959-1-2,天津市,171CM,65KG,A型,金牛座,,演员,北京星泽国际影视文化有限公司,《前夫求爱记》,范明,https://image.ijq.tv/201505/26/10-52-57-41-12.jpg,images/10-52-57-41-12.jpg,刘亚津,https://www.ijq.tv/mingxing/2298.html,https://image.ijq.tv/201505/26/10-52-57-41-12.jpg,刘亚津的新浪微博
赵毅,,,汉族,内地,1975-12-8,北京,175CM,55KG,O型,射手座,中国戏曲学院,演员,,《城市猎人》《福根进城》,,https://image.ijq.tv/201505/25/16-22-58-47-12.jpg,images/16-22-58-47-12.jpg,赵毅,https://www.ijq.tv/mingxing/2297.html,https://image.ijq.tv/201505/25/16-22-58-47-12.jpg,赵毅的新浪微博
胡睿,Hu rui,小睿,汉族,内地,1990-2-19,北京,169CM,48KG,B型,双鱼座,中央戏剧学院,演员,,《城市猎人》,徐海乔 鞠婧祎,https://image.ijq.tv/201505/25/15-54-57-99-12.jpg,images/15-54-57-99-12.jpg,胡睿,https://www.ijq.tv/mingxing/2296.html,https://image.ijq.tv/201505/25/15-54-57-99-12.jpg,胡睿的新浪微博
陈昌旷,,,汉族,内地,7-31,贵州省黔西南州贞丰县,180CM,68KG,A型,狮子座,贵州大学艺术学院,演员,紫骏影视传媒集团,《烽火佳人》《隋唐英雄》《红色摇篮》《守护丽人》,,https://image.ijq.tv/201505/25/10-51-19-17-11.jpg,images/10-51-19-17-11.jpg,陈昌旷,https://www.ijq.tv/mingxing/2295.html,https://image.ijq.tv/201505/25/10-51-19-17-11.jpg,
郭子千,,郭子睿,汉族,内地,1989-6-26,四川,170CM,49KG,B型,巨蟹座,中央戏剧学院,演员,,《锦衣夜行》,,https://image.ijq.tv/201505/25/09-48-58-46-14.png,images/09-48-58-46-14.png,郭子千,https://www.ijq.tv/mingxing/2293.html,https://image.ijq.tv/201505/25/09-48-58-46-14.png,
杜天皓,Calvin Tu,天浩,汉族,内地,1993-10-18,中国台湾省台北市,178CM,67KG,B型,天蝎座,多伦多大学,演员,大盛国际传媒（北京）有限公司,《小时代系列电影》,朱茵,https://image.ijq.tv/201505/22/16-12-26-24-16.png,images/16-12-26-24-16.png,杜天皓,https://www.ijq.tv/mingxing/2291.html,https://image.ijq.tv/201505/22/16-12-26-24-16.png,杜天皓的新浪微博
李菁,,大眼板子李,汉族,内地,1978-8-1,北京,177CM,65KG,B型,狮子座,北京工业大学,"演员,主持人",,《毛丫丫被婚记》,,https://image.ijq.tv/201505/22/16-02-18-69-12.jpg,images/16-02-18-69-12.jpg,李菁,https://www.ijq.tv/mingxing/2290.html,https://image.ijq.tv/201505/22/16-02-18-69-12.jpg,李菁的新浪微博
孟召重,oliven,"粽子,花样小爷",汉族,内地,1984-3-18,北京,175CM,58KG,A型,金牛座,北京电影学院表演系,演员,千易文化,《战鼓擂》,张鲁一,https://image.ijq.tv/201505/22/15-58-03-97-11.jpg,images/15-58-03-97-11.jpg,孟召重,https://www.ijq.tv/mingxing/2292.html,https://image.ijq.tv/201505/22/15-58-03-97-11.jpg,孟召重的新浪微博
余玥,Yilia,小玥,汉族,内地,1991-9-28,四川省成都市,163CM,45KG,A型,天秤座,北京电影学院,演员,稻草熊影视,《格格要出嫁》《飞刀又见飞刀》《冬暖花会开》,杨紫,https://image.ijq.tv/201505/22/14-49-22-85-7.jpg,images/14-49-22-85-7.jpg,余玥,https://www.ijq.tv/mingxing/2289.html,https://image.ijq.tv/201505/22/14-49-22-85-7.jpg,余玥的新浪微博
王伊,Evans,阿童木,汉族,内地,,上海,181CM,68KG,A型,魔羯座,上海戏剧学院,演员,,《聊斋新编》,,https://image.ijq.tv/201505/22/14-19-43-34-14.png,images/14-19-43-34-14.png,王伊,https://www.ijq.tv/mingxing/2287.html,https://image.ijq.tv/201505/22/14-19-43-34-14.png,
赵冉,,,汉族,内地,1983-7-24,江苏省南京市,166CM,52KG,A型,狮子座,中央戏剧学院,演员,,《恰同学少年》,,https://image.ijq.tv/201505/22/13-50-51-82-14.png,images/13-50-51-82-14.png,赵冉,https://www.ijq.tv/mingxing/2285.html,https://image.ijq.tv/201505/22/13-50-51-82-14.png,
马藜,Smile,闹闹、蕾蕾、黄花梨,汉族,内地,11-3,大连,165CM,45KG,B型,射手座,上海谢晋影视艺术学院,演员,,《杀尽豺狼》《生命至上》,聂远,https://image.ijq.tv/201505/22/11-47-06-79-14.png,images/11-47-06-79-14.png,马藜,https://www.ijq.tv/mingxing/2284.html,https://image.ijq.tv/201505/22/11-47-06-79-14.png,马藜的新浪微博
王永强,Wang yongqiang,小强,汉族,内地,1982-10-27,天津,180CM,65KG,B型,天蝎座,中央戏剧学院,演员,,《年少轻狂》《兄弟们开火》《千金女贼》,郑恺,https://image.ijq.tv/201505/22/10-50-15-12-8.jpg,images/10-50-15-12-8.jpg,王永强,https://www.ijq.tv/mingxing/2282.html,https://image.ijq.tv/201505/22/10-50-15-12-8.jpg,
李鸣惊,Tris,,回族,内地,1992-2-23,河北省承德市平泉县,164CM,45KG,AB型,双鱼座,北京联合大学,"演员,模特",,《无懈可击—高手如林》《婚姻时差》,,https://image.ijq.tv/201505/22/10-54-11-60-7.jpg,images/10-54-11-60-7.jpg,李鸣惊,https://www.ijq.tv/mingxing/2283.html,https://image.ijq.tv/201505/22/10-54-11-60-7.jpg,
徐麒丰,,,汉族,内地,1982-4-29,广东,180CM,73KG,B型,金牛座,北京电影学院03表播,演员,,《偏偏喜欢你》,,https://image.ijq.tv/201505/21/16-33-59-40-14.png,images/16-33-59-40-14.png,徐麒丰,https://www.ijq.tv/mingxing/2280.html,https://image.ijq.tv/201505/21/16-33-59-40-14.png,
李芳淙,lifangcong,果果,汉族,内地,2007-6-25,北京,150CM,18KG,,巨蟹座,,演员,,《催眠大师》《老有所依》《妈妈向前冲》,,https://image.ijq.tv/201505/21/16-26-36-74-16.jpg,images/16-26-36-74-16.jpg,李芳淙,https://www.ijq.tv/mingxing/2279.html,https://image.ijq.tv/201505/21/16-26-36-74-16.jpg,
斌子,,,汉族,内地,1973-4-7,北京,184CM,78KG,B型,白羊座,北京体育大学,演员,北京紫微星空文化传媒有限公司,《孔子春秋》《永不磨灭的番号》,,https://image.ijq.tv/201505/21/16-20-43-73-12.jpg,images/16-20-43-73-12.jpg,斌子,https://www.ijq.tv/mingxing/2278.html,https://image.ijq.tv/201505/21/16-20-43-73-12.jpg,斌子的新浪微博
张念骅,zhangnianhua,念华,汉族,内地,1983-5-21,辽宁省大连市,,,A型,狮子座,中央戏剧学院,演员,,《一个无政府主义者的意外死亡》《恋爱的犀牛》《我们的法兰西岁月》,,https://image.ijq.tv/201505/21/16-19-43-35-16.png,images/16-19-43-35-16.png,张念骅,https://www.ijq.tv/mingxing/2277.html,https://image.ijq.tv/201505/21/16-19-43-35-16.png,
侯岩松,houyansong,岩松,汉族,内地,10-29,吉林,178CM,70KG,B型,狮子座,,演员,,《美女与野兽》《平原枪声村官》《李八亿闯关东》《冷箭》,,https://image.ijq.tv/201505/21/16-05-46-56-16.png,images/16-05-46-56-16.png,侯岩松,https://www.ijq.tv/mingxing/2276.html,https://image.ijq.tv/201505/21/16-05-46-56-16.png,
党昊,,党淏,汉族,内地,1977-5-9,辽宁,178CM,70KG,AB型,双子座,中央戏剧学院表演系本科96级,演员,,《遭遇·阮玲玉》《镖门》,,https://image.ijq.tv/201505/21/15-48-24-96-12.jpg,images/15-48-24-96-12.jpg,党昊,https://www.ijq.tv/mingxing/2275.html,https://image.ijq.tv/201505/21/15-48-24-96-12.jpg,党昊的新浪微博
樊昱君,coco,樊樊,汉族,内地,1985-11-04,山西,165CM,46KG,B型,天蝎座,北京电影学院,演员,,《咱们结婚吧》《午夜诊所》《天使的微笑》《战鼓擂》《爱的追踪》,,https://image.ijq.tv/201605/05/17-39-06-69-19.png,images/17-39-06-69-19.png,樊昱君,https://www.ijq.tv/mingxing/2274.html,https://image.ijq.tv/201605/05/17-39-06-69-19.png,樊昱君的新浪微博
刘羽琦,IZUMI,,汉族,内地,1987-7-18,江苏徐州,170CM,48KG,B型,巨蟹座,,"演员,模特",海润影视,《婚姻时差》,沙溢,https://image.ijq.tv/201712/11/10-57-38-28-26.jpg,images/10-57-38-28-26.jpg,刘羽琦,https://www.ijq.tv/mingxing/2273.html,https://image.ijq.tv/201712/11/10-57-38-28-26.jpg,刘羽琦的新浪微博
曹永廉,Raymond ，Cho Wing Lim,廉记,汉族,内地,1964-10-16,中国香港,175CM,65KG,A型,天秤座,,演员,,《大帅哥》《聊斋新编》,密友黄浩然,https://image.ijq.tv/201505/20/17-01-50-61-14.png,images/17-01-50-61-14.png,曹永廉,https://www.ijq.tv/mingxing/2271.html,https://image.ijq.tv/201505/20/17-01-50-61-14.png,
赵越,,,汉族,内地,1965-11-12,四川成都,168CM,52KG,A型,天蝎座,北京电影学院,演员,北京世纪众和影视文化有限公司,《蹉跎岁月》《失宠王妃之结缘》,,https://image.ijq.tv/201505/20/16-34-10-51-12.jpg,images/16-34-10-51-12.jpg,赵越,https://www.ijq.tv/mingxing/2270.html,https://image.ijq.tv/201505/20/16-34-10-51-12.jpg,赵越的新浪微博
