中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
胡乔华,qiaohua Hu,华少,汉族,内地,1981-3-16,浙江杭州,180CM,70KG,A型,双鱼座,浙江广播电视大学艺术分校,"演员,主持人",杭州鸣声文化,胡乔华的新浪微博,《我爱记歌词》《王牌谍中谍》《中国好声音》,妻子秦利鸽 密友宋延钊 搭档黄晓明,https://image.ijq.tv/201505/05/10-54-18-21-10.jpg,images/10-54-18-21-10.jpg,胡乔华,https://www.ijq.tv/mingxing/2092.html,https://image.ijq.tv/201505/05/10-54-18-21-10.jpg
黄子韬,TAO|타오,"桃子,ABstyle,功夫熊猫,小豹子,澡澡猫",汉族,内地,1993-05-02,山东省青岛市,185CM,65KG,AB型,金牛座,青岛市外事服务学校,"演员,歌手",韩国SM公司,黄子韬的新浪微博,《何以笙箫默》,好友黄晓明 同事宋茜 组合exo,https://image.ijq.tv/201505/05/10-10-04-57-10.jpg,images/10-10-04-57-10.jpg,黄子韬,https://www.ijq.tv/mingxing/2090.html,https://image.ijq.tv/201505/05/10-10-04-57-10.jpg
孔琳,,,汉族,内地,1977-10-9,浙江杭州,168CM,50KG,O型,巨蟹座,北京电影学院,演员,金英马影视,孔琳的新浪微博,《大红灯笼高高挂》《虎妈猫爸》《头发乱了》《真情告别》,前男友耿乐,https://image.ijq.tv/201505/05/10-07-11-59-13.jpg,images/10-07-11-59-13.jpg,孔琳,https://www.ijq.tv/mingxing/2089.html,https://image.ijq.tv/201505/05/10-07-11-59-13.jpg
毕彦君,biyanjun,彦军,汉族,内地,1955-7-,辽宁鞍山,178CM,68KG,B型,射手座,上海戏剧学院,演员,,,《爱你一生》,陈晓旭,https://image.ijq.tv/201505/05/09-56-16-24-16.jpg,images/09-56-16-24-16.jpg,毕彦君,https://www.ijq.tv/mingxing/2088.html,https://image.ijq.tv/201505/05/09-56-16-24-16.jpg
田野,Tian Ye,,汉族,内地,1984-7-12,湖南长沙,168CM,47KG,A型,巨蟹座,中央戏剧学院,演员,北京星月艺画文化传播有限公司,田野的新浪微博,《坐88路车回家》,张博,https://image.ijq.tv/201505/05/09-37-55-54-7.jpg,images/09-37-55-54-7.jpg,田野,https://www.ijq.tv/mingxing/2086.html,https://image.ijq.tv/201505/05/09-37-55-54-7.jpg
何穗,Sui He,何仙姑,汉族,内地,1989-9-23,温州,178CM,50KG,O型,天秤座,天津工业大学,"演员,模特",,何穗的新浪微博,《何以笙箫默》,搭档黄晓明 搭档杨幂,https://image.ijq.tv/201505/05/09-29-25-10-10.jpg,images/09-29-25-10-10.jpg,何穗,https://www.ijq.tv/mingxing/2087.html,https://image.ijq.tv/201505/05/09-29-25-10-10.jpg
张阳阳,Yangyangzhang,"阳阳,二阳,张sir,小虎牙",,内地,1991-10-1,新疆塔城额敏县,183CM,60KG,A型,天秤座,新疆警察学院,"演员,歌手",天娱传媒,张阳阳的新浪微博,《最勇敢的爱》《回家路上》《关于青春》《是我太软弱》,好友欧豪 好友居来提·库提来,https://image.ijq.tv/201505/04/16-49-42-69-10.jpg,images/16-49-42-69-10.jpg,张阳阳,https://www.ijq.tv/mingxing/2085.html,https://image.ijq.tv/201505/04/16-49-42-69-10.jpg
王喜,Wong He,邝毅怡,汉族,内地,1967-7-27,广东台山,178CM,65KG,B型,狮子座,圣公会基孝中学,演员,,王喜的新浪微博,《吉祥天宝》《风云雄霸天下》,,https://image.ijq.tv/201505/04/15-44-40-72-12.jpg,images/15-44-40-72-12.jpg,王喜,https://www.ijq.tv/mingxing/2082.html,https://image.ijq.tv/201505/04/15-44-40-72-12.jpg
汤镇业,,,汉族,内地,1958-9-29,香港,175CM,67KG,A型,天秤座,无线电视第八期艺员训练班,演员,香港德源娱乐,,《我的老婆大人是八零后》《天龙八部》《神雕侠侣》《香城浪子》,,https://image.ijq.tv/201505/04/15-50-53-50-14.png,images/15-50-53-50-14.png,汤镇业,https://www.ijq.tv/mingxing/2083.html,https://image.ijq.tv/201505/04/15-50-53-50-14.png
黄海,Huanghai,黄垒鑫,汉族,内地,11-10,安徽合肥,178CM,64KG,O型,魔羯座,上海戏剧学院表演系,演员,北京中北电视艺术中心,,《红十字方队》《皇太子秘史》《凤在江湖》《黄庭坚》,搭档胡军 搭档戴娇倩,https://image.ijq.tv/201505/04/15-28-40-66-10.jpg,images/15-28-40-66-10.jpg,黄海,https://www.ijq.tv/mingxing/2084.html,https://image.ijq.tv/201505/04/15-28-40-66-10.jpg
