中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
朱圣祎,,朱圣依,汉族,内地,12-24,上海,166CM,48KG,O型,水瓶座,上海戏剧学院,演员,东洋天映,朱圣祎的新浪微博,《金童子》《九州天空城》,关晓彤 张若昀,https://image.ijq.tv/201607/14/14-30-38-21-10.jpg,images/14-30-38-21-10.jpg,朱圣祎,https://www.ijq.tv/mingxing/14684771293713.html,https://image.ijq.tv/201607/14/14-30-38-21-10.jpg
杨颖,Angelababy,Baby,汉族,内地,1989-2-28,上海,168CM,45KG,O型,双鱼座,嘉诺撒圣心商学书院,"演员,电影人,模特",Angelababy工作室(泰洋川禾）,杨颖的新浪微博,《云中歌》《全城热恋》,黄晓明 陈伟霆,https://image.ijq.tv/201912/11/17-50-44-65-46.jpg,images/17-50-44-65-46.jpg,杨颖,https://www.ijq.tv/mingxing/14683931743712.html,https://image.ijq.tv/201912/11/17-50-44-65-46.jpg
王莎莎,,莎莎、波妞,汉族,内地,1992-1-18,河北邯郸,162CM,50KG,O型,魔羯座,上海戏剧学院,演员,北京天歌星辉演艺经纪有限公司,王莎莎的新浪微博,《大熔炉》《《包青天之开封奇案》》《《小兵张嘎》》《《武林外传》》,张一山,https://image.ijq.tv/201607/13/14-50-29-33-25.png,images/14-50-29-33-25.png,王莎莎,https://www.ijq.tv/mingxing/14683924973711.html,https://image.ijq.tv/201607/13/14-50-29-33-25.png
黎源,,,汉族,内地,1987-11-3,山东济南,182CM,66KG,AB型,天蝎座,中央戏剧学院,演员,强视传媒,黎源的新浪微博,《翡翠恋人》《武神赵子龙》《新边城浪子》,朱一龙 张馨予,https://image.ijq.tv/201607/13/11-41-43-42-29.jpg,images/11-41-43-42-29.jpg,黎源,https://www.ijq.tv/mingxing/14683812433710.html,https://image.ijq.tv/201607/13/11-41-43-42-29.jpg
杨柳,Olivia,"柳柳,柳哥",回族,内地,1993-8-26,河北承德,168CM,48KG,O型,巨蟹座,北京电影学院,演员,,杨柳的新浪微博,《蜂鸟出击》《多少爱可以重来》,合作电视剧乔欣,https://image.ijq.tv/201607/13/11-34-42-91-19.png,images/11-34-42-91-19.png,杨柳,https://www.ijq.tv/mingxing/14683808053709.html,https://image.ijq.tv/201607/13/11-34-42-91-19.png
王嵛,,王梓余,汉族,内地,1994-6-2,黑龙江省牡丹江市,165CM,44KG,O型,狮子座,上海师范大学谢晋影视艺术学院,演员,,王嵛的新浪微博,《旋风十一人》《铁血淞沪》《隐形的翅膀》,贾静雯 胡歌,https://image.ijq.tv/201607/12/16-26-51-21-10.jpg,images/16-26-51-21-10.jpg,王嵛,https://www.ijq.tv/mingxing/14683119793708.html,https://image.ijq.tv/201607/12/16-26-51-21-10.jpg
刘金龙,jinlong Liu,,汉族,内地,1975-8-23,黑龙江,180CM,65KG,AB型,处女座,沈阳音乐学院,演员,柠檬时代（北京）文化传播有限公司,刘金龙的新浪微博,《神犬奇兵》《兵临村下》《两个女匪王》,于和伟 侯梦莎,https://image.ijq.tv/201607/11/12-02-33-77-26.jpg,images/12-02-33-77-26.jpg,刘金龙,https://www.ijq.tv/mingxing/14682096973707.html,https://image.ijq.tv/201607/11/12-02-33-77-26.jpg
程启蒙,qimeng Chen,,汉族,内地,1990-4-9,北京,,67KG,O型,双子座,中央戏剧学院,演员,北京耀客文化传播,程启蒙的新浪微博,《隐形的翅膀》《女不强大天不容》,贾静雯 刘雅瑟,https://image.ijq.tv/201607/11/11-04-29-86-10.jpg,images/11-04-29-86-10.jpg,程启蒙,https://www.ijq.tv/mingxing/14682058613706.html,https://image.ijq.tv/201607/11/11-04-29-86-10.jpg
王艺哲,yizhe Wang,乐乐,汉族,内地,1995-11-23,新疆阿勒泰市,163CM,43KG,B型,射手座,中央戏剧学院,演员,耀客文化传媒,王艺哲的新浪微博,《隐形的翅膀》《会痛的17岁》,搭档贾静雯,https://image.ijq.tv/201607/11/10-29-41-23-10.jpg,images/10-29-41-23-10.jpg,王艺哲,https://www.ijq.tv/mingxing/14682036873705.html,https://image.ijq.tv/201607/11/10-29-41-23-10.jpg
黄圣池,,圣池,汉族,内地,1995-2-19,,181CM,,,双鱼座,北京电影学院表演系,"演员,主持人",,黄圣池的新浪微博,《旋风少女2》《大牌对王牌》,王祖蓝 郭采洁,https://image.ijq.tv/201607/09/09-54-50-53-28.jpg,images/09-54-50-53-28.jpg,黄圣池,https://www.ijq.tv/mingxing/14680292673704.html,https://image.ijq.tv/201607/09/09-54-50-53-28.jpg
papi酱,Papi sauce,姜逸磊,汉族,内地,1987-2-17,上海,165CM,45KG,AB型,水瓶座,中央戏剧学院,其他,,papi酱的新浪微博,《台湾人说东北话》《男性生存法则》,,https://image.ijq.tv/201607/09/09-37-57-20-29.jpg,images/09-37-57-20-29.jpg,papi酱,https://www.ijq.tv/mingxing/14680281193703.html,https://image.ijq.tv/201607/09/09-37-57-20-29.jpg
石文中,,,汉族,内地,1968-10-10,西安,178CM,68KG,,,,演员,天润盛世演艺经纪公司,,《风云年代》《人间正道是沧桑》《青盲》《侦察记》,张铎 孙红雷,https://image.ijq.tv/201607/06/13-58-04-73-28.jpg,images/13-58-04-73-28.jpg,石文中,https://www.ijq.tv/mingxing/14677846583698.html,https://image.ijq.tv/201607/06/13-58-04-73-28.jpg
白雪,,,汉族,内地,1992-3-19,江西九江,163CM,42KG,O型,金牛座,北京电影学院,演员,,白雪的新浪微博,《金陵十三钗》《诛仙青云志》,李易峰,https://image.ijq.tv/201607/05/16-26-57-97-10.jpg,images/16-26-57-97-10.jpg,白雪,https://www.ijq.tv/mingxing/14677066533697.html,https://image.ijq.tv/201607/05/16-26-57-97-10.jpg
许魏洲,Timmy Xu|허위주,,汉族,内地,1994-10-20,上海,185CM,70KG,O型,天秤座,中国戏曲学院,"演员,歌手",光线传媒,许魏洲的新浪微博,《电竞也疯狂》《上瘾》,黄景瑜,https://image.ijq.tv/201607/05/15-07-43-48-29.jpg,images/15-07-43-48-29.jpg,许魏洲,https://www.ijq.tv/mingxing/14677023103696.html,https://image.ijq.tv/201607/05/15-07-43-48-29.jpg
上官瞳,Shangguan Tong,,汉族,内地,10-14,上海市,163CM,48KG,,天秤座,上海戏剧学院舞美系,演员,,上官瞳的新浪微博,《淘婚记》《煮妇神探》《纳妾记》,贾乃亮 宋承宪 刘涛,https://image.ijq.tv/201607/02/14-19-03-69-31.jpg,images/14-19-03-69-31.jpg,上官瞳,https://www.ijq.tv/mingxing/14674402813693.html,https://image.ijq.tv/201607/02/14-19-03-69-31.jpg
徐光宇,,,汉族,内地,1975-4-26,长春市,175CM,62KG,A型,金牛座,北京师范大学艺术与传媒学院,演员,,徐光宇的新浪微博,《红高粱》《孤军英雄》《八路军》,,https://image.ijq.tv/201607/01/16-49-47-34-30.jpg,images/16-49-47-34-30.jpg,徐光宇,https://www.ijq.tv/mingxing/14673629313692.html,https://image.ijq.tv/201607/01/16-49-47-34-30.jpg
张雅玫,yamei Zhang,,汉族,内地,1992-4-3,四川,171CM,45KG,AB型,白羊座,中央戏剧学院,演员,,张雅玫的新浪微博,《金刚王》,张翰 于小彤,https://image.ijq.tv/201607/01/15-23-28-43-26.jpg,images/15-23-28-43-26.jpg,张雅玫,https://www.ijq.tv/mingxing/14673573913691.html,https://image.ijq.tv/201607/01/15-23-28-43-26.jpg
张语格,,,汉族,内地,1996-5-11,黑龙江哈尔滨市,170CM,45KG,A型,金牛座,哈尔滨市第十三中学,"演员,歌手",上海丝芭文化传媒有限公司,张语格的新浪微博,《盛夏好声音》《雨季之后》《贴身校花》《球爱酒吧》,鞠婧祎 李艺彤,https://image.ijq.tv/201609/28/15-38-20-44-29.jpg,images/15-38-20-44-29.jpg,张语格,https://www.ijq.tv/mingxing/14673534983689.html,https://image.ijq.tv/201609/28/15-38-20-44-29.jpg
居文沛,wenpei Ju,,汉族,内地,1975-9-6,湖北,170CM,45KG,A型,天秤座,上海音乐学院,"演员,主持人,其他",,居文沛的新浪微博,《即日启程》《不一样的焰火》《第一大案》《那些年那些女人》,刘之冰 王伯昭 刘小峰 孙红雷,https://image.ijq.tv/201607/01/11-32-16-14-31.jpg,images/11-32-16-14-31.jpg,居文沛,https://www.ijq.tv/mingxing/14673438953690.html,https://image.ijq.tv/201607/01/11-32-16-14-31.jpg
成梓宁,,,汉族,内地,1994-12-7,新疆,168CM,48KG,B型,射手座,北京电影学院,,欢娱影视,成梓宁的新浪微博,《半妖倾城》《火柴小姐的美味先生》,李一桐,https://image.ijq.tv/201606/30/22-35-37-96-25.png,images/22-35-37-96-25.png,成梓宁,https://www.ijq.tv/mingxing/14672973163685.html,https://image.ijq.tv/201606/30/22-35-37-96-25.png
陈星旭,,,汉族,内地,1996-3-31,沈阳,186CM,,,,2014级中央戏剧学院表演系在读,,,陈星旭的新浪微博,《东宫》《射雕英雄传》《闪闪的红星》,彭小苒 窦骁,https://image.ijq.tv/201704/29/14-03-42-53-26.jpg,images/14-03-42-53-26.jpg,陈星旭,https://www.ijq.tv/mingxing/14671897713675.html,https://image.ijq.tv/201704/29/14-03-42-53-26.jpg
戚蓝尹,Niania|elva,"小戚,七七,喵酱,小七",汉族,内地,1993-04-06,江苏扬州,169CM,55KG,AB型,白羊座,,"演员,歌手,主持人",优酷,戚蓝尹的新浪微博,《优酷全娱乐》《小主起来嗨》《会痛的十七岁》《好笑头条君》《六度空间之死循环》,关晓彤,https://image.ijq.tv/201606/28/09-34-15-94-26.jpg,images/09-34-15-94-26.jpg,戚蓝尹,https://www.ijq.tv/mingxing/14670773373673.html,https://image.ijq.tv/201606/28/09-34-15-94-26.jpg
