中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
武佳轩,miao-ma,,汉族,内地,1995-2-22,,168CM,47KG,,双鱼座,,演员,神兽传媒,武佳轩的新浪微博,《蔓蔓青萝》《烈火军校》《少帝康熙》,秦俊杰 阚清子,https://image.ijq.tv/201911/25/10-53-07-39-47.png,images/10-53-07-39-47.png,武佳轩,https://www.ijq.tv/mingxing/15746503427018.html,https://image.ijq.tv/201911/25/10-53-07-39-47.png
李东山,San,,汉族,内地,,,,,,天蝎座,,"演员,歌手",极韵文化,李东山的新浪微博,《夏夜知君暖》《花木兰》《七剑雨芒似无双》《能见度》《可惜你》,邓超元 王梓薇 张达源,https://image.ijq.tv/201911/25/10-19-37-16-47.png,images/10-19-37-16-47.png,李东山,https://www.ijq.tv/mingxing/15746483217017.html,https://image.ijq.tv/201911/25/10-19-37-16-47.png
齐天映,,,汉族,内地,,,182CM,65KG,,,,演员,,齐天映的新浪微博,《夏夜知君暖》,邓超元 王梓薇 张达源,https://image.ijq.tv/201911/25/10-03-32-61-47.png,images/10-03-32-61-47.png,齐天映,https://www.ijq.tv/mingxing/15746462207016.html,https://image.ijq.tv/201911/25/10-03-32-61-47.png
高凡,Ko Bum|고범,,汉族,内地,1991-1-13,北京,172CM,50KG,B型,魔羯座,,演员,,高凡的新浪微博,《火力少年王3》《青涩记忆》《兰陵王妃》,张含韵 陈奕 沈建宏,https://image.ijq.tv/201911/25/09-26-17-66-47.png,images/09-26-17-66-47.png,高凡,https://www.ijq.tv/mingxing/15746451437015.html,https://image.ijq.tv/201911/25/09-26-17-66-47.png
张晨璐,,,汉族,内地,,,,,,白羊座,上海戏剧学院,"演员,主持人",,张晨璐的新浪微博,《神马兄弟》《单身公主相亲记》《爱情公寓4》,陈赫 娄艺潇 孙艺洲,https://image.ijq.tv/201911/22/16-30-46-20-47.png,images/16-30-46-20-47.png,张晨璐,https://www.ijq.tv/mingxing/15744114157014.html,https://image.ijq.tv/201911/22/16-30-46-20-47.png
严丰,,狗子哥,汉族,内地,1981-10-7,,183CM,77KG,A型,天秤座,上海戏剧学院表演系,"演员,电影人",,,《仙剑奇缘》《我的前任是极品》《爱情公寓3》《爱情公寓4》,叶梓棠 胡蒲 刘博群,https://image.ijq.tv/201911/22/16-02-09-63-47.png,images/16-02-09-63-47.png,严丰,https://www.ijq.tv/mingxing/15744096987013.html,https://image.ijq.tv/201911/22/16-02-09-63-47.png
赵冰,Ellie,"冰冰,赵大嘴",汉族,内地,1998-4-13,沈阳,171CM,55KG,O型,白羊座,同济大学电影,演员,上海保奇影视文化发展有限公司,赵冰的新浪微博,《女士游戏》《未婚夫妻》《岳父太囧》,贺彬 张晨璐 朱嘉琦,https://image.ijq.tv/201911/22/15-31-59-41-47.png,images/15-31-59-41-47.png,赵冰,https://www.ijq.tv/mingxing/15744078447012.html,https://image.ijq.tv/201911/22/15-31-59-41-47.png
艾丽娅,,,汉族,内地,1965-12-1,内蒙古,167CM,46KG,O型,射手座,北京电影学院,演员,,,《大宋提刑官》《大宅门》《将夜》,王景春 咏梅 齐溪,https://image.ijq.tv/201911/22/15-11-22-49-47.png,images/15-11-22-49-47.png,艾丽娅,https://www.ijq.tv/mingxing/15744061147011.html,https://image.ijq.tv/201911/22/15-11-22-49-47.png
王俊伊,,,汉族,内地,1991-9-18,湖北武汉,172CM,54KG,A型,处女座,武汉科技大学,"演员,歌手",,,《神雕侠侣》《沙漏》《巴黎之情海星空》《拆局专家》《无双谱》,钱嘉乐 黄智雯 袁伟豪,https://image.ijq.tv/201911/22/14-35-14-97-47.png,images/14-35-14-97-47.png,王俊伊,https://www.ijq.tv/mingxing/15744044817010.html,https://image.ijq.tv/201911/22/14-35-14-97-47.png
康楷,,,汉族,内地,,,183CM,70KG,,双鱼座,,演员,兰州军区话剧团,康楷的新浪微博,《津门飞鹰》《灵魂的博弈》《铁血雄鹰》,张子健 曲栅栅 淳于珊珊,https://image.ijq.tv/201911/22/11-52-44-85-47.png,images/11-52-44-85-47.png,康楷,https://www.ijq.tv/mingxing/15743947367009.html,https://image.ijq.tv/201911/22/11-52-44-85-47.png
