中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
吴稀儿,,,汉族,内地,1995-6-26,北京朝阳,175CM,48KG,A型,双子座,北京电影学院,,,吴稀儿的新浪微博,《第十六届深港澳国际展览会车模》,汤加丽 汤芳,https://image.ijq.tv/202002/19/17-31-14-21-1.png,images/17-31-14-21-1.png,吴稀儿,https://www.ijq.tv/mingxing/15821034567435.html,https://image.ijq.tv/202002/19/17-31-14-21-1.png
晨诗怡,,"怡怡,君怡",汉族,内地,1991-8-10,重庆九龙坡区,170CM,48KG,AB型,狮子座,,,,,,汤加丽 汤芳,https://image.ijq.tv/202002/19/16-26-36-30-1.png,images/16-26-36-30-1.png,晨诗怡,https://www.ijq.tv/mingxing/15820990457434.html,https://image.ijq.tv/202002/19/16-26-36-30-1.png
张筱雨,,,汉族,内地,1986-6-6,哈尔滨,162CM,44KG,B型,金牛座,北华大学,模特,,,《魅惑》,汤芳 汤加丽,https://image.ijq.tv/202002/19/15-44-25-27-1.png,images/15-44-25-27-1.png,张筱雨,https://www.ijq.tv/mingxing/15820975987433.html,https://image.ijq.tv/202002/19/15-44-25-27-1.png
汤芳,,,汉族,内地,1983-3-15,江苏无锡,167CM,48KG,A型,,,模特,,,《TRUE-真实》《湖边的东方美人》《乌苏里船歌》,汤加丽,https://image.ijq.tv/202002/19/14-40-52-62-1.png,images/14-40-52-62-1.png,汤芳,https://www.ijq.tv/mingxing/15820935927432.html,https://image.ijq.tv/202002/19/14-40-52-62-1.png
关薇绮,,,汉族,内地,,,164CM,42KG,A型,处女座,,模特,,,《兴凯风情》《Room》《晨雾》,汤加丽,https://image.ijq.tv/202002/19/13-50-39-60-1.png,images/13-50-39-60-1.png,关薇绮,https://www.ijq.tv/mingxing/15820903337431.html,https://image.ijq.tv/202002/19/13-50-39-60-1.png
汤加丽,,,汉族,内地,1976-7-13,安徽合肥,165CM,45KG,A型,巨蟹座,北京舞蹈学院,"演员,模特",东方歌舞团,汤加丽的新浪微博,《康熙王朝》《银鼠》《长江刑警》《古董王爷》,陈道明,https://image.ijq.tv/202002/19/11-15-33-25-1.png,images/11-15-33-25-1.png,汤加丽,https://www.ijq.tv/mingxing/15820817637430.html,https://image.ijq.tv/202002/19/11-15-33-25-1.png
王炫乂,,,汉族,内地,,,178CM,79KG,A型,,,演员,,,《传奇英雄》《幸福院》,李光复 刘佩琦,https://image.ijq.tv/202002/10/14-01-28-44-1.png,images/14-01-28-44-1.png,王炫乂,https://www.ijq.tv/mingxing/15813143867428.html,https://image.ijq.tv/202002/10/14-01-28-44-1.png
杨峰,,,汉族,内地,1980-2-29,山西,176CM,60KG,A型,双鱼座,中央戏剧学院,演员,,,《幸福院》《盗火线》《尖刀出鞘》《深宅1937》,刘佩琦 李光复,https://image.ijq.tv/202002/08/16-58-28-63-1.png,images/16-58-28-63-1.png,杨峰,https://www.ijq.tv/mingxing/15811519827427.html,https://image.ijq.tv/202002/08/16-58-28-63-1.png
王建国,,,汉族,内地,1988-6-6,山东,182CM,88KG,A型,双子座,山东财经大学,主持人,,王建国的新浪微博,《吐槽大会》《脱口秀大会》,张绍刚 李诞,https://image.ijq.tv/202002/07/11-29-37-62-1.png,images/11-29-37-62-1.png,王建国,https://www.ijq.tv/mingxing/15810440717426.html,https://image.ijq.tv/202002/07/11-29-37-62-1.png
李诞,,李瑞超,汉族,内地,1989-10-02,内蒙古锡林郭勒,182CM,77KG,A型,天秤座,社会学,主持人,上海笑果文化传媒有限公司,李诞的新浪微博,《吐槽大会》《奇葩说》,张绍刚 马东,https://image.ijq.tv/202002/07/10-26-26-98-1.png,images/10-26-26-98-1.png,李诞,https://www.ijq.tv/mingxing/15810422987425.html,https://image.ijq.tv/202002/07/10-26-26-98-1.png
