中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
胡琨,Ben,"琨琨,琨崽,琨哥",汉族,内地,1984-11-17,江西南昌,181CM,72KG,O型,天蝎座,北京电影学院,"演员,模特",,胡琨的新浪微博,《儿女的战争》《玻璃鞋》《花间提壶方大厨》,搭档雷牧 搭档蒋佳恩,https://image.ijq.tv/201705/30/15-22-20-24-10.jpg,images/15-22-20-24-10.jpg,胡琨,https://www.ijq.tv/mingxing/14961289304316.html,https://image.ijq.tv/201705/30/15-22-20-24-10.jpg
曲艺,,曲艺艺,汉族,内地,1988-3-25,,180CM,70KG,O型,白羊座,北京电影学院,演员,,曲艺的新浪微博,《金水桥边》《你好，TOOTH》,搭档种丹妮,https://image.ijq.tv/201705/28/16-52-19-99-10.jpg,images/16-52-19-99-10.jpg,曲艺,https://www.ijq.tv/mingxing/14959615334314.html,https://image.ijq.tv/201705/28/16-52-19-99-10.jpg
赵晓苏,xiaosu Zhao,,汉族,内地,1986-4-29,北京,179CM,65KG,,金牛座,中央戏剧学院,演员,北京完美建信影视文化有限公司,赵晓苏的新浪微博,《灵魂摆渡3》《我爱男保姆》,搭档肖茵 搭档于毅,https://image.ijq.tv/201705/28/15-30-23-25-10.jpg,images/15-30-23-25-10.jpg,赵晓苏,https://www.ijq.tv/mingxing/14959566174313.html,https://image.ijq.tv/201705/28/15-30-23-25-10.jpg
于翔,max,,汉族,内地,1992-3-26,湖南省长沙市,180CM,67KG,A型,白羊座,湖南大众传媒职业技术学院,演员,,于翔的新浪微博,《一起同过窗》《摩登女婿》《新神探联盟》,,https://image.ijq.tv/201705/27/16-02-04-96-19.png,images/16-02-04-96-19.png,于翔,https://www.ijq.tv/mingxing/14958721034312.html,https://image.ijq.tv/201705/27/16-02-04-96-19.png
侯伊荻,HOUYIDI,,汉族,内地,1993-7-24,北京,172CM,54KG,B型,巨蟹座,中央戏剧学院表演系,演员,,侯伊荻的新浪微博,《北京爱情故事》《靓丽主播》,,https://image.ijq.tv/201705/27/14-34-41-22-26.jpg,images/14-34-41-22-26.jpg,侯伊荻,https://www.ijq.tv/mingxing/14958523864311.html,https://image.ijq.tv/201705/27/14-34-41-22-26.jpg
陈婧旸,Ohana,多多,,内地,2002-3-3,北京,163CM,43KG,A型,双鱼座,景山学校,"演员,歌手",,陈婧旸的新浪微博,《三妹》《海上牧云记》《继父回家》,陶红,https://image.ijq.tv/201705/27/10-17-09-62-26.jpg,images/10-17-09-62-26.jpg,陈婧旸,https://www.ijq.tv/mingxing/14958501714310.html,https://image.ijq.tv/201705/27/10-17-09-62-26.jpg
周帅,,,汉族,内地,1989-1-7,江苏徐州,184CM,75KG,O型,魔羯座,中央戏剧学院,演员,华录百纳·骏羿工作室,周帅的新浪微博,《春风十里不如你》,张一山,https://image.ijq.tv/201705/26/14-19-50-41-19.png,images/14-19-50-41-19.png,周帅,https://www.ijq.tv/mingxing/14957795834309.html,https://image.ijq.tv/201705/26/14-19-50-41-19.png
孙伟豪,,,汉族,内地,1992-1-3,北京,178CM,68KG,A型,魔羯座,深圳大学表演系,演员,北京东海麒麟文化传播有限公司,孙伟豪的新浪微博,《半路父子》《老炮儿》《春风十里不如你》,张一山,https://image.ijq.tv/201705/26/11-03-43-41-19.png,images/11-03-43-41-19.png,孙伟豪,https://www.ijq.tv/mingxing/14957678004308.html,https://image.ijq.tv/201705/26/11-03-43-41-19.png
许薇,,许可一,汉族,内地,4-27,哈尔滨,165CM,44KG,A型,金牛座,中央戏剧学院,"演员,模特",天润丰合影视传媒有限公司,许薇的新浪微博,《深夜食堂》《男得有爱》《大寒》《夜莺之旅》,,https://image.ijq.tv/201705/26/09-59-35-81-26.jpg,images/09-59-35-81-26.jpg,许薇,https://www.ijq.tv/mingxing/14957623794307.html,https://image.ijq.tv/201705/26/09-59-35-81-26.jpg
杨玥,,,汉族,内地,10-11,湖南常德,166CM,45KG,A型,天秤座,四川师范大学,演员,,杨玥的新浪微博,《春风十里不如你》《麻衣神相》《外星女生柴小七》,周冬雨 张一山,https://image.ijq.tv/201705/25/14-41-44-34-26.jpg,images/14-41-44-34-26.jpg,杨玥,https://www.ijq.tv/mingxing/14956933874306.html,https://image.ijq.tv/201705/25/14-41-44-34-26.jpg
