中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
刘铠漩,,"刘铠,铠漩",汉族,内地,1991-8-7,河北沧州,177CM,65KG,O型,狮子座,中央音乐学院,演员,,刘铠漩的新浪微博,《红流》《刀尖上的搏杀》,罗晋 程煜,https://image.ijq.tv/201908/14/16-05-02-51-46.jpg,images/16-05-02-51-46.jpg,刘铠漩,https://www.ijq.tv/mingxing/15657698446219.html,https://image.ijq.tv/201908/14/16-05-02-51-46.jpg
李允傲,Li YunAo,,汉族,内地,1992-1-12,山东菏泽,175CM,80KG,,水瓶座,上海戏剧学院,演员,,李允傲的新浪微博,《绝境铸剑》《谈判官》《亲爱的翻译官》《我的健身教练》《大夏宝藏》《漂亮的李慧珍》《为了你我愿意热爱整个世界》,杨幂 黄轩 李东学 汤晶媚,https://image.ijq.tv/201908/14/16-03-57-23-47.png,images/16-03-57-23-47.png,李允傲,https://www.ijq.tv/mingxing/15657681786218.html,https://image.ijq.tv/201908/14/16-03-57-23-47.png
刘明瓒,,,汉族,内地,,,176CM,65KG,,白羊座,中央戏剧学院,演员,,刘明瓒的新浪微博,《绝境铸剑》《回家的路有多远》《心肝宝贝》《美人季》《拐个皇帝回现代》,侯长荣 安戈 马仑 高一玮,https://image.ijq.tv/201908/14/15-29-00-55-47.png,images/15-29-00-55-47.png,刘明瓒,https://www.ijq.tv/mingxing/15657677046217.html,https://image.ijq.tv/201908/14/15-29-00-55-47.png
马仑,,,汉族,内地,1963-2-26,北京,175CM,65KG,,双鱼座,北京电影学院,演员,金英马影视,马仑的新浪微博,《昙花梦》《少帅》《绝境铸剑》《特赦1959》《双清别墅1949》,高一玮 刘明瓒 李沁,https://image.ijq.tv/201908/14/14-58-47-88-47.png,images/14-58-47-88-47.png,马仑,https://www.ijq.tv/mingxing/15657655186216.html,https://image.ijq.tv/201908/14/14-58-47-88-47.png
潘雨辰,,潘雨晨,汉族,内地,1978-6-9,丹东,166CM,51KG,B型,双子座,辽宁省艺术学校|北京电影学院,演员,,潘雨辰的新浪微博,《绝境铸剑》《彝海结盟》《突围突围》《女检察官》,刘之冰 侯勇 张桐 彭冠英,https://image.ijq.tv/201908/14/11-37-17-14-47.png,images/11-37-17-14-47.png,潘雨辰,https://www.ijq.tv/mingxing/15657537926214.html,https://image.ijq.tv/201908/14/11-37-17-14-47.png
贾宏伟,,,汉族,内地,1978-11-26,大连,180CM,72KG,,射手座,中央戏剧学院,演员,花火乐娱(天津)文化经纪有限公司,贾宏伟的新浪微博,《火蓝刀锋》《最美的青春》《勇敢的心2》《霍元甲》《绝境铸剑》《大秧歌》,杨志刚 张子健 寇世勋,https://image.ijq.tv/201908/14/11-37-17-14-47.png,images/11-37-17-14-47.png,贾宏伟,https://www.ijq.tv/mingxing/15657537926215.html,https://image.ijq.tv/201908/14/11-37-17-14-47.png
马现楷,,马楷,汉族,内地,1985-4-15,河北邯郸,173CM,60KG,,白羊座,北京贝德福文化传媒有限公司,演员,电子科技大学,马现楷的新浪微博,《时空侠》《话西游之爱你一万年》《一剑横空》《来势凶猛》《新亮剑》,杜维瀚 孙瑜 王双宝 孙佳,https://image.ijq.tv/201908/14/10-45-51-75-47.png,images/10-45-51-75-47.png,马现楷,https://www.ijq.tv/mingxing/15657507216213.html,https://image.ijq.tv/201908/14/10-45-51-75-47.png
赵刚,,,汉族,内地,7-31,宜昌,178CM,75KG,,狮子座,,演员,上海文化宫艺术团,赵刚的新浪微博,《时空侠》《老子传奇》《花非花雾非雾》《另一种灿烂生活》《带刀女捕快》,杜维瀚 孙瑜 王双宝 孙佳 李洋,https://image.ijq.tv/201908/14/10-14-21-73-47.png,images/10-14-21-73-47.png,赵刚,https://www.ijq.tv/mingxing/15657488286212.html,https://image.ijq.tv/201908/14/10-14-21-73-47.png
陈青晔,Austen Chan,,汉族,内地,1992-1-29,浙江,175CM,65KG,,水瓶座,浙江大学中文系,"演员,主持人",,,《橙红年代》《我叫黄国胜》《时空侠》《龙虾刑警》《审判者》,王千源 袁姗姗,https://image.ijq.tv/201908/14/09-30-20-49-47.png,images/09-30-20-49-47.png,陈青晔,https://www.ijq.tv/mingxing/15657461766211.html,https://image.ijq.tv/201908/14/09-30-20-49-47.png
李洋,,,汉族,内地,1965,广州,175CM,70KG,,双子座,,演员,叁贵国际传媒,,《天堂马帮》《马兰谣》《时空侠》《甄嬛传之鸾凤还巢》,杜维瀚 孙瑜,https://image.ijq.tv/201908/13/18-15-08-93-47.png,images/18-15-08-93-47.png,李洋,https://www.ijq.tv/mingxing/15656912786210.html,https://image.ijq.tv/201908/13/18-15-08-93-47.png
陈景炀,,,汉族,内地,1998-6-3,台湾,180CM,65KG,,双子座,国立台湾艺术大学,演员,,陈景炀的新浪微博,《让全世界都听见》《倩狐之妖乱青华》《倩狐之京卫怪谈》《同乐会》《萌妻食神》,利晴天 黄政皓 张新成 林允,https://image.ijq.tv/201908/13/15-56-22-69-47.png,images/15-56-22-69-47.png,陈景炀,https://www.ijq.tv/mingxing/15656829556209.html,https://image.ijq.tv/201908/13/15-56-22-69-47.png
岳野,,,汉族,内地,12-6,九江,176CM,65KG,,射手座,中央戏剧学院,演员,上海玛旎莱文化传播有限公司,岳野的新浪微博,《槟榔血》《你迟到的许多年》《村子里的超跑》《糯米盒饭秀》,黄晓明 殷桃 秦海璐 曹炳琨,https://image.ijq.tv/201908/13/15-05-49-77-47.png,images/15-05-49-77-47.png,岳野,https://www.ijq.tv/mingxing/15656798546208.html,https://image.ijq.tv/201908/13/15-05-49-77-47.png
谭峰,,,汉族,内地,11-3,北京,177CM,70KG,,天蝎座,北京电影学院,演员,,谭峰的新浪微博,《咱们相爱吧》,张静初 张歆艺 秦岚 袁弘,https://image.ijq.tv/201908/13/14-30-59-13-46.jpg,images/14-30-59-13-46.jpg,谭峰,https://www.ijq.tv/mingxing/15656778536205.html,https://image.ijq.tv/201908/13/14-30-59-13-46.jpg
黄政皓,,,汉族,内地,1988-11-4,宜兰,188CM,70KG,,天蝎座,,"演员,模特",,黄政皓的新浪微博,《两个爸爸》《山海经之山河图》《爱情图鉴之暗恋》《荒野巨獸》,戴祖雄 陈景炀 廖梦妍,https://image.ijq.tv/201908/13/14-37-26-19-47.png,images/14-37-26-19-47.png,黄政皓,https://www.ijq.tv/mingxing/15656775816206.html,https://image.ijq.tv/201908/13/14-37-26-19-47.png
