中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
蒋雯丽,,,汉族,内地,1969-6-20,安徽省蚌埠市蚌山区,169CM,54KG,A型,双子座,北京电影学院表演系本科,演员,北京星美千易演艺经纪有限公司,《牵手》《女帅男兵》《立春》《金婚》《幸福来敲门》《女人帮》,张国立 郭晓东,https://image.ijq.tv/201503/17/10-10-24-31-14.jpg,images/10-10-24-31-14.jpg,蒋雯丽,https://www.ijq.tv/mingxing/294.html,https://image.ijq.tv/201503/17/10-10-24-31-14.jpg,
胡可,,,汉族,内地,1975-12-1,嘉兴,164CM,45KG,A型,射手座,中国传媒大学,"演员,主持人",华谊兄弟传媒集团,《聊斋新编》《舰在亚丁湾》《小神龙俱乐部》,闫妮,https://image.ijq.tv/201501/22/15-09-41-54-10.jpg,images/15-09-41-54-10.jpg,胡可,https://www.ijq.tv/mingxing/293.html,https://image.ijq.tv/201501/22/15-09-41-54-10.jpg,
张永刚,,黑子,汉族,内地,1971-5-11,辽宁,179CM,78KG,O型,金牛座,上海戏剧学院,演员,北京完美建信影视文化有限公司,《西游记后传》《红娘子》《打狗棍》,甄子丹,https://image.ijq.tv/201408/28/15-46-35-84-8.jpg,images/15-46-35-84-8.jpg,张永刚,https://www.ijq.tv/mingxing/292.html,https://image.ijq.tv/201408/28/15-46-35-84-8.jpg,
赵奕欢,Chloe,"萌欢,欢欢,欢仔,教主",满族,内地,1987-10-29,吉林,163CM,42KG,B型,天蝎座,上海师范大学,"演员,歌手,主持人",北京天浩盛世文化传播有限公司,《青春期》《女人公敌》《上位》《校花诡异事件》,王梦婷,https://image.ijq.tv/201704/19/16-49-13-88-19.png,images/16-49-13-88-19.png,赵奕欢,https://www.ijq.tv/mingxing/289.html,https://image.ijq.tv/201704/19/16-49-13-88-19.png,赵奕欢的新浪微博
王梦婷,,,汉族,内地,1990-2-21,徐州,172CM,47KG,A型,双鱼座,中央戏剧学院,演员,,《青春期》《女人公敌》,阿悄,https://image.ijq.tv/201408/25/14-57-10-75-8.jpg,images/14-57-10-75-8.jpg,王梦婷,https://www.ijq.tv/mingxing/288.html,https://image.ijq.tv/201408/25/14-57-10-75-8.jpg,王梦婷的新浪微博
阿悄,,文艺莎,汉族,内地,1990-4-10,邵阳市,166CM,47KG,B型,白羊座,华中师范大学,歌手,极韵文化gogomusic,《陪我去流浪》《红装》《犯贱》《埋葬冬天》,柳岩,https://image.ijq.tv/201408/25/14-17-58-48-8.jpg,images/14-17-58-48-8.jpg,阿悄,https://www.ijq.tv/mingxing/287.html,https://image.ijq.tv/201408/25/14-17-58-48-8.jpg,阿悄的新浪微博
张辛苑,,,汉族,内地,1988-12-5,武汉,170CM,47KG,O型,射手座,中央戏剧学院,"演员,模特",,《名侦探狄仁杰》,陈柏霖,https://image.ijq.tv/201704/02/11-52-47-11-26.jpg,images/11-52-47-11-26.jpg,张辛苑,https://www.ijq.tv/mingxing/286.html,https://image.ijq.tv/201704/02/11-52-47-11-26.jpg,张辛苑的新浪微博
衣珊,,,汉族,内地,12-13,山东,170CM,49KG,B型,射手座,中央戏剧学院,演员,,《香草美人》《上阵父子兵》,,https://image.ijq.tv/201408/23/16-18-08-47-11.jpg,images/16-18-08-47-11.jpg,衣珊,https://www.ijq.tv/mingxing/283.html,https://image.ijq.tv/201408/23/16-18-08-47-11.jpg,衣珊的新浪微博
张檬,Lemon,"檬檬,檬哥",汉族,内地,1988-12-29,郑州市,165CM,48KG,A型,魔羯座,北京电影学院,"演员,歌手",浙江华策影视股份有限公司,《碧血书香梦》《鹿鼎记》,闫妮 景甜,https://image.ijq.tv/201501/29/11-43-29-88-1.jpg,images/11-43-29-88-1.jpg,张檬,https://www.ijq.tv/mingxing/284.html,https://image.ijq.tv/201501/29/11-43-29-88-1.jpg,
毛晓彤,Rachel Momo,"晓彤,彤宝,彤儿,毛毛",汉族,内地,1988-2-16,天津,165CM,45KG,O型,水瓶座,中央戏剧学院,演员,北京儒楷文化传播有限公司,《天涯明月刀》《神雕侠侣》《甄嬛传》《乌鸦嘴妙女郎》《大汉情缘之云中歌》,戚薇 男友陈翔,https://www.ijq.tv/file/upload/202009/26/11-04-42-23-1.png,images/11-04-42-23-1.png,毛晓彤,https://www.ijq.tv/mingxing/281.html,https://www.ijq.tv/file/upload/202009/26/11-04-42-23-1.png,
王霏霏,Fei,페이,汉族,内地,1987-4-27,海口,165CM,47KG,B型,金牛座,韩国首尔艺术大学,"演员,歌手",JYP Entertainment,《GoodByeBaby》《BadGirlGoodGirl》《Hush》,王子文,https://image.ijq.tv/201612/05/13-53-42-51-35.jpg,images/13-53-42-51-35.jpg,王霏霏,https://www.ijq.tv/mingxing/280.html,https://image.ijq.tv/201612/05/13-53-42-51-35.jpg,王霏霏的新浪微博
贾乃亮,Smile,亮亮,汉族,内地,1984-4-12,哈尔滨,181CM,62KG,A型,白羊座,北京电影学院表演系本科2001级,演员,华谊兄弟,《奇妙的时光之旅》《煮妇神探》《偏偏喜欢你》《最美的时光》《离婚前规则》《当婆婆遇上妈》,妻子李小璐 女儿甜馨,https://image.ijq.tv/201408/23/11-27-41-76-12.jpg,images/11-27-41-76-12.jpg,贾乃亮,https://www.ijq.tv/mingxing/279.html,https://image.ijq.tv/201408/23/11-27-41-76-12.jpg,
李晟,Li Sheng,"晟晟,晟妞,晟爷",汉族,内地,1985-9-10,邵阳市,162CM,48KG,A型,处女座,湖南工业大学,"演员,歌手",上海创翊文化传播有限公司,《绯闻女友》《班淑传奇》《怪侠欧阳德》,景甜,https://image.ijq.tv/201503/19/12-57-44-50-14.jpg,images/12-57-44-50-14.jpg,李晟,https://www.ijq.tv/mingxing/278.html,https://image.ijq.tv/201503/19/12-57-44-50-14.jpg,
孙耀琦,YoKi,"小金锁,小太阳,",汉族,内地,1987-3-29,淄博市,172CM,53KG,AB型,白羊座,湖南大学,"演员,主持人",上海创翊文化传播有限公司,《新还珠格格》《太平公主秘史》《盗墓笔记》,袁姗姗,https://image.ijq.tv/201703/11/11-13-39-43-19.png,images/11-13-39-43-19.png,孙耀琦,https://www.ijq.tv/mingxing/276.html,https://image.ijq.tv/201703/11/11-13-39-43-19.png,孙耀琦的新浪微博
贾景晖,Marc,,汉族,内地,1982-11-26,上海市,181CM,65KG,B型,射手座,上海戏剧学院,演员,上海耀客文化传媒有限公司,《离婚律师》《敢爱》《女不强大天不容》,张萌 老婆杨壹童,https://image.ijq.tv/201605/14/11-13-58-78-19.png,images/11-13-58-78-19.png,贾景晖,https://www.ijq.tv/mingxing/274.html,https://image.ijq.tv/201605/14/11-13-58-78-19.png,贾景晖的新浪微博
韩雪,Cecilia,雪小宁,汉族,内地,1983-1-11,江苏省苏州市姑苏区,170CM,48KG,B型,水瓶座,上海戏剧学院2001级表演系,演员,韩雪工作室,《淑女之家》《乱世丽人行》《聊斋新编》《醉玲珑》《逆袭之星途璀璨》,金星,https://image.ijq.tv/201706/02/10-30-41-30-19.png,images/10-30-41-30-19.png,韩雪,https://www.ijq.tv/mingxing/275.html,https://image.ijq.tv/201706/02/10-30-41-30-19.png,韩雪的新浪微博
张萌,Alina,大萌子,汉族,内地,1981-3-6,天津市,171CM,46KG,B型,双鱼座,澳大利亚悉尼新南威尔士大学,"演员,歌手,主持人",上海耀客文化传媒有限公司,《幻城》《小丈夫》《三个奶爸》《老爸老妈兄弟姐妹》《离婚律师》《敢爱》,,https://image.ijq.tv/201604/26/15-45-43-75-22.jpg,images/15-45-43-75-22.jpg,张萌,https://www.ijq.tv/mingxing/272.html,https://image.ijq.tv/201604/26/15-45-43-75-22.jpg,
汪涵,Wang Han,汪建刚,汉族,内地,1974-7-4,江苏苏州,174CM,56KG,O型,双子座,湖南广播电视学校,"演员,主持人",,《天天向上》,,https://image.ijq.tv/201408/22/16-54-09-81-12.jpg,images/16-54-09-81-12.jpg,汪涵,https://www.ijq.tv/mingxing/271.html,https://image.ijq.tv/201408/22/16-54-09-81-12.jpg,
霍思燕,Huo Siyan,霍思彦,汉族,内地,1980-10-23,北京市海淀区,166CM,43KG,A型,天秤座,北京电影学院,演员,华谊兄弟,《我的媳妇是女王》《孽缘》《少年天子》《我要成名》,杜江,https://image.ijq.tv/201502/15/23-07-06-68-1.jpg,images/23-07-06-68-1.jpg,霍思燕,https://www.ijq.tv/mingxing/273.html,https://image.ijq.tv/201502/15/23-07-06-68-1.jpg,霍思燕的新浪微博
张梓琳,Eilin,张茵,汉族,内地,1984-3-22,河北石家庄,182CM,57KG,B型,白羊座,北京科技大学经济管理学院,"演员,主持人,模特",杭州新丝路模特经纪有限公司,《硬汉2》《西游记之大闹天宫》《不二神探》《爱情麻辣烫之情定终身》《我的更早女友》,文章,https://image.ijq.tv/201408/22/16-02-55-53-8.jpg,images/16-02-55-53-8.jpg,张梓琳,https://www.ijq.tv/mingxing/270.html,https://image.ijq.tv/201408/22/16-02-55-53-8.jpg,张梓琳的新浪微博
