中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
于白水,,于沛,汉族,内地,1989-11-14,吉林,173CM,60KG,A型,天蝎座,同济大学|澳大利亚国立大学,演员,北京万合天宜影视文化有限公司,于白水的新浪微博,《时空侠》《报告老板之豪言壮旅》《学姐知道第二季》,叫兽易小星 白客 老湿,https://image.ijq.tv/201811/23/15-13-06-65-43.jpg,images/15-13-06-65-43.jpg,于白水,https://www.ijq.tv/mingxing/15429571645561.html,https://image.ijq.tv/201811/23/15-13-06-65-43.jpg
刘木子,Maggie,小朵,汉族,内地,1992-8-22,湖南,170CM,45KG,O型,狮子座,深圳大学,"演员,歌手,主持人",暴走漫画,刘木子的新浪微博,《咏春》《玉生烟》《宫商角徵羽》《暴走吧bilibili》《青蛇》,,https://image.ijq.tv/201811/22/11-03-28-82-26.jpg,images/11-03-28-82-26.jpg,刘木子,https://www.ijq.tv/mingxing/15428557735559.html,https://image.ijq.tv/201811/22/11-03-28-82-26.jpg
木子洋,KWIN,,汉族,内地,1994-4-21,北京,188CM,68KG,AB型,金牛座,北京服装学院,歌手,北京坤音娱乐经纪有限公司,木子洋的新浪微博,《偶像练习生》《如果你能感同我的身受》,,https://image.ijq.tv/201811/22/10-39-44-22-10.jpg,images/10-39-44-22-10.jpg,木子洋,https://www.ijq.tv/mingxing/15428543545558.html,https://image.ijq.tv/201811/22/10-39-44-22-10.jpg
郭其城,,,汉族,内地,9-18,,178CM,65KG,A型,处女座,中国传媒大学,演员,绝色经纪,郭其城的新浪微博,《你和我的倾城时光 》,,https://image.ijq.tv/201811/21/15-32-04-16-26.jpg,images/15-32-04-16-26.jpg,郭其城,https://www.ijq.tv/mingxing/15427855025557.html,https://image.ijq.tv/201811/21/15-32-04-16-26.jpg
黄甫桀,Aken,"黄甫,小桀",汉族,内地,1998-8-25,浙江省温州市,184CM,64KG,O型,处女座,上海戏剧学院,演员,,黄甫桀的新浪微博,《毕业季》《镇魂街》《暗恋橘生淮南》,,https://image.ijq.tv/201811/21/14-09-10-13-10.jpg,images/14-09-10-13-10.jpg,黄甫桀,https://www.ijq.tv/mingxing/15427805415556.html,https://image.ijq.tv/201811/21/14-09-10-13-10.jpg
宋昕冉,Song XinRan,冉冉 小太阳,汉族,内地,1997-7-8,山东省济南市,166CM,45KG,O型,巨蟹座,,"演员,歌手",上海丝芭文化传媒有限公司,宋昕冉的新浪微博,《新年这一刻》《梦想岛》《夏日再会》,,https://image.ijq.tv/201811/21/11-40-44-77-26.jpg,images/11-40-44-77-26.jpg,宋昕冉,https://www.ijq.tv/mingxing/15427715835555.html,https://image.ijq.tv/201811/21/11-40-44-77-26.jpg
花钰杰,,,汉族,内地,,,168CM,49KG,A型,双子座,北京电影学院,演员,,花钰杰的新浪微博,《亲爱的孩子》《飞越网戒所》《狄仁杰之蚩尤血藤》,,https://image.ijq.tv/201811/20/13-38-31-61-40.jpg,images/13-38-31-61-40.jpg,花钰杰,https://www.ijq.tv/mingxing/15426822335552.html,https://image.ijq.tv/201811/20/13-38-31-61-40.jpg
吴春怡,,,汉族,内地,4-30,江西,172CM,48KG,O型,巨蟹座,湖南师范大学,演员,,吴春怡的新浪微博,《乒临城下》,,https://image.ijq.tv/201811/20/10-38-51-70-10.jpg,images/10-38-51-70-10.jpg,吴春怡,https://www.ijq.tv/mingxing/15426815065551.html,https://image.ijq.tv/201811/20/10-38-51-70-10.jpg
曹琦,,,汉族,内地,12-12,,167CM,45KG,A型,射手座,沈阳音乐学院音乐剧专业,演员,,曹琦的新浪微博,《烟花易冷》,,https://image.ijq.tv/201811/20/10-06-50-82-26.jpg,images/10-06-50-82-26.jpg,曹琦,https://www.ijq.tv/mingxing/15426795875550.html,https://image.ijq.tv/201811/20/10-06-50-82-26.jpg
李唯枫,Coke Li,可乐,汉族,内地,1988-11-24,台湾宜兰,184CM,70KG,,,台北市立体育学院,"演员,歌手",大声音乐,李唯枫的新浪微博,《好不好》《YouDon'tKnow》,李程彬 李嘉格 崔博,https://image.ijq.tv/201811/19/15-49-35-96-43.jpg,images/15-49-35-96-43.jpg,李唯枫,https://www.ijq.tv/mingxing/15426132595549.html,https://image.ijq.tv/201811/19/15-49-35-96-43.jpg
