中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
花昆,,"花騉,花琨,花骏纶",汉族,内地,1-24,山东省济南市,179CM,66KG,B型,水瓶座,中央戏剧学院,演员,柠檬时代（北京）文化传播有限公司,花昆的新浪微博,《辛亥元勋》《鸡毛飞上天》《古城小女人》《一次性爱上2》《半音》,张译 殷桃,https://image.ijq.tv/201702/17/15-15-28-13-26.jpg,images/15-15-28-13-26.jpg,花昆,https://www.ijq.tv/mingxing/14873157024126.html,https://image.ijq.tv/201702/17/15-15-28-13-26.jpg
李健,Li Jian,大亮,汉族,内地,1974-9-23,黑龙江省哈尔滨市,175CM,64KG,B型,天秤座,清华大学（电子工程系）,歌手,北京完美坚持工作室（李健工作室）,李健的新浪微博,《传奇》《风吹麦浪》《贝加尔湖畔》《向往》,萧敬腾 林俊杰 林志炫,https://image.ijq.tv/201702/16/16-23-02-43-34.jpg,images/16-23-02-43-34.jpg,李健,https://www.ijq.tv/mingxing/14872333464125.html,https://image.ijq.tv/201702/16/16-23-02-43-34.jpg
李嘉雯,,,汉族,内地,1996-4-10,吉林,167CM,45KG,AB型,白羊座,中国戏曲学院,演员,北京嘉艺华创影视制作有限公司,李嘉雯的新浪微博,《进击吧闪电》《再见美人鱼》《萌妃驾到》,蒋劲夫 冯文娟,https://image.ijq.tv/201702/16/14-41-10-74-26.jpg,images/14-41-10-74-26.jpg,李嘉雯,https://www.ijq.tv/mingxing/14872272184124.html,https://image.ijq.tv/201702/16/14-41-10-74-26.jpg
吴昊泽,Ze Wu Hao,,汉族,内地,1987-3-24,江苏省徐州市,181CM,65KG,,白羊座,中央戏剧学院05级表演本科,演员,,吴昊泽的新浪微博,《笨蛋爱上两个你》《彩虹甜心》《铠甲勇士刑天》《千金归来》,蒋劲夫 胡宇崴,https://image.ijq.tv/201702/16/13-46-01-22-26.jpg,images/13-46-01-22-26.jpg,吴昊泽,https://www.ijq.tv/mingxing/14872239244123.html,https://image.ijq.tv/201702/16/13-46-01-22-26.jpg
刘亦宸,Myron,羊羊,汉族,内地,1991-10-7,,,,A型,天秤座,,演员,光线传媒,刘亦宸的新浪微博,《识汝不识丁》《愉此一生》,卢卓,https://image.ijq.tv/201702/15/16-30-55-82-34.jpg,images/16-30-55-82-34.jpg,刘亦宸,https://www.ijq.tv/mingxing/14871474274122.html,https://image.ijq.tv/201702/15/16-30-55-82-34.jpg
罗米,mimi,,汉族,内地,1993-10-20,四川,166CM,44KG,AB型,天秤座,复旦大学上海视觉艺术学院,演员,新圣堂影业,罗米的新浪微博,《活色生香》《大唐荣耀》,于小伟 景甜,https://image.ijq.tv/201702/15/14-21-38-71-10.jpg,images/14-21-38-71-10.jpg,罗米,https://www.ijq.tv/mingxing/14871387934121.html,https://image.ijq.tv/201702/15/14-21-38-71-10.jpg
吾木提·吐尔逊,Umut,"希望,提提,小胖提,花仙子,梵高提",维吾尔族,内地,1999-7-7,新疆乌鲁木齐,180CM,,A型,狮子座,,歌手,海尧（上海）影视传媒有限公司,吾木提·吐尔逊的新浪微博,《NewWorld》《ForYou》,蔡徐坤 彦希 左其铂 赵品霖,https://image.ijq.tv/201702/14/16-50-38-36-34.jpg,images/16-50-38-36-34.jpg,吾木提·吐尔逊,https://www.ijq.tv/mingxing/14870593224119.html,https://image.ijq.tv/201702/14/16-50-38-36-34.jpg
高雨儿,,"高雨伞,小飞机",汉族,内地,1993-9-24,安徽省,165CM,45KG,A型,天秤座,中央戏剧学院,演员,欢娱影视,高雨儿的新浪微博,《美人为馅》《美人制造》《云巅之上》《半妖倾城》,任嘉伦,https://image.ijq.tv/201702/13/15-39-30-24-26.jpg,images/15-39-30-24-26.jpg,高雨儿,https://www.ijq.tv/mingxing/14869715414117.html,https://image.ijq.tv/201702/13/15-39-30-24-26.jpg
吕昀峰,,"吕鋆峰,大峰",汉族,内地,1995-11-6,山东省潍坊市,181CM,65KG,A型,天蝎座,浙江传媒学院播音主持艺术专业（就读中）,演员,,吕昀峰的新浪微博,《刺客列传》《遥远的距离》,查杰 连晨翔,https://image.ijq.tv/201702/12/08-54-34-89-26.jpg,images/08-54-34-89-26.jpg,吕昀峰,https://www.ijq.tv/mingxing/14868608024114.html,https://image.ijq.tv/201702/12/08-54-34-89-26.jpg
赵东泽,dongze Zhao,,汉族,内地,1995-1-12,北京,178CM,64KG,O型,水瓶座,中央戏剧学院,演员,欢瑞世纪,赵东泽的新浪微博,《特战王妃》《大唐荣耀》,景甜 于小伟,https://image.ijq.tv/201702/11/14-57-26-40-10.jpg,images/14-57-26-40-10.jpg,赵东泽,https://www.ijq.tv/mingxing/14867956344113.html,https://image.ijq.tv/201702/11/14-57-26-40-10.jpg
利晴天,,晴天,汉族,内地,1988-11-26,台湾省台中市,181CM,65KG,A型,射手座,,"演员,模特",海滩娱乐,利晴天的新浪微博,《无憾青春》《同乐会》《给未知恋人的爱情短信》,宋威龙,https://image.ijq.tv/201702/10/15-43-06-38-26.jpg,images/15-43-06-38-26.jpg,利晴天,https://www.ijq.tv/mingxing/14867125544112.html,https://image.ijq.tv/201702/10/15-43-06-38-26.jpg
陈飞宇,Arthur,,汉族,内地,2000年4月9日,,179CM,60KG,A型,白羊座,美国泰伯学院,演员,,陈飞宇的新浪微博,《赵氏孤儿》,陈凯歌,https://image.ijq.tv/201702/10/11-52-49-41-26.jpg,images/11-52-49-41-26.jpg,陈飞宇,https://www.ijq.tv/mingxing/14866986654111.html,https://image.ijq.tv/201702/10/11-52-49-41-26.jpg
罗一航,Alan,,汉族,内地,1997-8-31,福建 南平,178CM,,A型,处女座,,演员,,罗一航的新浪微博,《烟袋斜街十号》《不寻常的另一半》,宫政,https://image.ijq.tv/201702/10/11-07-11-75-34.jpg,images/11-07-11-75-34.jpg,罗一航,https://www.ijq.tv/mingxing/14866958144110.html,https://image.ijq.tv/201702/10/11-07-11-75-34.jpg
宫政,Gzero,"政政店长,宫美人",汉族,内地,1997-04-14,辽宁丹东,181CM,,A型,金牛座,,演员,北京市金文色彩娱乐公司,宫政的新浪微博,《烟袋斜街10号》《青春最好时》《双面男模之桃花期》,罗一航,https://image.ijq.tv/201702/10/09-58-44-16-34.jpg,images/09-58-44-16-34.jpg,宫政,https://www.ijq.tv/mingxing/14866915194109.html,https://image.ijq.tv/201702/10/09-58-44-16-34.jpg
吕炸炸,,,汉族,内地,1992-1-23,,175CM,65KG,B型,水瓶座,北京现代音乐学院,"演员,歌手",撲度娱乐,吕炸炸的新浪微博,《求婚大作战》,张艺兴 陈都灵,https://image.ijq.tv/201702/07/13-35-12-59-26.jpg,images/13-35-12-59-26.jpg,吕炸炸,https://www.ijq.tv/mingxing/14864456854107.html,https://image.ijq.tv/201702/07/13-35-12-59-26.jpg
王子桀,,子桀,汉族,内地,1995-4-21,江苏,182CM,,A型,金牛座,南京艺术学院,"演员,主持人",,王子桀的新浪微博,《大牌对王牌》《微微一笑很倾城》《特工皇妃楚乔传》,刘宪华,https://image.ijq.tv/201702/07/13-34-16-97-34.jpg,images/13-34-16-97-34.jpg,王子桀,https://www.ijq.tv/mingxing/14864456284106.html,https://image.ijq.tv/201702/07/13-34-16-97-34.jpg
赵雷,,雷子,回族,内地,1986-7-20,北京,175CM,,A型,巨蟹座,,"歌手,其他",,赵雷的新浪微博,《南方姑娘》《成都》《画》《三十岁的女人》《少年锦时》《未给姐姐递出的信》,迪玛希 谭晶 张杰,https://image.ijq.tv/201702/07/09-22-50-27-34.jpg,images/09-22-50-27-34.jpg,赵雷,https://www.ijq.tv/mingxing/14864303494105.html,https://image.ijq.tv/201702/07/09-22-50-27-34.jpg
