中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
岳丽娜,,,汉族,内地,1974-4-17,河北省承德市,167CM,68KG,O型,金牛座,中央戏剧学院,演员,北京完美建信影视文化有限公司,岳丽娜的新浪微博,《打狗棍》《灵魂摆渡之风华绝代》《铁梨花》《娘道》,老公郭靖宇,https://image.ijq.tv/201711/14/15-11-16-10-10.jpg,images/15-11-16-10-10.jpg,岳丽娜,https://www.ijq.tv/mingxing/15106426134877.html,https://image.ijq.tv/201711/14/15-11-16-10-10.jpg
张芷然,,,汉族,内地,1995-2-21,浙江,168CM,45KG,B型,双鱼座,,演员,浙江华友文化创意有限公司,张芷然的新浪微博,《请赐我一双翅膀》,米热,https://image.ijq.tv/201711/14/14-49-28-14-26.jpg,images/14-49-28-14-26.jpg,张芷然,https://www.ijq.tv/mingxing/15106417324876.html,https://image.ijq.tv/201711/14/14-49-28-14-26.jpg
孙伊涵,,,汉族,内地,1998-4-16,湖南益阳,166CM,42KG,B型,白羊座,,"演员,模特",华谊兄弟时尚,孙伊涵的新浪微博,《我心雀跃》《乘风破浪》《西游记女儿国》,,https://image.ijq.tv/201711/14/14-41-28-71-26.jpg,images/14-41-28-71-26.jpg,孙伊涵,https://www.ijq.tv/mingxing/15106406974875.html,https://image.ijq.tv/201711/14/14-41-28-71-26.jpg
刘慧,,大慧儿,汉族,内地,1990-8-21,山东青岛,170CM,49KG,A型,狮子座,中央戏剧学院,演员,孟京辉戏剧工作室,刘慧的新浪微博,《东北往事之破马张飞》《莽荒纪》,搭档王鸥,https://image.ijq.tv/201711/13/11-37-25-69-10.jpg,images/11-37-25-69-10.jpg,刘慧,https://www.ijq.tv/mingxing/15105442304873.html,https://image.ijq.tv/201711/13/11-37-25-69-10.jpg
潘蕾亦,,,汉族,内地,,,167CM,45KG,AB型,双子座,,"演员,歌手",北京莱可文化传媒有限公司L.I.K.E组合成员,潘蕾亦的新浪微博,《惹上冷殿下》,孙艺宁,https://image.ijq.tv/201711/13/10-58-20-32-26.jpg,images/10-58-20-32-26.jpg,潘蕾亦,https://www.ijq.tv/mingxing/15105411214872.html,https://image.ijq.tv/201711/13/10-58-20-32-26.jpg
程慕轩,Hera,,,内地,1993-12-14,北京,165CM,40KG,A型,射手座,中国传媒大学,"演员,主持人",东方风行（北京）传媒文化有限公司,程慕轩的新浪微博,《危情旅行》,孙艺宁,https://image.ijq.tv/201711/13/10-43-21-16-26.jpg,images/10-43-21-16-26.jpg,程慕轩,https://www.ijq.tv/mingxing/15105400704871.html,https://image.ijq.tv/201711/13/10-43-21-16-26.jpg
葛洧吟,,,汉族,内地,1996-8-25,上海,176CM,45KG,A型,白羊座,上海电影学院,"演员,歌手",,葛洧吟的新浪微博,《一年级》,沈月,https://image.ijq.tv/201711/13/10-47-56-29-39.jpg,images/10-47-56-29-39.jpg,葛洧吟,https://www.ijq.tv/mingxing/15105400284874.html,https://image.ijq.tv/201711/13/10-47-56-29-39.jpg
马力,ELVIS,,汉族,内地,,北京,183CM,60KG,B型,处女座,,"演员,模特",,马力的新浪微博,《惹上冷殿下》,郭俊辰,https://image.ijq.tv/201711/11/14-56-44-90-26.jpg,images/14-56-44-90-26.jpg,马力,https://www.ijq.tv/mingxing/15103833844870.html,https://image.ijq.tv/201711/11/14-56-44-90-26.jpg
周茉,,,汉族,内地,1997-10-18,北京,167CM,42KG,AB型,天秤座,北京电影学院,演员,,周茉的新浪微博,《惹上冷殿下》,孙艺宁,https://image.ijq.tv/201711/11/14-43-42-25-26.jpg,images/14-43-42-25-26.jpg,周茉,https://www.ijq.tv/mingxing/15103826014869.html,https://image.ijq.tv/201711/11/14-43-42-25-26.jpg
江屹尘,,,汉族,内地,1993-2-6,贵州遵义,183CM,65KG,B型,白羊座,,演员,工夫真言影业,江屹尘的新浪微博,《太古神王》,沈月 谭泉,https://image.ijq.tv/201711/10/14-41-28-48-39.jpg,images/14-41-28-48-39.jpg,江屹尘,https://www.ijq.tv/mingxing/15102959054868.html,https://image.ijq.tv/201711/10/14-41-28-48-39.jpg
黄毅,,小波,汉族,内地,2003-9-5,上海市,164CM,47KG,O型,处女座,,演员,,黄毅的新浪微博,《思美人》《楚乔传》《军师联盟》《大唐荣耀》《笑傲江湖》,搭档王珞丹,https://image.ijq.tv/201711/10/11-42-17-64-10.jpg,images/11-42-17-64-10.jpg,黄毅,https://www.ijq.tv/mingxing/15102851524867.html,https://image.ijq.tv/201711/10/11-42-17-64-10.jpg
姜析源,,,汉族,内地,8-27,,168CM,48KG,O型,处女座,中央戏剧学院|中央音乐学院艺术管理专业,演员,,姜析源的新浪微博,《欢乐无双》《武媚娘传奇》《红髅》《急诊科医生》,搭档江珊,https://image.ijq.tv/201711/10/10-25-52-30-10.jpg,images/10-25-52-30-10.jpg,姜析源,https://www.ijq.tv/mingxing/15102807444866.html,https://image.ijq.tv/201711/10/10-25-52-30-10.jpg
胡小庭,,东方小庭,汉族,内地,1978-4-11,吉林,167CM,68KG,O型,白羊座,北京电影学院,演员,北京完美建信影视文化有限公司<sup>[8]</sup>,胡小庭的新浪微博,《武林外传》《勇敢的心》《灵魂摆渡2》《娘道》,搭档于毅,https://image.ijq.tv/201711/09/14-36-58-28-10.jpg,images/14-36-58-28-10.jpg,胡小庭,https://www.ijq.tv/mingxing/15102094084864.html,https://image.ijq.tv/201711/09/14-36-58-28-10.jpg
邵明明,,,汉族,内地,1997-10-25,上海,182CM,65KG,A型,白羊座,上海戏剧学院,"演员,歌手,主持人",工夫真言影业,邵明明的新浪微博,《萌族酷狗侦探》,沈月 谭泉,https://image.ijq.tv/201711/09/15-13-04-47-39.jpg,images/15-13-04-47-39.jpg,邵明明,https://www.ijq.tv/mingxing/15102087624865.html,https://image.ijq.tv/201711/09/15-13-04-47-39.jpg
谭湘君,Jjun,"君君,君姐",汉族,内地,1994-4-5,四川省达州市,164CM,43KG,O型,白羊座,西南财经大学,"演员,主持人,模特",优酷,谭湘君的新浪微博,《男神女神》《女神啾啾啾》《歌手是谁》,杜海涛,https://image.ijq.tv/201711/09/13-09-31-33-26.jpg,images/13-09-31-33-26.jpg,谭湘君,https://www.ijq.tv/mingxing/15102003964862.html,https://image.ijq.tv/201711/09/13-09-31-33-26.jpg
游乐儿,YOYO,,汉族,内地,1993-7-27,四川省乐山市,163CM,42KG,B型,狮子座,,"演员,主持人,模特",视界基业（北京）文化传播有限公司,游乐儿的新浪微博,《笔仙魔咒》,,https://image.ijq.tv/201711/09/13-43-27-31-26.jpg,images/13-43-27-31-26.jpg,游乐儿,https://www.ijq.tv/mingxing/15102001144863.html,https://image.ijq.tv/201711/09/13-43-27-31-26.jpg
王亮,,,汉族,内地,1993-2-1,辽宁省沈阳市,183CM,65KG,A型,双鱼座,中央戏剧学院,演员,艺嘉创星,王亮的新浪微博,《青春最好时》,小沈阳,https://image.ijq.tv/201711/08/16-11-26-44-39.jpg,images/16-11-26-44-39.jpg,王亮,https://www.ijq.tv/mingxing/15101286544861.html,https://image.ijq.tv/201711/08/16-11-26-44-39.jpg
文熙,,,汉族,内地,11-11,北京,182CM,72KG,AB型,天蝎座,中央戏剧学院,演员,,文熙的新浪微博,《不作不死不青春》,搭档赵毅,https://image.ijq.tv/201711/08/14-47-11-27-10.jpg,images/14-47-11-27-10.jpg,文熙,https://www.ijq.tv/mingxing/15101232334860.html,https://image.ijq.tv/201711/08/14-47-11-27-10.jpg
李逸男,,,汉族,内地,1996-10-15,陕西,183CM,65KG,B型,白羊座,中国传媒大学,演员,拉萨工夫真言影业有限公司,李逸男的新浪微博,《河神》,沈月 谭泉,https://image.ijq.tv/201711/08/14-21-37-87-39.jpg,images/14-21-37-87-39.jpg,李逸男,https://www.ijq.tv/mingxing/15101219914859.html,https://image.ijq.tv/201711/08/14-21-37-87-39.jpg
王小橙,,王学敏,汉族,内地,8-7,重庆,165CM,45KG,AB型,,,"演员,主持人",,王小橙的新浪微博,《如懿传》,周迅,https://image.ijq.tv/201809/06/10-55-56-83-26.jpg,images/10-55-56-83-26.jpg,王小橙,https://www.ijq.tv/mingxing/15101063114858.html,https://image.ijq.tv/201809/06/10-55-56-83-26.jpg
胡伊静,Heathe,胡樱子,汉族,内地,1994-2-27,江西,168CM,46KG,O型,双鱼座,中央戏剧学院表演系12级,演员,星辉翱翔,胡伊静的新浪微博,《欢乐颂》《美人香》《一路有你》,王子文,https://image.ijq.tv/201711/08/09-50-29-22-26.jpg,images/09-50-29-22-26.jpg,胡伊静,https://www.ijq.tv/mingxing/15101053454857.html,https://image.ijq.tv/201711/08/09-50-29-22-26.jpg
曲昱曈,qu yu tong,,汉族,内地,1994-6-23,中国吉林,170CM,47KG,B型,巨蟹座,北京电影学院,"演员,模特",慈文传媒集团,曲昱曈的新浪微博,《谁的青春不叛逆》《我的真芯男友》《他来了请闭眼》《从心出发》,搭档于朦胧,https://image.ijq.tv/201711/08/08-57-06-66-10.jpg,images/08-57-06-66-10.jpg,曲昱曈,https://www.ijq.tv/mingxing/15101026194856.html,https://image.ijq.tv/201711/08/08-57-06-66-10.jpg
马瑞雯,,,汉族,内地,1994-8-20,北京,176CM,45KG,A型,金牛座,北京电影学院,演员,工夫真言影业签约演员,马瑞雯的新浪微博,《快把我哥带走》,沈月 谭泉,https://image.ijq.tv/201711/07/15-29-59-50-39.jpg,images/15-29-59-50-39.jpg,马瑞雯,https://www.ijq.tv/mingxing/15100396084855.html,https://image.ijq.tv/201711/07/15-29-59-50-39.jpg
厉嘉琪,,小鱼子子,汉族,内地,1995-8-28,浙江杭州,158CM,40KG,B型,狮子座,,"演员,模特",,厉嘉琪的新浪微博,《流星花园》,沈月,https://image.ijq.tv/201711/07/15-07-19-29-26.jpg,images/15-07-19-29-26.jpg,厉嘉琪,https://www.ijq.tv/mingxing/15100369884854.html,https://image.ijq.tv/201711/07/15-07-19-29-26.jpg
廖语辰,UniChen,,汉族,内地,,澳门花地玛堂区,169CM,45KG,O型,双子座,中国传媒大学表演系,演员,,廖语辰的新浪微博,《玩偶》,宋伊人,https://image.ijq.tv/201711/07/14-51-13-97-26.jpg,images/14-51-13-97-26.jpg,廖语辰,https://www.ijq.tv/mingxing/15100367854852.html,https://image.ijq.tv/201711/07/14-51-13-97-26.jpg
谭泉,,,汉族,内地,1993-7-5,江西,182CM,65KG,A型,巨蟹座,中央戏剧学院,,拉萨工夫真言影业有限公司,谭泉的新浪微博,《快把我哥带走》,沈月,https://image.ijq.tv/201711/07/14-31-13-81-39.jpg,images/14-31-13-81-39.jpg,谭泉,https://www.ijq.tv/mingxing/15100362234853.html,https://image.ijq.tv/201711/07/14-31-13-81-39.jpg
张南,,,汉族,内地,1997-6-27,辽宁大连,164CM,49KG,O型,巨蟹座,,演员,欢娱影视,张南的新浪微博,《我与你的光年距离》《一见不倾心》,搭档黎一萱,https://image.ijq.tv/201711/06/13-55-35-73-10.jpg,images/13-55-35-73-10.jpg,张南,https://www.ijq.tv/mingxing/15099477284850.html,https://image.ijq.tv/201711/06/13-55-35-73-10.jpg
官鸿,,,,内地,1995-1-15,台湾,180CM,70KG,,,,演员,群星瑞智国际娱乐股份有限公司,官鸿的新浪微博,《别那么骄傲》,,https://image.ijq.tv/201711/06/11-39-54-82-26.jpg,images/11-39-54-82-26.jpg,官鸿,https://www.ijq.tv/mingxing/15099391594849.html,https://image.ijq.tv/201711/06/11-39-54-82-26.jpg
