中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
田亮,Tianliang,,汉族,内地,1979-8-27,重庆,171CM,61KG,A型,处女座,西安交通大学|清华大学,,盛夏星空传媒,《牛郎织女》《雷锋》《骄阳似我》,妻子叶一茜 女儿田雨橙 搭档林志颖,https://image.ijq.tv/201501/19/16-04-33-57-10.jpg,images/16-04-33-57-10.jpg,田亮,https://www.ijq.tv/mingxing/981.html,https://image.ijq.tv/201501/19/16-04-33-57-10.jpg,
刘蓓,,,汉族,内地,1967-11-13,北京市,170CM,50KG,B型,天蝎座,北京戏曲学校,演员,,《甲方乙方》《过把瘾》《红色康乃馨》《好大一个家》,恩师李文敏 好友吴秀波 合作冯小刚,https://image.ijq.tv/201501/19/13-54-14-53-14.jpg,images/13-54-14-53-14.jpg,刘蓓,https://www.ijq.tv/mingxing/980.html,https://image.ijq.tv/201501/19/13-54-14-53-14.jpg,
齐芳,,,汉族,内地,1984-2-4,山西太原,173CM,51KG,,,南昌工程学院,演员,,《大秦帝国》《来不及说我爱你》,丈夫钟汉良,https://image.ijq.tv/201501/17/22-12-32-24-1.jpg,images/22-12-32-24-1.jpg,齐芳,https://www.ijq.tv/mingxing/979.html,https://image.ijq.tv/201501/17/22-12-32-24-1.jpg,
王思懿,Brenda,王心静,汉族,内地,1972-12-11,台湾,170CM,50KG,B型,射手座,,演员,台湾新游戏时代制作有限公司艺员,《水浒传》《亲情暖我心》,搭档刘之冰 搭档柳云龙 搭档戴娇倩,https://image.ijq.tv/201501/17/16-01-22-43-8.jpg,images/16-01-22-43-8.jpg,王思懿,https://www.ijq.tv/mingxing/977.html,https://image.ijq.tv/201501/17/16-01-22-43-8.jpg,
柯佳嬿,Alice Ko,,汉族,内地,1985-1-10,台湾省台北市,165CM,45KG,O型,水瓶座,台湾实践应用外语学院,演员,泽东电影有限公司,《聊斋新编》《艋舺》《鸡排英雄》,,https://image.ijq.tv/201501/17/15-47-06-51-14.jpg,images/15-47-06-51-14.jpg,柯佳嬿,https://www.ijq.tv/mingxing/976.html,https://image.ijq.tv/201501/17/15-47-06-51-14.jpg,
曹骏,Neil,,汉族,内地,1988-2-9,上海,173CM,65KG,AB型,水瓶座,复旦大学上海视觉艺术学院,演员,北京电视艺术中心,《真命小和尚》《九岁县太爷》《宝莲灯》《魔幻手机》,搭档舒畅 搭档周扬,https://image.ijq.tv/201501/17/16-03-21-78-10.jpg,images/16-03-21-78-10.jpg,曹骏,https://www.ijq.tv/mingxing/978.html,https://image.ijq.tv/201501/17/16-03-21-78-10.jpg,曹骏的新浪微博
郭书瑶,,"小瑶,书瑶,瑶瑶",汉族,内地,1990-7-18,台湾,155CM,45KG,AB型,狮子座,松山工农电机科夜间部,"演员,主持人",种子音乐|成果经纪,《聊斋新编》,搭档庄凯勋 搭档杨千霈 搭档柯震东,https://image.ijq.tv/201501/17/15-36-30-15-14.jpg,images/15-36-30-15-14.jpg,郭书瑶,https://www.ijq.tv/mingxing/975.html,https://image.ijq.tv/201501/17/15-36-30-15-14.jpg,郭书瑶的新浪微博
方安娜,Anna,娜娜,汉族,内地,1988-5-19,江西省九江市,165CM,45KG,O型,金牛座,北京电影学院05级表演系,演员,北京鑫宝源影视投资有限公司,《新红楼梦》《青年医生》《别叫我兄弟》,搭档任重 搭档张铎,https://image.ijq.tv/201501/17/14-28-30-33-7.jpg,images/14-28-30-33-7.jpg,方安娜,https://www.ijq.tv/mingxing/974.html,https://image.ijq.tv/201501/17/14-28-30-33-7.jpg,方安娜的新浪微博
王新军,,,汉族,内地,1971-,甘肃兰州,182CM,82KG,A型,金牛座,北京电影学院表演系92级本科,演员,,《黄河绝恋》《无懈可击》《英雄无悔历史的天空》,秦海璐,https://image.ijq.tv/201911/28/10-26-55-62-46.jpg,images/10-26-55-62-46.jpg,王新军,https://www.ijq.tv/mingxing/973.html,https://image.ijq.tv/201911/28/10-26-55-62-46.jpg,
何翯,He He,,汉族,内地,1987-,辽宁省,168CM,48KG,AB型,双子座,中央戏剧学院,演员,,《二叔》《钢的琴》《地雷战》,,https://image.ijq.tv/201508/19/14-47-00-49-7.jpg,images/14-47-00-49-7.jpg,何翯,https://www.ijq.tv/mingxing/972.html,https://image.ijq.tv/201508/19/14-47-00-49-7.jpg,何翯的新浪微博
吴樾,Wu Yue,吴越,回族,内地,1976-4-25,河北张家口,174CM,75KG,B型,金牛座,中央戏剧学院表演系97级,演员,,《浪子燕青》《连城诀》《地雷战》,王婉娟 熊乃瑾 赵立新,https://image.ijq.tv/201501/17/16-51-36-64-10.jpg,images/16-51-36-64-10.jpg,吴樾,https://www.ijq.tv/mingxing/971.html,https://image.ijq.tv/201501/17/16-51-36-64-10.jpg,吴樾的新浪微博
武艺,Philip Wu/Philip  Lau,刘扬帆,汉族,内地,1990-11-3,香港九龙,172CM,60KG,B型,天蝎座,多伦多大学,"演员,主持人",天娱传媒有限公司,《爱情公寓4》《武艺的异想世界》《爱在那一天》,蔡卓妍,https://image.ijq.tv/201501/16/15-44-29-59-12.jpg,images/15-44-29-59-12.jpg,武艺,https://www.ijq.tv/mingxing/970.html,https://image.ijq.tv/201501/16/15-44-29-59-12.jpg,武艺的新浪微博
牟凤彬,,,汉族,内地,10-21,河南平顶山,180CM,65KG,O型,魔羯座,上海师范大学谢晋影视艺术学院,演员,,《还珠格格2》《家有喜妇》,,https://image.ijq.tv/201501/16/14-35-49-88-12.jpg,images/14-35-49-88-12.jpg,牟凤彬,https://www.ijq.tv/mingxing/969.html,https://image.ijq.tv/201501/16/14-35-49-88-12.jpg,牟凤彬的新浪微博
熊梓菱,Xiong Ziling,,汉族,内地,1992-12-30,厦门,167CM,48KG,O型,双鱼座,北京电影学院表演系,"演员,歌手",,《同谋者》《麻雀春天》《血色玫瑰》,蒋欣,https://image.ijq.tv/201705/25/17-40-06-68-26.jpg,images/17-40-06-68-26.jpg,熊梓菱,https://www.ijq.tv/mingxing/968.html,https://image.ijq.tv/201705/25/17-40-06-68-26.jpg,熊梓菱的新浪微博
杨紫嫣,Ophelia,杨钫涵,汉族,内地,,北京,166CM,48KG,B型,双子座,中央戏剧学院,演员,美亚晓珮（北京）文化传媒有限公司,《酷爸俏妈》《金戈铁马》《书剑恩仇录》《后宫甄嬛传》,邢佳栋,https://image.ijq.tv/201501/16/13-55-58-62-8.jpg,images/13-55-58-62-8.jpg,杨紫嫣,https://www.ijq.tv/mingxing/967.html,https://image.ijq.tv/201501/16/13-55-58-62-8.jpg,杨紫嫣的新浪微博
陈菲,,陈一榕,汉族,内地,1988-9-26,上海,170CM,50KG,B型,天秤座,,演员,,《猎仇者》《冷风暴》《酒店世家》,王珂,https://image.ijq.tv/201501/16/13-11-00-73-8.jpg,images/13-11-00-73-8.jpg,陈菲,https://www.ijq.tv/mingxing/966.html,https://image.ijq.tv/201501/16/13-11-00-73-8.jpg,陈菲的新浪微博
孙雅,miya,,汉族,内地,1988-6-2,甘肃省平凉市灵台县,168CM,46KG,B型,双子座,中央戏剧学院,演员,,《爱情悠悠药草香》《温柔的谎言》《叶落长安》,,https://image.ijq.tv/201501/16/11-55-25-31-14.jpg,images/11-55-25-31-14.jpg,孙雅,https://www.ijq.tv/mingxing/965.html,https://image.ijq.tv/201501/16/11-55-25-31-14.jpg,孙雅的新浪微博
刘雨鑫,,刘颖,汉族,内地,6-12,重庆市,165CM,46KG,AB型,,中央戏剧学院,演员,华谊兄弟文化经纪有限公司,《上海王》《湘西往事》《大风歌》《凝香劫》《红色黎明》,搭档乔任梁,https://image.ijq.tv/201501/16/10-45-32-17-14.jpg,images/10-45-32-17-14.jpg,刘雨鑫,https://www.ijq.tv/mingxing/964.html,https://image.ijq.tv/201501/16/10-45-32-17-14.jpg,刘雨鑫的新浪微博
苗侨伟,,,汉族,内地,1958-6-18,浙江舟山,180CM,75KG,O型,双子座,,演员,香港无线电视,《学警狙击》《刑警》,妻子戚美珍 好友曾志伟 好友谢天华 好友吴卓羲 好友黄宗泽 搭档刘德华,https://image.ijq.tv/201501/15/22-29-17-44-1.jpg,images/22-29-17-44-1.jpg,苗侨伟,https://www.ijq.tv/mingxing/963.html,https://image.ijq.tv/201501/15/22-29-17-44-1.jpg,
王黎雯,,雯雯,汉族,内地,1985-10-27,重庆市,169CM,48KG,B型,天蝎座,北京电影学院表演系,演员,,《快乐星球》《蚁族的奋斗》《北上海1950》,刘雨欣,https://image.ijq.tv/201501/15/21-01-10-37-1.jpg,images/21-01-10-37-1.jpg,王黎雯,https://www.ijq.tv/mingxing/962.html,https://image.ijq.tv/201501/15/21-01-10-37-1.jpg,王黎雯的新浪微博
曾恺玹,Alice,kaikai,汉族,内地,1984-4-22,台湾,163CM,43KG,O型,金牛座,台北世新大学,"演员,歌手,模特",海滩娱乐,《不能说的秘密》《原来我不帅》《水男孩》,海陆,https://image.ijq.tv/201501/15/16-02-06-73-8.jpg,images/16-02-06-73-8.jpg,曾恺玹,https://www.ijq.tv/mingxing/961.html,https://image.ijq.tv/201501/15/16-02-06-73-8.jpg,
杜海涛,Hito,杜树,汉族,内地,1987-10-28,辽宁沈阳,181CM,95KG,B型,天蝎座,湖南大众传媒学院,"演员,主持人",良策传媒,《木土日斤》《快乐大本营之快乐到家》,搭档吴昕 搭档谢娜 搭档李维嘉 搭档何炅 前女友李若曦,https://image.ijq.tv/201501/15/15-09-35-89-14.jpg,images/15-09-35-89-14.jpg,杜海涛,https://www.ijq.tv/mingxing/960.html,https://image.ijq.tv/201501/15/15-09-35-89-14.jpg,杜海涛的新浪微博
张磊,,,汉族,内地,12-20,乌鲁木齐市,183CM,72KG,A型,射手座,中央戏剧学院,演员,,《谜砂》《急诊室故事》,妻子刘丛丹,https://image.ijq.tv/201501/30/15-32-07-62-10.jpg,images/15-32-07-62-10.jpg,张磊,https://www.ijq.tv/mingxing/959.html,https://image.ijq.tv/201501/30/15-32-07-62-10.jpg,张磊的新浪微博
陈静,dada,,汉族,内地,1989-3-22,香港,166CM,49KG,A型,白羊座,,"演员,模特",Jacso,《反贪风暴》,王宗尧,https://image.ijq.tv/201501/15/13-40-02-29-12.jpg,images/13-40-02-29-12.jpg,陈静,https://www.ijq.tv/mingxing/957.html,https://image.ijq.tv/201501/15/13-40-02-29-12.jpg,
罗海琼,Luo Hai Qiong,,汉族,内地,1973-8-10,甘肃省兰州市,164CM,44KG,O型,狮子座,上海戏剧学院,演员,华谊兄弟时代文化经纪有限公司,《像雾像雨又像风》《大宋提刑官》《错伏》,丈夫费麒 好友薛佳凝 搭档陈好,https://image.ijq.tv/201503/21/18-42-00-19-1.jpg,images/18-42-00-19-1.jpg,罗海琼,https://www.ijq.tv/mingxing/956.html,https://image.ijq.tv/201503/21/18-42-00-19-1.jpg,罗海琼的新浪微博
刘钧,,,汉族,内地,1972-2-17,山东蓬莱,183CM,,,水瓶座,山东艺术学院,演员,,《康熙王朝》《急诊室故事》《重案六组》,,https://image.ijq.tv/201501/16/20-59-01-25-1.jpg,images/20-59-01-25-1.jpg,刘钧,https://www.ijq.tv/mingxing/954.html,https://image.ijq.tv/201501/16/20-59-01-25-1.jpg,刘钧的新浪微博
