中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
郭锐晨,,,汉族,内地,1997-3-7,,167CM,46KG,,双鱼座,,演员,,郭锐晨的新浪微博,《白发》《楚乔传》《师爷请自重》,章若楠 张昊唯 王术一 刘宸羽 戴景耀,https://image.ijq.tv/201909/11/15-28-53-16-47.png,images/15-28-53-16-47.png,郭锐晨,https://www.ijq.tv/mingxing/15681869106529.html,https://image.ijq.tv/201909/11/15-28-53-16-47.png
王锐,Rico,,汉族,内地,1995-12-28,北京,178CM,63KG,,魔羯座,,演员,,王锐的新浪微博,《春天后母心》《毕有财》《突然回到十八岁》,李逸男 庄达菲 何泽远,https://image.ijq.tv/201909/11/14-49-12-28-47.png,images/14-49-12-28-47.png,王锐,https://www.ijq.tv/mingxing/15681845206528.html,https://image.ijq.tv/201909/11/14-49-12-28-47.png
何泽远,,,汉族,内地,1995-8-20,,183CM,65KG,,狮子座,,演员,酷漾娱乐,何泽远的新浪微博,《给我一个十八岁》《北京女子图鉴》《套路》《突然回到十八岁》,宫正晔 李逸男 庄达菲,https://image.ijq.tv/201909/11/14-25-34-79-47.png,images/14-25-34-79-47.png,何泽远,https://www.ijq.tv/mingxing/15681830776527.html,https://image.ijq.tv/201909/11/14-25-34-79-47.png
宫正晔,,,汉族,内地,1999-2-3,,180CM,63KG,,水瓶座,,演员,酷漾娱乐,宫正晔的新浪微博,《淑女飘飘拳》《突然回到十八岁》《师爷请自重》《剑王朝》,何泽远 漆培鑫,https://image.ijq.tv/201909/11/11-50-57-44-47.png,images/11-50-57-44-47.png,宫正晔,https://www.ijq.tv/mingxing/15681708156526.html,https://image.ijq.tv/201909/11/11-50-57-44-47.png
刘颺,,,汉族,内地,1990-1-20,,175CM,80KG,,水瓶座,京现代音乐学院,演员,,刘颺的新浪微博,《再见时光》《茅山道士》《念力猎人》《师爷请自重》,杜维瀚 陈鹏万里 张家瑜 章若楠 张昊唯 王术一,https://image.ijq.tv/201909/11/10-32-15-54-47.png,images/10-32-15-54-47.png,刘颺,https://www.ijq.tv/mingxing/15681690916525.html,https://image.ijq.tv/201909/11/10-32-15-54-47.png
顾天逸,,,汉族,内地,1995-6-8,,181CM,65KG,,双子座,四川传媒学院,"演员,歌手",,顾天逸的新浪微博,《进击bigboy》《师爷请自重》,章若楠 张昊唯 王术一,https://image.ijq.tv/201909/11/09-57-37-73-47.png,images/09-57-37-73-47.png,顾天逸,https://www.ijq.tv/mingxing/15681670056524.html,https://image.ijq.tv/201909/11/09-57-37-73-47.png
马闻远,Asher,,汉族,内地,1996-9-10,辽宁省抚顺市,180CM,65KG,,处女座,北京舞蹈学院,演员,,马闻远的新浪微博,《大唐荣耀》《完美曝光》《我想见到你》《美容针》,章若楠 张昊唯 王术一 刘宸羽,https://image.ijq.tv/201909/11/09-39-35-53-47.png,images/09-39-35-53-47.png,马闻远,https://www.ijq.tv/mingxing/15681659376523.html,https://image.ijq.tv/201909/11/09-39-35-53-47.png
刘宸羽,,,汉族,内地,,,179CM,65KG,,,,"演员,歌手",工夫真言影业,刘宸羽的新浪微博,《创造营2019》《师爷请自重》,章若楠 张昊唯 王术一,https://image.ijq.tv/201909/11/09-20-30-91-47.png,images/09-20-30-91-47.png,刘宸羽,https://www.ijq.tv/mingxing/15681647866522.html,https://image.ijq.tv/201909/11/09-20-30-91-47.png
王婷,Icey,,汉族,内地,1996-3-20,,167CM,45KG,,,四川音乐学院,"演员,歌手",扑度娱乐,王婷的新浪微博,《整个世界》《创造101》《荣耀次元》《我就是这种女孩》,勾勾 思怡 蔻依 紫妍,https://image.ijq.tv/201909/10/17-57-19-36-47.png,images/17-57-19-36-47.png,王婷,https://www.ijq.tv/mingxing/15681093256521.html,https://image.ijq.tv/201909/10/17-57-19-36-47.png
王婷,,,汉族,内地,1995-8-6,温岭,168CM,46KG,,狮子座,温岭市第二中学,演员,,王婷的新浪微博,《我是路人甲》《死党》《造梦师》《风从海上来》,朱海军 王昭,https://image.ijq.tv/201909/10/17-39-31-16-47.png,images/17-39-31-16-47.png,王婷,https://www.ijq.tv/mingxing/15681082876520.html,https://image.ijq.tv/201909/10/17-39-31-16-47.png
