中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
罗彬,Quanhao Luo,罗诠浩,汉族,内地,1984-6-26,四川,184CM,68KG,A型,巨蟹座,中央戏剧学院|纽约电影学院,演员,合一集团经纪业务中心,罗彬的新浪微博,《面包树上的女人》《创业时代》《武神赵子龙》,唐嫣 黄宗泽 隋棠,https://image.ijq.tv/201907/09/14-18-02-99-47.png,images/14-18-02-99-47.png,罗彬,https://www.ijq.tv/mingxing/15626529875898.html,https://image.ijq.tv/201907/09/14-18-02-99-47.png
张庆庆,,,汉族,内地,1983,上海,180CM,72KG,,,上海电影艺术学院表演系,演员,,张庆庆的新浪微博,《单身公主相亲记》《极品大作战》《全民公主》,胡耘豪 康宁 褚前,https://image.ijq.tv/201907/09/14-16-40-86-46.png,images/14-16-40-86-46.png,张庆庆,https://www.ijq.tv/mingxing/15626529855897.html,https://image.ijq.tv/201907/09/14-16-40-86-46.png
褚前,,,汉族,内地,1993-12-30,上海,180CM,65KG,,,,演员,上海剧浪影视,褚前的新浪微博,《制裁者联盟》《浅情人不知》,胡耘豪 康宁 黄昊月,https://image.ijq.tv/201907/09/13-48-10-63-46.jpg,images/13-48-10-63-46.jpg,褚前,https://www.ijq.tv/mingxing/15626512565896.html,https://image.ijq.tv/201907/09/13-48-10-63-46.jpg
程澄,,,汉族,内地,,,179CM,65KG,,,,演员,,,《少年江湖物语》,周彦辰 骆明劼 刘剑羽 戴祖雄,https://image.ijq.tv/201907/08/16-53-29-43-47.png,images/16-53-29-43-47.png,程澄,https://www.ijq.tv/mingxing/15625759875891.html,https://image.ijq.tv/201907/08/16-53-29-43-47.png
罗彬,Robin,罗纯友,满族,内地,1982-10-8,于黑龙江省佳木斯市,186CM,76KG,AB型,天蝎座,北京电影学院,"演员,模特",无锡壹零零捌文化传媒,罗彬的新浪微博,《我曾爱过你想起就心酸》《致命迷失》《美丽战争》《武神赵子龙》《地狱工厂》,张东健 唐艺昕,https://image.ijq.tv/201907/08/11-58-41-87-47.png,images/11-58-41-87-47.png,罗彬,https://www.ijq.tv/mingxing/15625582555887.html,https://image.ijq.tv/201907/08/11-58-41-87-47.png
杜燕歌,,杜sir,汉族,内地,3-16,北京,172CM,60KG,,白羊座,,其他,无线电视广播有限公司,杜燕歌的新浪微博,《戏剧》《金枝欲孽》《红粉佳人》,韩马利,https://image.ijq.tv/201907/08/11-08-18-57-46.png,images/11-08-18-57-46.png,杜燕歌,https://www.ijq.tv/mingxing/15625551065885.html,https://image.ijq.tv/201907/08/11-08-18-57-46.png
蒋家旻,Angel Chiang,,汉族,内地,1989-11-10,广东深圳,161CM,43KG,,天蝎座,仁济医院林百欣中学,演员,TVB香港无线电视,蒋家旻的新浪微博,《爱·回家》《第一次不是你》,,https://image.ijq.tv/201907/08/10-25-37-52-46.jpg,images/10-25-37-52-46.jpg,蒋家旻,https://www.ijq.tv/mingxing/15625527055884.html,https://image.ijq.tv/201907/08/10-25-37-52-46.jpg
朱柏龙,,,汉族,内地,1988-10-5,蚌埠,182CM,65KG,,天秤座,上海戏剧学院|烟台市艺术学校音乐系,演员,南京军区政治部前线文工团话剧队,朱柏龙的新浪微博,《最亲最爱的人》《人民的名义》《云水怒》《俺娘田小草》,陆毅,https://image.ijq.tv/201907/05/17-28-17-31-47.png,images/17-28-17-31-47.png,朱柏龙,https://www.ijq.tv/mingxing/15623188635882.html,https://image.ijq.tv/201907/05/17-28-17-31-47.png
权沛伦,Peilun Quan,,汉族,内地,1994-9-27,北京,180CM,65KG,,天秤座,拉萨尔学院,"演员,其他",,权沛伦的新浪微博,《择天记》《扶摇》《南烟斋笔录》《全职高手》《恨君不似江楼月》,高瀚宇 杨洋 鹿晗,https://image.ijq.tv/201907/05/14-12-42-18-47.png,images/14-12-42-18-47.png,权沛伦,https://www.ijq.tv/mingxing/15623071385877.html,https://image.ijq.tv/201907/05/14-12-42-18-47.png
纪向宁,Xiangning Ji,,汉族,内地,1995-4,黑龙江,181CM,63KG,,金牛座,大连理工大学|日本早稻田大学,"演员,主持人",,纪向宁的新浪微博,《许你浮生若梦》《全职高手》《北京女子图鉴》,杨洋 江疏影 戚薇 朱一龙,https://image.ijq.tv/201907/05/11-57-58-91-47.png,images/11-57-58-91-47.png,纪向宁,https://www.ijq.tv/mingxing/15622990265875.html,https://image.ijq.tv/201907/05/11-57-58-91-47.png
