中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
王雷方,,,汉族,内地,1988-1-25,辽宁,182CM,69KG,,水瓶座,中国传媒大学,演员,大娱时代（北京）文化,《双枪》《红髅》《游击英雄》《麻雀春天》《零界之艾力克斯》,蒋欣 程昱 谭凯,https://image.ijq.tv/201909/02/15-39-59-56-47.png,images/15-39-59-56-47.png,王雷方,https://www.ijq.tv/mingxing/15674099716406.html,https://image.ijq.tv/201909/02/15-39-59-56-47.png,王雷方的新浪微博
闫猛,,,汉族,内地,10-20,辽宁沈阳,176CM,68KG,,天秤座,上海戏剧学院,演员,,《平行迷途》《地球脸红了》,杨仕泽 徐凯鑫 张令仪,https://image.ijq.tv/201909/02/15-36-12-60-46.jpg,images/15-36-12-60-46.jpg,闫猛,https://www.ijq.tv/mingxing/15674097576405.html,https://image.ijq.tv/201909/02/15-36-12-60-46.jpg,闫猛的新浪微博
裘继戎,QIO,"裘子千,裘裘",汉族,内地,1985-9-18,北京,177CM,65KG,O型,天秤座,中国戏曲学院,演员,北京少城时代影业有限公司,《悟空》《十面埋伏》,裘少戎,https://image.ijq.tv/201909/02/15-12-29-62-46.jpg,images/15-12-29-62-46.jpg,裘继戎,https://www.ijq.tv/mingxing/15674083076403.html,https://image.ijq.tv/201909/02/15-12-29-62-46.jpg,裘继戎的新浪微博
何聪睿,,,汉族,内地,8-29,,183CM,70KG,,处女座,中央戏剧学院,演员,大美星空,《恶魔少爷别吻我第三季》《大英雄》《愿有人陪你颠沛流离》《男舍男分》《嘿！小骨头》,贾征宇 余心恬,https://image.ijq.tv/201909/02/15-10-35-38-47.png,images/15-10-35-38-47.png,何聪睿,https://www.ijq.tv/mingxing/15674082056404.html,https://image.ijq.tv/201909/02/15-10-35-38-47.png,何聪睿的新浪微博
张华宇,Huayu Zhang,华宇,汉族,内地,11-30,黑龙江省牡丹江市,165CM,42KG,,射手座,北京大学,演员,北京万合天宜影视文化有限公司,《报告老板》《学姐知道2》《大侠黄飞鸿》,孙迅,https://image.ijq.tv/201909/02/14-55-35-98-46.jpg,images/14-55-35-98-46.jpg,张华宇,https://www.ijq.tv/mingxing/15674072656402.html,https://image.ijq.tv/201909/02/14-55-35-98-46.jpg,
赵珈萱,,,汉族,内地,1997-2-7,沈阳,,45KG,,水瓶座,,"演员,歌手",,《大力金刚》《超级大山炮之海岛奇遇》《饕餮记》,赵本山,https://image.ijq.tv/201909/02/14-27-25-76-47.png,images/14-27-25-76-47.png,赵珈萱,https://www.ijq.tv/mingxing/15674055596401.html,https://image.ijq.tv/201909/02/14-27-25-76-47.png,赵珈萱的新浪微博
孙迅,,,汉族,内地,1990-4-26,辽宁沈阳,181CM,70KG,,金牛座,中国戏曲学院,演员,,《凹凸少年派》《戏隐江湖》,陈信喆 郑湫泓,https://image.ijq.tv/201909/02/14-12-10-10-46.jpg,images/14-12-10-10-46.jpg,孙迅,https://www.ijq.tv/mingxing/15674047136400.html,https://image.ijq.tv/201909/02/14-12-10-10-46.jpg,孙迅的新浪微博
姜怡冰,Jennifer,,汉族,内地,1996-10-29,金华,170CM,48KG,,天蝎座,中央戏剧学院,演员,,《我是警察》《女子戏班》《约定期间爱上你》《听雪楼》,任言恺 程小蒙 李俊锋 森竣 潘一祎,https://image.ijq.tv/201909/02/13-57-59-67-47.png,images/13-57-59-67-47.png,姜怡冰,https://www.ijq.tv/mingxing/15674038366399.html,https://image.ijq.tv/201909/02/13-57-59-67-47.png,姜怡冰的新浪微博
潘一祎,,,汉族,内地,1998-5-4,,167CM,44KG,,金牛座,,演员,飞宝传媒,《大宋宫词》《饕餮记》《约定期间爱上你》,任言恺 程小蒙 李俊锋,https://image.ijq.tv/201909/02/11-50-59-40-47.png,images/11-50-59-40-47.png,潘一祎,https://www.ijq.tv/mingxing/15673962286398.html,https://image.ijq.tv/201909/02/11-50-59-40-47.png,潘一祎的新浪微博
森竣,Bernard,,汉族,内地,1991-9-27,,181CM,70KG,,天秤座,,演员,,《楼下的房客》《山的那一边》《盖世英雄》《约定期间爱上你》,任言恺 程小蒙 李俊锋,https://image.ijq.tv/201909/02/11-36-01-97-47.png,images/11-36-01-97-47.png,森竣,https://www.ijq.tv/mingxing/15673953216397.html,https://image.ijq.tv/201909/02/11-36-01-97-47.png,森竣的新浪微博
李健,,,汉族,内地,1981-10-29,河北,181CM,70KG,,天蝎座,北京电影学院,演员,华录百纳·骏羿工作室,《独生子女的婆婆妈妈》《幸福媳妇成长记》《小镇大法官》《三妹》《突围》《悬红》,戴娇倩 甘婷婷 田岷,https://image.ijq.tv/201909/02/10-06-45-45-47.png,images/10-06-45-45-47.png,李健,https://www.ijq.tv/mingxing/15673899656396.html,https://image.ijq.tv/201909/02/10-06-45-45-47.png,李健的新浪微博
李俊锋,Justin,,汉族,内地,1993-7-22,江苏,181CM,69KG,,巨蟹座,南京艺术学院,演员,天津童乐影视文化,《我与你的光年距离Ⅱ》《约定期间爱上你》《嘀！男友卡》《九千米爱情》,王以纶 李婷婷 张奕聪,https://image.ijq.tv/201909/02/09-19-47-70-47.png,images/09-19-47-70-47.png,李俊锋,https://www.ijq.tv/mingxing/15673871566395.html,https://image.ijq.tv/201909/02/09-19-47-70-47.png,李俊锋的新浪微博
李子剑,actor,,汉族,内地,1998-1-7,,183CM,65KG,,魔羯座,,演员,吉翔星坊,《伞兵魂》《九千米爱情》《仲夏满天心》,贾乃亮 王以纶 张奕聪,https://image.ijq.tv/201908/30/18-05-32-57-47.png,images/18-05-32-57-47.png,李子剑,https://www.ijq.tv/mingxing/15671593866394.html,https://image.ijq.tv/201908/30/18-05-32-57-47.png,李子剑的新浪微博
秦牛正威,,鹿依,汉族,内地,1999,河南南阳,163CM,45KG,B型,狮子座,北京电影学院,网红,,,吴亦凡,https://image.ijq.tv/201908/30/17-44-35-26-46.jpg,images/17-44-35-26-46.jpg,秦牛正威,https://www.ijq.tv/mingxing/15671582526393.html,https://image.ijq.tv/201908/30/17-44-35-26-46.jpg,秦牛正威的新浪微博
王维申,,,汉族,内地,1987-12-10,哈尔滨,174CM,60KG,,射手座,解放军艺术学院,演员,中国国家话剧院|东华大学表演系06级本科,《风中有朵雨做的云》《陆战之王》《你好检察官》《喜剧在人间》,陈晓 王雷 吴樾,https://image.ijq.tv/201908/30/16-50-26-16-47.png,images/16-50-26-16-47.png,王维申,https://www.ijq.tv/mingxing/15671549906392.html,https://image.ijq.tv/201908/30/16-50-26-16-47.png,王维申的新浪微博
陈靖可,Chan,,汉族,内地,1998-3-11,深圳,186CM,77KG,B型,双鱼座,,演员,黑金娱乐,《你好检察官》《一出好戏》《狂怒沙暴》,朱雨辰 王维维,https://image.ijq.tv/201908/30/16-25-28-68-47.png,images/16-25-28-68-47.png,陈靖可,https://www.ijq.tv/mingxing/15671534836391.html,https://image.ijq.tv/201908/30/16-25-28-68-47.png,陈靖可的新浪微博
宁小花,,宁泽,汉族,内地,1979-11-15,辽宁省沈阳市,180CM,100KG,,天蝎座,成都体育学院,演员,小花传媒,《余罪》《奇妙的朋友之萌爱》《武动乾坤》《颤抖吧阿部之朵星风云》《你好检察官》,"柳岩 杨洋, 张天爱 王丽坤",https://image.ijq.tv/201908/30/15-57-50-75-47.png,images/15-57-50-75-47.png,宁小花,https://www.ijq.tv/mingxing/15671518256390.html,https://image.ijq.tv/201908/30/15-57-50-75-47.png,宁小花的新浪微博
黄少祺,Eric Huang,"黄铭良,少祺",汉族,内地,1971-7-6,台湾省,181CM,70KG,O型,巨蟹座,文化大学,演员,,《天地有情》《芙蓉锦》《热血少年》《信仰者》《新还君明珠》,范冰冰 贾静雯 何润东 简沛恩,https://image.ijq.tv/201908/30/15-13-55-63-47.png,images/15-13-55-63-47.png,黄少祺,https://www.ijq.tv/mingxing/15671491926389.html,https://image.ijq.tv/201908/30/15-13-55-63-47.png,
黄宥明,Huang Ming,黄明,汉族,内地,1986-4-15,湖北省咸宁市,183CM,70KG,,白羊座,北京电影学院表演系,演员,,《如懿传》《扶摇》《杉杉来了》,李菲儿 立威廉 李金铭,https://image.ijq.tv/201908/30/14-43-00-49-46.jpg,images/14-43-00-49-46.jpg,黄宥明,https://www.ijq.tv/mingxing/15671473696387.html,https://image.ijq.tv/201908/30/14-43-00-49-46.jpg,黄宥明的新浪微博
廉倢,,,汉族,内地,,吉林,,,,天蝎座,中央戏剧学院,演员,善易影视,《生死黎平》《大猫追爱记》《向着炮火前进》《红尘道心》《王巴侠》,黄少琪 李幼斌 赵毅 王力可,https://image.ijq.tv/201908/30/14-43-18-30-47.png,images/14-43-18-30-47.png,廉倢,https://www.ijq.tv/mingxing/15671473556388.html,https://image.ijq.tv/201908/30/14-43-18-30-47.png,廉倢的新浪微博
