中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
张正阳,,张磊,汉族,内地,12-20,乌鲁木齐,184CM,70KG,B型,水瓶座,中央戏剧学院,演员,慈文传媒集团股份有限公司,《道可道》《保密局的枪声》《新安家族》《可可西里》,赵子琪 李宗翰,https://image.ijq.tv/201909/03/15-04-19-80-46.jpg,images/15-04-19-80-46.jpg,张正阳,https://www.ijq.tv/mingxing/15674942496423.html,https://image.ijq.tv/201909/03/15-04-19-80-46.jpg,
孟浩强,Meng Haoqiang,浩强,汉族,内地,1982-11-30,哈尔滨,178CM,70KG,,射手座,中央戏剧学院,演员,北京鑫宝源影视投资,《北方大地》《边境风云》《一代枭雄》《铁血悍将别碰我闺蜜》,巍子 孙红雷 陈数 王珞丹,https://image.ijq.tv/201909/03/15-01-12-65-47.png,images/15-01-12-65-47.png,孟浩强,https://www.ijq.tv/mingxing/15674940176422.html,https://image.ijq.tv/201909/03/15-01-12-65-47.png,孟浩强的新浪微博
张新宇,,,汉族,内地,1997-08-07,,178CM,65KG,,狮子座,中央戏剧学院,演员,西安新宇影视传媒工作室,《白鹿原》《少年江湖物语》,张嘉译 何冰 秦海璐 刘佩琦,https://image.ijq.tv/201909/03/14-43-53-19-46.jpg,images/14-43-53-19-46.jpg,张新宇,https://www.ijq.tv/mingxing/15674930236421.html,https://image.ijq.tv/201909/03/14-43-53-19-46.jpg,张新宇的新浪微博
刘亦淳,Yichun Liu,,汉族,内地,1998-7-13,四川达州,169CM,46KG,,狮子座,四川电影学院,演员,TVB邵氏郑丹瑞工作室,《紧急救援》,郑丹瑞 彭于晏,https://image.ijq.tv/201909/03/11-47-59-75-47.png,images/11-47-59-75-47.png,刘亦淳,https://www.ijq.tv/mingxing/15674824426419.html,https://image.ijq.tv/201909/03/11-47-59-75-47.png,刘亦淳的新浪微博
王雨甜,Wang Yutian,,汉族,内地,1987,,188CM,75KG,,,天津大学,"演员,模特,运动员",北京九有文化传媒,《红海行动》《怪物先生》《紧急救援》,张译 黄景瑜 海清 杜江 蒋璐霞,https://image.ijq.tv/201909/03/10-26-52-88-47.png,images/10-26-52-88-47.png,王雨甜,https://www.ijq.tv/mingxing/15674775706416.html,https://image.ijq.tv/201909/03/10-26-52-88-47.png,王雨甜的新浪微博
杨刚,Sun,,汉族,内地,1992,福州,190CM,70KG,O型,,昕影影业总裁,"演员,电影人,其他",闽江学院,《疯狂的公牛》《利刃破冰》《倒霉的凶手》,张子健 骆应钧 卢海鹏,https://image.ijq.tv/201909/03/10-05-00-23-47.png,images/10-05-00-23-47.png,杨刚,https://www.ijq.tv/mingxing/15674758336415.html,https://image.ijq.tv/201909/03/10-05-00-23-47.png,杨刚的新浪微博
王澜,,,汉族,内地,10-23,新疆塔城,165CM,60KG,B型,天蝎座,中央戏剧学院,演员,,《四世同堂》《旋涡》《红高粱》《和妈妈一起谈恋爱》,闫学晶 张磊 张岩,https://image.ijq.tv/201909/02/18-00-58-62-47.png,images/18-00-58-62-47.png,王澜,https://www.ijq.tv/mingxing/15674184056414.html,https://image.ijq.tv/201909/02/18-00-58-62-47.png,王澜的新浪微博
易照博,,,汉族,内地,10-21,上海徐汇,179CM,70KG,,天秤座,上海戏剧学院,演员,金英马影视文化|言艺堂影视文化工作室,《翻手为云》《听雪楼》《人到四十》《红高粱》,王志文 江珊 孙松,https://image.ijq.tv/201909/02/17-19-22-27-47.png,images/17-19-22-27-47.png,易照博,https://www.ijq.tv/mingxing/15674157156412.html,https://image.ijq.tv/201909/02/17-19-22-27-47.png,易照博的新浪微博
董芷依,kukku,"空巨,空空,空儿",汉族,内地,8-20,贵阳,163CM,46KG,A型,狮子座,中央戏剧学院,演员,avex China签约艺人,《无尽旋转》《玛丽学园》《零界之艾力克斯》,蒋毓玮 方楚彤 吴瑞淞,https://image.ijq.tv/201909/02/16-30-42-85-47.png,images/16-30-42-85-47.png,董芷依,https://www.ijq.tv/mingxing/15674128666410.html,https://image.ijq.tv/201909/02/16-30-42-85-47.png,董芷依的新浪微博
田川,Tian Chuan,,汉族,内地,1990-9-5,新疆,181CM,65KG,,处女座,,演员,,《狂怒的金佛》《职场三国》《最佳女配》《奉天大饭店》,文松 贾斌 顾宝明,https://image.ijq.tv/201909/02/15-58-43-52-47.png,images/15-58-43-52-47.png,田川,https://www.ijq.tv/mingxing/15674110746407.html,https://image.ijq.tv/201909/02/15-58-43-52-47.png,田川的新浪微博
