中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
龙德,,,汉族,内地,,,,,,,,演员,,《漂亮的李慧珍》《射雕英雄传》《危城》,马京京 宁文彤 王春元,https://image.ijq.tv/201911/05/16-25-31-84-47.png,images/16-25-31-84-47.png,龙德,https://www.ijq.tv/mingxing/15729414686890.html,https://image.ijq.tv/201911/05/16-25-31-84-47.png,
唐钰婷,,,汉族,内地,11-23,天津,167CM,46KG,,射手座,北京电影学院,演员,,《钟馗捉妖记》,成梓宁 殷叶子 杨蓉 杨旭文,https://image.ijq.tv/201911/05/16-05-25-17-47.png,images/16-05-25-17-47.png,唐钰婷,https://www.ijq.tv/mingxing/15729410446889.html,https://image.ijq.tv/201911/05/16-05-25-17-47.png,唐钰婷的新浪微博
徐舒莹,,,汉族,内地,1994-11-16,,171CM,46KG,,天蝎座,中央戏剧学院,演员,,《思美人》《钟馗捉妖记》,马可 张馨予 乔振宇,https://image.ijq.tv/201911/05/15-44-48-51-47.png,images/15-44-48-51-47.png,徐舒莹,https://www.ijq.tv/mingxing/15729394586888.html,https://image.ijq.tv/201911/05/15-44-48-51-47.png,徐舒莹的新浪微博
黄铄,,,汉族,内地,,,181CM,65KG,,,北京电影学院,演员,北京东洋天映影视文化有限公司,《钟馗捉妖记》《镇魂》《燃烧的夏》,白宇 朱一龙,https://image.ijq.tv/201911/05/15-27-51-47-47.png,images/15-27-51-47-47.png,黄铄,https://www.ijq.tv/mingxing/15729388436887.html,https://image.ijq.tv/201911/05/15-27-51-47-47.png,
刘碧渠,,,汉族,内地,,上海,166CM,45KG,,天蝎座,,演员,,《暗恋橘生淮南》《外滩钟声》,胡一天 胡冰卿,https://image.ijq.tv/201911/05/11-36-12-19-46.jpg,images/11-36-12-19-46.jpg,刘碧渠,https://www.ijq.tv/mingxing/15729249366882.html,https://image.ijq.tv/201911/05/11-36-12-19-46.jpg,刘碧渠的新浪微博
贾本初,,,汉族,内地,12-28,,185CM,65KG,,魔羯座,中央戏剧学院,演员,,《三国机密之潜龙在渊》《扶摇》《你好外星人》,王紫璇 张超人,https://image.ijq.tv/201911/04/17-43-05-31-47.png,images/17-43-05-31-47.png,贾本初,https://www.ijq.tv/mingxing/15728605546880.html,https://image.ijq.tv/201911/04/17-43-05-31-47.png,贾本初的新浪微博
张琪,,,汉族,内地,,黑龙江省,176CM,75KG,,,,演员,,《娘道》《飓风行动》《女人的颜色》《独刺》《天行健》,李燕生 史文翔,https://image.ijq.tv/201911/04/17-24-38-61-47.png,images/17-24-38-61-47.png,张琪,https://www.ijq.tv/mingxing/15728594576879.html,https://image.ijq.tv/201911/04/17-24-38-61-47.png,张琪的新浪微博
吴孟樵,eric,,汉族,内地,1998-12-17,四川,182CM,65KG,,射手座,,演员,北京大秦天下文化传媒有限公司,《空壳》《超萌特攻》《我才不会被女孩子欺负呢》,廖茉汐 焦仲慧,https://image.ijq.tv/201911/04/17-00-09-89-47.png,images/17-00-09-89-47.png,吴孟樵,https://www.ijq.tv/mingxing/15728566346878.html,https://image.ijq.tv/201911/04/17-00-09-89-47.png,吴孟樵的新浪微博
廖茉汐,,,汉族,内地,9-27,四川,162CM,42KG,O型,天秤座,,演员,北京大秦天下文化传媒有限公司,《超感联盟：萝煞女》《空壳》《我才不会被女孩子欺负呢》,田川 杜艺龙,https://image.ijq.tv/201911/04/16-25-52-91-47.png,images/16-25-52-91-47.png,廖茉汐,https://www.ijq.tv/mingxing/15728551346877.html,https://image.ijq.tv/201911/04/16-25-52-91-47.png,廖茉汐的新浪微博
孙弋然,,"金沐,孙微木",汉族,内地,,,168CM,45KG,,魔羯座,,演员,,《我才不会被女孩欺负》《鲜肉老师》《爵迹临界天下》《飞行少年》,白客 孔连顺 郑合惠子 陈钰琪 易小星,https://image.ijq.tv/201911/04/16-07-38-90-47.png,images/16-07-38-90-47.png,孙弋然,https://www.ijq.tv/mingxing/15728544886876.html,https://image.ijq.tv/201911/04/16-07-38-90-47.png,孙弋然的新浪微博
