中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
蒋诗萌,Panda,,汉族,内地,1989-10-19,沈阳,165CM,70KG,,魔羯座,北京电影学院,演员,,《梁山伯与祝英台》《画江湖之不良人》《别了，拉斯维加斯》,林永健 李明启 杨少华 王丽云,https://image.ijq.tv/201911/04/15-33-48-54-47.png,images/15-33-48-54-47.png,蒋诗萌,https://www.ijq.tv/mingxing/15728527656875.html,https://image.ijq.tv/201911/04/15-33-48-54-47.png,蒋诗萌的新浪微博
王加一,Plusone,王维贤,汉族,内地,1996-1-12,,181CM,63KG,,魔羯座,江南大学,"演员,歌手",,《奇葩说》《梁山伯与祝英台》《狼殿下》,,https://image.ijq.tv/201911/04/15-01-26-17-47.png,images/15-01-26-17-47.png,王加一,https://www.ijq.tv/mingxing/15728496856874.html,https://image.ijq.tv/201911/04/15-01-26-17-47.png,王加一的新浪微博
许升华,,许太郎,汉族,内地,1989-12-5,,180CM,62KG,,射手座,北京联合大学,演员,北京竹笛乐音文化传播有限公司,《一代倾城逐浪花》《我才不会被女孩子欺负呢》《梁山伯与祝英台》,孔垂楠 陈梦希,https://image.ijq.tv/201911/04/14-37-09-52-47.png,images/14-37-09-52-47.png,许升华,https://www.ijq.tv/mingxing/15728493816873.html,https://image.ijq.tv/201911/04/14-37-09-52-47.png,许升华的新浪微博
王岗,,小王刚,汉族,内地,,宁夏,178CM,70KG,,,,演员,,《青云志》《琅琊榜之风起长林》《军师联盟之虎啸龙吟》《越过山丘》,贾静雯 李易峰,https://image.ijq.tv/201911/04/11-56-57-54-47.png,images/11-56-57-54-47.png,王岗,https://www.ijq.tv/mingxing/15728397686872.html,https://image.ijq.tv/201911/04/11-56-57-54-47.png,王岗的新浪微博
陈思璇,Christie,思漩,汉族,内地,1-10,黑龙江省佳木斯市,172CM,52KG,A型,魔羯座,中央民族大学|北京电影学院,演员,英皇文化,《魔警》《冲锋车》《一个人的武林》,张翰 郑爽 乔任梁,https://image.ijq.tv/201911/04/11-29-09-68-46.jpg,images/11-29-09-68-46.jpg,陈思璇,https://www.ijq.tv/mingxing/15728381336871.html,https://image.ijq.tv/201911/04/11-29-09-68-46.jpg,陈思璇的新浪微博
吴昊,wu hao,吴昊多,汉族,内地,1990-3-22,石家庄,182CM,65KG,,白羊座,解放军艺术学院,演员,,《无名高地》《走进看守所》《向警予》《颤抖吧！阿部》,郑业成 安悦溪 王燕阳 赵东泽,https://image.ijq.tv/201911/04/10-52-07-99-47.png,images/10-52-07-99-47.png,吴昊,https://www.ijq.tv/mingxing/15728359016870.html,https://image.ijq.tv/201911/04/10-52-07-99-47.png,吴昊的新浪微博
陈冠英,,Chen6Y,汉族,内地,1994-6-14,河南,181CM,64KG,,双子座,郑州四十七中,演员,,《花开时节》《狄仁杰之通天教主》,孙萍丽 袁惠芳,https://image.ijq.tv/201911/04/10-19-10-43-47.png,images/10-19-10-43-47.png,陈冠英,https://www.ijq.tv/mingxing/15728338886869.html,https://image.ijq.tv/201911/04/10-19-10-43-47.png,陈冠英的新浪微博
李镇泽,,,汉族,内地,1989-6-16,黑龙江省大庆市,183CM,65KG,,双子座,中国传媒大学,演员,,《军师联盟》《心爱的》《突击再突击》,徐海乔 贾青,https://image.ijq.tv/201911/01/17-43-19-51-47.png,images/17-43-19-51-47.png,李镇泽,https://www.ijq.tv/mingxing/15726011306868.html,https://image.ijq.tv/201911/01/17-43-19-51-47.png,李镇泽的新浪微博
郑少秋,Adam Cheng,"秋官,扮嘢秋,大侠秋,劲秋,香帅",汉族,内地,1947-2-24,香港,182CM,65KG,,双鱼座,香港演藝學院,"演员,歌手",TVB,《书剑恩仇录》《楚留香》《戏说乾隆》《大时代》《笑看风云》《江湖奇侠传》,郑佳怡 吴镇宇 袁弘,https://image.ijq.tv/201911/01/17-05-57-76-47.png,images/17-05-57-76-47.png,郑少秋,https://www.ijq.tv/mingxing/15725991286867.html,https://image.ijq.tv/201911/01/17-05-57-76-47.png,郑少秋的新浪微博
刘已航,,,汉族,内地,1994-6-26,北京,181CM,65KG,,巨蟹座,,演员,,《少女茯苓》《爱思小姐探案》,卜冠今 吴昊宸,https://image.ijq.tv/201911/01/11-54-55-26-46.jpg,images/11-54-55-26-46.jpg,刘已航,https://www.ijq.tv/mingxing/15725804646866.html,https://image.ijq.tv/201911/01/11-54-55-26-46.jpg,刘已航的新浪微博
徐绍瑛,,,汉族,内地,1995-12-23,北京,184CM,70KG,,水瓶座,中央戏剧学院,演员,上海瞳盟影视文化有限公司,《南烟斋笔录》,刘亦菲 井柏然,https://image.ijq.tv/201911/01/11-21-51-59-46.jpg,images/11-21-51-59-46.jpg,徐绍瑛,https://www.ijq.tv/mingxing/15725785056865.html,https://image.ijq.tv/201911/01/11-21-51-59-46.jpg,徐绍瑛的新浪微博
郭秋成,,,汉族,内地,1968-8-7,黑龙江省,179CM,65KG,,狮子座,,演员,威星文化,《战狼2》《柴生芳》《和平饭店》,吴京 张翰,https://image.ijq.tv/201911/01/10-41-43-62-46.jpg,images/10-41-43-62-46.jpg,郭秋成,https://www.ijq.tv/mingxing/15725760946864.html,https://image.ijq.tv/201911/01/10-41-43-62-46.jpg,郭秋成的新浪微博
刘芝妙,,,汉族,内地,2011-5-28,北京,,,,双子座,,演员,,《十里洋场拾年花》《凉生，可不可以不忧伤》《长河落日》《奔腾岁月》《资深少女的初恋》《暗恋橘生淮南》,宋茜 宋威龙,https://image.ijq.tv/201910/31/17-35-09-39-47.png,images/17-35-09-39-47.png,刘芝妙,https://www.ijq.tv/mingxing/15725144856863.html,https://image.ijq.tv/201910/31/17-35-09-39-47.png,刘芝妙的新浪微博
康爱石,,,汉族,内地,1956,,,,,,上海戏剧学院,"演员,其他",,《神戏》《红灯停，绿灯行》《平凡的世界》《归鸿》,殷桃 王雷,https://image.ijq.tv/201910/31/17-10-35-65-47.png,images/17-10-35-65-47.png,康爱石,https://www.ijq.tv/mingxing/15725129396862.html,https://image.ijq.tv/201910/31/17-10-35-65-47.png,
谢宇朦,Ivory,,汉族,内地,5-25,,168CM,45KG,,双子座,中央戏剧学院,演员,,《为了你我愿意热爱整个世界》《儿女的战争》《别了，拉斯维加斯》,张艺上 庞瀚辰 王宫良 孔琳,https://image.ijq.tv/201910/30/17-36-07-54-47.png,images/17-36-07-54-47.png,谢宇朦,https://www.ijq.tv/mingxing/15724270636861.html,https://image.ijq.tv/201910/30/17-36-07-54-47.png,谢宇朦的新浪微博
陈澈,,,汉族,内地,1994-8-13,,181CM,65KG,,狮子座,,演员,,《为了你我愿意热爱整个世界》,,https://image.ijq.tv/201910/30/17-15-52-64-47.png,images/17-15-52-64-47.png,陈澈,https://www.ijq.tv/mingxing/15724269306860.html,https://image.ijq.tv/201910/30/17-15-52-64-47.png,
肖光奕,Xiao Guangyi,,汉族,内地,1978-05-19,,180CM,70KG,O型,金牛座,北京电影学院,演员,,《精神病患者》《小镇警官》《追》《非缘勿扰》,,https://image.ijq.tv/201910/30/16-13-00-47-47.png,images/16-13-00-47-47.png,肖光奕,https://www.ijq.tv/mingxing/15724231476859.html,https://image.ijq.tv/201910/30/16-13-00-47-47.png,肖光奕的新浪微博
张会中,,,汉族,内地,,北京,,,,,,演员,,《养父的花样年华》《而立之年》《爱人同志》《重耳传奇》,陈宝国 谢钢 周里京 石小满 梁天,https://image.ijq.tv/201910/30/15-51-17-64-47.png,images/15-51-17-64-47.png,张会中,https://www.ijq.tv/mingxing/15724218436858.html,https://image.ijq.tv/201910/30/15-51-17-64-47.png,张会中的新浪微博
刘耀元,,,,内地,1996-1-3,,179CM,62KG,,魔羯座,,"演员,歌手",,《新龙门客栈》《成化十四年》,官鸿 傅孟柏 王茂蕾 毛毅,https://image.ijq.tv/201910/30/15-12-32-22-47.png,images/15-12-32-22-47.png,刘耀元,https://www.ijq.tv/mingxing/15724194306857.html,https://image.ijq.tv/201910/30/15-12-32-22-47.png,刘耀元的新浪微博
沈行,,,汉族,内地,,,180CM,70KG,,,中央戏剧学院,"演员,电影人",,《零号特工》《岁岁年年柿柿红》《黄大妮》《胡杨女人》,王茜华,https://image.ijq.tv/201910/30/14-53-10-87-47.png,images/14-53-10-87-47.png,沈行,https://www.ijq.tv/mingxing/15724183576856.html,https://image.ijq.tv/201910/30/14-53-10-87-47.png,
