中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
张子琪,Serena,,汉族,内地,1989-4-15,北京,163CM,45KG,AB型,巨蟹座,斯威本科技大学,演员,,张子琪的新浪微博,《五鼠闹东京》,任东霖,https://image.ijq.tv/201602/23/14-16-39-97-12.jpg,images/14-16-39-97-12.jpg,张子琪,https://www.ijq.tv/mingxing/14562081743534.html,https://image.ijq.tv/201602/23/14-16-39-97-12.jpg
王大奇,Wang Daqi,,汉族,内地,1983-08-10,鞍山市,173CM,70KG,A型,白羊座,解放军艺术学院,演员,,王大奇的新浪微博,《五鼠闹东京》,王志飞,https://image.ijq.tv/201602/23/14-11-32-68-12.jpg,images/14-11-32-68-12.jpg,王大奇,https://www.ijq.tv/mingxing/14562078773533.html,https://image.ijq.tv/201602/23/14-11-32-68-12.jpg
饶晓志,,,汉族,内地,1980-10-2,北京市,174CM,70KG,B型,双子座,中央戏剧学院,演员,,饶晓志的新浪微博,《五鼠闹东京》,,https://image.ijq.tv/201602/19/14-16-51-89-12.jpg,images/14-16-51-89-12.jpg,饶晓志,https://www.ijq.tv/mingxing/14558625953532.html,https://image.ijq.tv/201602/19/14-16-51-89-12.jpg
马书良,,,汉族,内地,1960-7-16,北京,173CM,65KG,B型,双子座,,演员,,马书良的新浪微博,《五鼠闹东京》,,https://image.ijq.tv/201602/19/11-51-43-60-12.jpg,images/11-51-43-60-12.jpg,马书良,https://www.ijq.tv/mingxing/14558538873531.html,https://image.ijq.tv/201602/19/11-51-43-60-12.jpg
谢宁,,,汉族,内地,4-16,北京市,178CM,89KG,A型,白羊座,96届师大艺术系,演员,,谢宁的新浪微博,《五鼠闹东京》,,https://image.ijq.tv/201602/19/11-18-12-57-12.jpg,images/11-18-12-57-12.jpg,谢宁,https://www.ijq.tv/mingxing/14558518813530.html,https://image.ijq.tv/201602/19/11-18-12-57-12.jpg
吕绍聪,,杠杠,汉族,内地,1989-12-29,辽宁省,176CM,65KG,A型,金牛座,上海戏剧学院,演员,北京佟悦名新文化传媒有限公司,吕绍聪的新浪微博,《一年级大学季》,袁姗姗,https://image.ijq.tv/201601/28/11-43-47-50-12.jpg,images/11-43-47-50-12.jpg,吕绍聪,https://www.ijq.tv/mingxing/14539525803529.html,https://image.ijq.tv/201601/28/11-43-47-50-12.jpg
袁雨萱,YuanYuxuan,,汉族,内地,1997-7-8,上海市,162CM,45KG,B型,金牛座,上海戏剧学院,演员,,袁雨萱的新浪微博,,佟大为,https://image.ijq.tv/201611/21/11-42-20-24-35.jpg,images/11-42-20-24-35.jpg,袁雨萱,https://www.ijq.tv/mingxing/14539522393528.html,https://image.ijq.tv/201611/21/11-42-20-24-35.jpg
左溢,Jerry Zuo,小溢,汉族,内地,1997-1-20,上海市,177CM,65KG,A型,白羊座,上海戏剧学院,演员,,左溢的新浪微博,,,https://image.ijq.tv/201601/28/11-33-31-79-12.jpg,images/11-33-31-79-12.jpg,左溢,https://www.ijq.tv/mingxing/14539519893527.html,https://image.ijq.tv/201601/28/11-33-31-79-12.jpg
邢菲,,小菲,汉族,内地,1994-10-1,北京市,164CM,45KG,B型,双子座,,演员,,邢菲的新浪微博,《一年级大学季》,搭档吴磊,https://image.ijq.tv/201802/09/14-17-11-55-39.jpg,images/14-17-11-55-39.jpg,邢菲,https://www.ijq.tv/mingxing/14539501513526.html,https://image.ijq.tv/201802/09/14-17-11-55-39.jpg
万国鹏,,,汉族,内地,1994,黑龙江省牡丹江市林口县,178CM,70KG,B型,处女座,黑龙江中医药大学,演员,,万国鹏的新浪微博,《我是路人甲》《明日战记》《乒乓》《原来你还在这里》,袁姗姗,https://image.ijq.tv/201601/28/10-28-29-64-12.jpg,images/10-28-29-64-12.jpg,万国鹏,https://www.ijq.tv/mingxing/14539480963525.html,https://image.ijq.tv/201601/28/10-28-29-64-12.jpg
